lemma,unique_candidates,pos,lemma_freq,base_freq
Vernissage,vernissieren,VVINF,1258,0
Unterlage,unterlieren,VVINF,16553,0
Anlage,anlieren,VVINF,58428,0
Lage,lieren,VVINF,79487,0
Trage,trieren,VVINF,5076,0
Plantage,plantieren,VVINF,1049,0
Waage,waieren,VVINF,5090,0
Gegenfrage,gegenfrieren,VVINF,1067,0
Passage,passieren,VVINF,7012,24548
Silage,silieren,VVINF,314,0
Klage,klieren,VVINF,17347,0
Leckage,leckieren,VVINF,378,0
Image,imieren,VVINF,11488,0
Garage,garieren,VVINF,7915,0
Umfrage,umfrieren,VVINF,19030,0
Frage,frieren,VVINF,402032,665
Rage,rieren,VVINF,1058,0
Vorlage,vorlieren,VVINF,17543,0
anfragen,anfraieren,VVINF,0,0
Massage,massieren,VVINF,6364,536
Message,messieren,VVINF,2446,0
Voranfrage,voranfrieren,VVINF,46,0
Homepage,homepieren,VVINF,40730,0
Einlage,einlieren,VVINF,3729,0
Grundlage,grundlieren,VVINF,57631,0
Reportage,reportieren,VVINF,4251,0
Hommage,hommieren,VVINF,1724,0
Aussage,aussieren,VVINF,62530,0
Gage,gieren,VVINF,1013,42
Etage,etieren,VVINF,6990,0
Sage,sieren,VVINF,5585,0
Anklage,anklieren,VVINF,3932,0
Bandage,bandieren,VVINF,857,0
Drainage,drainieren,VVINF,504,0
Originalunterlage,originalunterlieren,VVINF,42,0
Anfrage,anfrieren,VVINF,29831,17
Plage,plieren,VVINF,1277,0
Niederlage,niederlieren,VVINF,21532,0
Nachfrage,nachfrieren,VVINF,21989,0
Spionage,spionieren,VVINF,855,114
Persiflage,persiflieren,VVINF,297,67
Makrophage,makrophieren,VVINF,251,0
Zulage,zulieren,VVINF,1534,0
Rückfrage,rückfrieren,VVINF,3278,0
Demontage,demontieren,VVINF,1305,536
Umlage,umlieren,VVINF,918,0
Vorhersage,vorhersieren,VVINF,2592,0
Ablage,ablieren,VVINF,1641,0
Avantage,avantieren,VVINF,6,0
Zusage,zusieren,VVINF,5319,0
Courage,courieren,VVINF,1370,0
Auflage,auflieren,VVINF,36617,0
Entourage,entourieren,VVINF,189,0
Beilage,beilieren,VVINF,3049,0
Page,pieren,VVINF,5800,0
Abfrage,abfrieren,VVINF,2486,31
Hinterfrage,hinterfrieren,VVINF,399,0
Montage,montieren,VVINF,8477,2565
Sicherheitsfrage,sicherheitsfrieren,VVINF,378,0
Staffage,staffieren,VVINF,155,0
Tonnage,tonnieren,VVINF,135,0
Collage,collieren,VVINF,1982,0
Courtage,courtieren,VVINF,173,0
Telefonanlage,telefonanlieren,VVINF,910,0
Auslage,auslieren,VVINF,1894,0
Zivilcourage,zivilcourieren,VVINF,17111,0
Adorage,adorieren,VVINF,4,0
Rücklage,rücklieren,VVINF,1633,0
Karambolage,karambolieren,VVINF,84,0
Eremitage,eremitieren,VVINF,203,0
Zitage,zitieren,VVINF,0,2757
Kläranlage,kläranlieren,VVINF,1856,0
Bandansage,bandansieren,VVINF,61,0
Beletage,beletieren,VVINF,77,0
Ansage,ansieren,VVINF,3252,0
Absage,absieren,VVINF,4756,0
Menage,menieren,VVINF,32,0
Patronage,patronieren,VVINF,45,0
Webpage,webpieren,VVINF,440,0
Virage,virieren,VVINF,23,0
Fanpage,fanpieren,VVINF,814,0
Nebenfrage,nebenfrieren,VVINF,58,0
Kartonage,kartonieren,VVINF,533,0
Bagage,bagieren,VVINF,88,0
Sabotage,sabotieren,VVINF,710,275
Blamage,blamieren,VVINF,608,496
Feststellungsklage,feststellungsklieren,VVINF,300,0
Camouflage,camouflieren,VVINF,257,0
Libertinage,libertinieren,VVINF,20,0
Photomontage,photomontieren,VVINF,33,0
Gelage,gelieren,VVINF,242,0
Durchsage,durchsieren,VVINF,829,0
Advantage,advantieren,VVINF,370,0
abfragen,abfraieren,VVINF,0,0
e,ieren,VVINF,0,0
Binnennachfrage,binnennachfrieren,VVINF,361,0
Goldwaage,goldwaieren,VVINF,330,0
Thermage,thermieren,VVINF,13,0
Holage,holieren,VVINF,0,0
Chefetage,chefetieren,VVINF,540,0
Verständnisfrage,verständnisfrieren,VVINF,238,0
Frontpage,frontpieren,VVINF,359,0
durchsagen,durchsaieren,VVINF,0,0
Equipage,equipieren,VVINF,59,0
Nachrage,nachrieren,VVINF,3,0
Hauptaussage,hauptaussieren,VVINF,92,0
Homage,homieren,VVINF,103,0
Takelage,takelieren,VVINF,129,0
Vorfrage,vorfrieren,VVINF,60,0
Suchanfrage,suchanfrieren,VVINF,2133,0
Umweltfrage,umweltfrieren,VVINF,369,0
Gejage,gejieren,VVINF,15,0
ansagen,ansaieren,VVINF,0,0
Prüfungsfrage,prüfungsfrieren,VVINF,335,0
Visage,visieren,VVINF,226,10
Preisfrage,preisfrieren,VVINF,454,0
Wohnanlage,wohnanlieren,VVINF,1794,0
Ortslage,ortslieren,VVINF,479,0
Fussreflexzonenmassage,fussreflexzonenmassieren,VVINF,22,0
Einzellage,einzellieren,VVINF,103,0
Ermitage,ermitieren,VVINF,34,0
Frottage,frottieren,VVINF,24,0
Führungsetage,führungsetieren,VVINF,341,0
Montag,monieren,VVINF,48940,80
Quizfrage,quizfrieren,VVINF,1975,0
Filteranlage,filteranlieren,VVINF,339,0
Auftragslage,auftragslieren,VVINF,529,0
Verladeanlage,verladeanlieren,VVINF,32,0
Zwischenfrage,zwischenfrieren,VVINF,540,0
Glaubensfrage,glaubensfrieren,VVINF,719,0
Dränage,dränieren,VVINF,44,0
Zuchtanlage,zuchtanlieren,VVINF,119,0
Arbitrage,arbitrieren,VVINF,73,0
Korsage,korsieren,VVINF,51,0
Kollagen,kollaieren,VVINF,26,0
Wirtschaftslage,wirtschaftslieren,VVINF,681,0
Voraussage,voraussieren,VVINF,645,0
Average,averieren,VVINF,237,0
Vorausklage,vorausklieren,VVINF,15,0
Zukunftsfrage,zukunftsfrieren,VVINF,307,0
Wasserwaage,wasserwaieren,VVINF,294,0
Saisonniederlage,saisonniederlieren,VVINF,312,0
Koalitionsaussage,koalitionsaussieren,VVINF,70,0
Manage,manieren,VVINF,0,0
Förderanlage,förderanlieren,VVINF,143,0
Geophage,geophieren,VVINF,1,0
Gesundheitsfrage,gesundheitsfrieren,VVINF,624,0
Vage,vieren,VVINF,59,0
Gerage,gerieren,VVINF,5,53
Mutage,mutieren,VVINF,6,455
Einfrage,einfrieren,VVINF,0,686
Emballage,emballieren,VVINF,3,0
Gesangseinlage,gesangseinlieren,VVINF,208,0
Autogarage,autogarieren,VVINF,32,0
Filmvorlage,filmvorlieren,VVINF,32,0
Apanage,apanieren,VVINF,29,0
absagen,absaieren,VVINF,0,0
Personalunterlage,personalunterlieren,VVINF,20,0
Kolportage,kolportieren,VVINF,58,15
Trikotage,trikotieren,VVINF,11,0
Nichttrage,nichttrieren,VVINF,21,0
Rotage,rotieren,VVINF,1,485
Abmontage,abmontieren,VVINF,4,140
Tiefgarage,tiefgarieren,VVINF,1729,0
Sportreportage,sportreportieren,VVINF,20,0
Filtrage,filtrieren,VVINF,0,28
Beziehungsfrage,beziehungsfrieren,VVINF,36,0
Widerklage,widerklieren,VVINF,263,0
Fangfrage,fangfrieren,VVINF,123,0
Fotomontage,fotomontieren,VVINF,426,0
Anfangsfrage,anfangsfrieren,VVINF,48,0
Zwischenetage,zwischenetieren,VVINF,17,0
Führungsfrage,führungsfrieren,VVINF,40,0
Geschlage,geschlieren,VVINF,0,0
Grenzfrage,grenzfrieren,VVINF,68,0
Widervorlage,widervorlieren,VVINF,1,0
Müllverbrennungsanlage,müllverbrennungsanlieren,VVINF,390,0
Grundfrage,grundfrieren,VVINF,809,0
Seitenlage,seitenlieren,VVINF,301,0
Bewässerungsanlage,bewässerungsanlieren,VVINF,131,0
