lemma,unique_candidates,pos,lemma_freq,base_freq
Parlament,parlieren,VVINF,16971,0
Sakrament,sakrieren,VVINF,2074,0
Medikament,medikieren,VVINF,25280,0
Medikament,medizieren,VVINF,25280,0
Pergament,pergieren,VVINF,650,0
Fundament,fundieren,VVINF,6638,80
Testament,testieren,VVINF,8502,24
Ornament,ornieren,VVINF,1124,0
Temperament,temperieren,VVINF,1839,0
Firmament,firmieren,VVINF,406,67
Filament,filieren,VVINF,125,0
Vorparlament,vorparlieren,VVINF,17,0
Ursakrament,ursakrieren,VVINF,4,0
Gemeindeparlament,gemeindeparlieren,VVINF,85,0
Stadtparlament,stadtparlieren,VVINF,447,0
Malariamedikament,malariamedikieren,VVINF,17,0
Malariamedikament,malariamedizieren,VVINF,17,0
Altarssakrament,altarssakrieren,VVINF,14,0
Streifenfundament,streifenfundieren,VVINF,46,0
Notfallmedikament,notfallmedikieren,VVINF,80,0
Notfallmedikament,notfallmedizieren,VVINF,80,0
