lemma,unique_candidates,pos,lemma_freq,base_freq
Demonstrant,demonstrieren,VVINF,4564,2758
Leutnant,leutnieren,VVINF,1276,0
Praktikant,praktikieren,VVINF,2837,0
Lieferant,lieferieren,VVINF,7717,0
Restaurant,restaurieren,VVINF,29820,709
Sympathisant,sympathisieren,VVINF,869,75
Mandant,mandieren,VVINF,16986,0
Passant,passieren,VVINF,3222,24548
Gigant,gigieren,VVINF,1152,0
Migrant,migrieren,VVINF,4775,0
Interessant,interessieren,VVINF,1811,17554
Bonvivant,bonvivieren,VVINF,25,0
Pendant,pendieren,VVINF,1889,0
Repräsentant,repräsentieren,VVINF,2978,806
Garant,garieren,VVINF,2737,0
Emigrant,emigrieren,VVINF,733,198
Laborant,laborieren,VVINF,184,6
Spekulant,spekulieren,VVINF,990,1604
Kommandant,kommandieren,VVINF,3169,105
Fabrikant,fabrikieren,VVINF,567,0
Informant,informieren,VVINF,1158,24385
Consultant,consultieren,VVINF,1405,0
Denunziant,denunziieren,VVINF,207,0
Intendant,intendieren,VVINF,1417,31
Registrant,registrieren,VVINF,43,9818
Musikant,musikieren,VVINF,918,0
Diamant,diamieren,VVINF,3756,0
Vorlieferant,vorlieferieren,VVINF,142,0
Protestant,protestieren,VVINF,1623,1364
Erstmigrant,erstmigrieren,VVINF,0,0
Immigrant,immigrieren,VVINF,732,10
Trabant,trabieren,VVINF,603,0
Variant,variieren,VVINF,570,1935
mutant,mutieren,VVINF,0,455
Komödiant,komödiieren,VVINF,263,0
Querulant,querulieren,VVINF,374,3
Antitranspirant,antitranspirieren,VVINF,40,0
Protokollant,protokollieren,VVINF,43,334
Pedant,pedieren,VVINF,100,0
Ministrant,ministrieren,VVINF,545,0
Asant,asieren,VVINF,29,0
Ignorant,ignorieren,VVINF,378,4325
Brillant,brillieren,VVINF,370,152
Croissant,croissieren,VVINF,392,0
Aspirant,aspirieren,VVINF,238,0
Oberleutnant,oberleutnieren,VVINF,396,0
Hydrant,hydrieren,VVINF,322,0
Quadrant,quadrieren,VVINF,550,0
Radiant,radiieren,VVINF,104,0
Lieutenant,lieutenieren,VVINF,372,0
Probant,probieren,VVINF,103,8799
Diskutant,diskutieren,VVINF,383,14332
Elephant,elephieren,VVINF,412,0
Asylant,asylieren,VVINF,60,0
Initiant,initiieren,VVINF,185,903
Zelebrant,zelebrieren,VVINF,72,426
Gegendemonstrant,gegendemonstrieren,VVINF,254,0
Gratulant,gratulieren,VVINF,547,1840
Prädikant,prädikieren,VVINF,102,0
Volant,volieren,VVINF,124,0
Sextant,sextieren,VVINF,195,0
signifikant,signifikieren,VVINF,0,0
Flagellant,flagellieren,VVINF,46,0
Projektant,projektieren,VVINF,11,66
Proviant,proviieren,VVINF,755,0
Konspirant,konspirieren,VVINF,2,7
Sergeant,sergeieren,VVINF,687,0
Okkupant,okkupieren,VVINF,53,27
Simulant,simulieren,VVINF,110,1329
Akzeptant,akzeptieren,VVINF,8,10183
Vagant,vagieren,VVINF,65,0
Intrigant,intrigieren,VVINF,95,248
Transparant,transparieren,VVINF,4,0
Vibrant,vibrieren,VVINF,90,253
Mitdiskutant,mitdiskutieren,VVINF,60,367
Elefant,elefieren,VVINF,5637,0
Sekundant,sekundieren,VVINF,68,11
Adjutant,adjutieren,VVINF,420,0
Qualifikant,qualifikieren,VVINF,95,0
Vierkant,vierkieren,VVINF,106,0
Dilettant,dilettieren,VVINF,246,0
Oberstleutnant,oberstleutnieren,VVINF,598,0
Duellant,duellieren,VVINF,63,141
Exulant,exulieren,VVINF,30,0
Quant,quieren,VVINF,458,0
Kombattant,kombattieren,VVINF,120,0
Rekombinant,rekombinieren,VVINF,9,0
Infant,infieren,VVINF,70,0
Observant,observieren,VVINF,4,58
Deodorant,deodorieren,VVINF,102,0
Chemikant,chemikieren,VVINF,58,0
Operant,operieren,VVINF,15,1592
Attendant,attendieren,VVINF,22,0
Famulant,famulieren,VVINF,46,0
Reflektant,reflektieren,VVINF,8,1897
Geant,geieren,VVINF,5,0
Rohdiamant,rohdiamieren,VVINF,149,0
Hospitant,hospitieren,VVINF,52,89
Adoptant,adoptieren,VVINF,11,598
Manipulant,manipulieren,VVINF,3,1757
Figurant,figurieren,VVINF,50,15
Unterleutnant,unterleutnieren,VVINF,29,0
Trafikant,trafikieren,VVINF,14,0
Demant,demieren,VVINF,58,0
Stimulant,stimulieren,VVINF,4,483
