lemma,unique_candidates,pos,lemma_freq,base_freq
Substanz,substieren,VVINF,13852,0
Relevanz,relevieren,VVINF,4942,0
Akzeptanz,akzeptieren,VVINF,7866,10183
Resonanz,resonieren,VVINF,7096,0
Varianz,variieren,VVINF,455,1935
Allianz,alliieren,VVINF,7206,0
Toleranz,tolerieren,VVINF,15546,964
Bilanz,bilieren,VVINF,10433,0
Dominanz,dominieren,VVINF,2322,831
Tanz,tieren,VVINF,14314,0
Instanz,instieren,VVINF,7746,0
Konkordanz,konkordieren,VVINF,194,0
Intoleranz,intolerieren,VVINF,1234,0
Arroganz,arrogieren,VVINF,2332,0
Vorinstanz,vorinstieren,VVINF,3087,0
Vakanz,vakieren,VVINF,280,0
Kranz,krieren,VVINF,1596,0
Finanz,finieren,VVINF,10722,0
Ignoranz,ignorieren,VVINF,2265,4325
Intendanz,intendieren,VVINF,177,31
Stepptanz,stepptieren,VVINF,66,0
Assekuranz,assekurieren,VVINF,242,0
Ambulanz,ambulieren,VVINF,1046,0
Brillanz,brillieren,VVINF,553,152
Diskrepanz,diskrepieren,VVINF,1577,0
Redundanz,redundieren,VVINF,622,0
Steptanz,steptieren,VVINF,35,0
Glanz,glieren,VVINF,6156,0
Distanz,distieren,VVINF,11237,0
Kulanz,kulieren,VVINF,1020,0
Protuberanz,protuberieren,VVINF,78,0
Brisanz,brisieren,VVINF,1029,0
Rasanz,rasieren,VVINF,119,532
Performanz,performieren,VVINF,259,0
Hochglanz,hochglieren,VVINF,730,0
Konstanz,konstieren,VVINF,910,0
Schwanz,schwieren,VVINF,5251,0
Prägnanz,prägnieren,VVINF,183,0
Auswärtsbilanz,auswärtsbilieren,VVINF,62,0
Repräsentanz,repräsentieren,VVINF,474,806
Observanz,observieren,VVINF,60,58
Abglanz,abglieren,VVINF,158,0
Markanz,markieren,VVINF,13,2480
Taenz,taieren,VVINF,0,0
Militanz,militieren,VVINF,120,0
Hospitanz,hospitieren,VVINF,55,89
Dissonanz,dissonieren,VVINF,454,0
Firlefanz,firlefieren,VVINF,361,0
