lemma,unique_candidates,pos,lemma_freq,base_freq
Kollaborateur,kollaborieren,VVINF,252,31
Installateur,installieren,VVINF,735,13333
Operateur,operieren,VVINF,799,1592
Dekorateur,dekorieren,VVINF,103,396
Fixateur,fixieren,VVINF,42,1230
Amateur,amieren,VVINF,3446,0
Reparateur,reparieren,VVINF,33,3536
Animateur,animieren,VVINF,332,1270
Stukkateur,stukkieren,VVINF,124,0
Stukkateur,stukzieren,VVINF,124,0
Elektroinstallateur,elektroinstallieren,VVINF,231,0
Improvisateur,improvisieren,VVINF,6,596
Zitateur,zitieren,VVINF,0,2757
Evaluateur,evaluieren,VVINF,0,470
Kreateur,kreieren,VVINF,13,1647
Provokateur,provokieren,VVINF,350,0
Provokateur,provozieren,VVINF,350,2270
Destillateur,destillieren,VVINF,15,74
Observateur,observieren,VVINF,23,58
Intonateur,intonieren,VVINF,10,62
Restaurateur,restaurieren,VVINF,57,709
Manipulateur,manipulieren,VVINF,15,1757
Kommunikateur,kommunikieren,VVINF,5,0
Kommunikateur,kommunizieren,VVINF,5,4530
Regulateur,regulieren,VVINF,3,1485
Aspirateur,aspirieren,VVINF,3,0
Funkamateur,funkamieren,VVINF,1167,0
Explorateur,explorieren,VVINF,0,32
Plastinateur,plastinieren,VVINF,0,0
Wettmanipulateur,wettmanipulieren,VVINF,2,0
Fotoamateur,fotoamieren,VVINF,47,0
Organisateur,organisieren,VVINF,0,8070
Spekulateur,spekulieren,VVINF,0,1604
Informateur,informieren,VVINF,29,24385
Kooperateur,kooperieren,VVINF,1,996
Reformateur,reformieren,VVINF,0,558
Konspirateur,konspirieren,VVINF,3,7
Renovateur,renovieren,VVINF,0,965
Destabilisateur,destabilisieren,VVINF,0,0
Synchronisateur,synchronisieren,VVINF,0,899
Investigateur,investigieren,VVINF,0,0
Staatsamateur,staatsamieren,VVINF,5,0
Emanzipateur,emanzipieren,VVINF,0,183
Deklamateur,deklamieren,VVINF,0,22
Navigateur,navigieren,VVINF,1,787
Superamateur,superamieren,VVINF,0,0
Exportateur,exportieren,VVINF,0,1255
Applikateur,applikieren,VVINF,3,0
Applikateur,applizieren,VVINF,3,73
Sonntagsamateur,sonntagsamieren,VVINF,1,0
Reanimateur,reanimieren,VVINF,0,140
Motivateur,motivieren,VVINF,0,3741
Akkumulateur,akkumulieren,VVINF,0,63
Inspirateur,inspirieren,VVINF,0,2833
Formateur,formieren,VVINF,4,358
Nichtamateur,nichtamieren,VVINF,3,0
Heizungsinstallateur,heizungsinstallieren,VVINF,58,0
Dekurateur,dekurieren,VVINF,0,0
Transmutateur,transmutieren,VVINF,0,0
Multiplikateur,multiplikieren,VVINF,0,0
Multiplikateur,multiplizieren,VVINF,0,276
Replikateur,replikieren,VVINF,0,0
Replikateur,replizieren,VVINF,0,129
Transpirateur,transpirieren,VVINF,0,10
Deflorateur,deflorieren,VVINF,0,0
Administrateur,administrieren,VVINF,4,183
Wasserinstallateur,wasserinstallieren,VVINF,73,0
Penetrateur,penetrieren,VVINF,0,66
Diktateur,diktieren,VVINF,0,514
Telekommunikateur,telekommunikieren,VVINF,0,0
Telekommunikateur,telekommunizieren,VVINF,0,0
Usurpateur,usurpieren,VVINF,0,9
Multikreateur,multikreieren,VVINF,0,0
Vibrateur,vibrieren,VVINF,0,253
Ventilateur,ventilieren,VVINF,0,8
Moderateur,moderieren,VVINF,1,661
Partizipateur,partizipieren,VVINF,0,491
Kopulateur,kopulieren,VVINF,0,29
Importateur,importieren,VVINF,1,1755
Kompensateur,kompensieren,VVINF,0,2540
Agitateur,agitieren,VVINF,4,57
Erstoperateur,erstoperieren,VVINF,1,0
Qualifikateur,qualifikieren,VVINF,0,0
Qualifikateur,qualifizieren,VVINF,0,2801
Koordinateur,koordinieren,VVINF,0,1400
Kontemplateur,kontemplieren,VVINF,0,0
Kalkulateur,kalkulieren,VVINF,0,841
Sanitärinstallateur,sanitärinstallieren,VVINF,24,0
Dekontaminateur,dekontaminieren,VVINF,0,18
Lernanimateur,lernanimieren,VVINF,0,0
Medienamateur,medienamieren,VVINF,4,0
Anheizanimateur,anheizanimieren,VVINF,0,0
Videoamateur,videoamieren,VVINF,10,0
Kombinateur,kombinieren,VVINF,2,4141
Migrateur,migrieren,VVINF,1,0
Infiltrateur,infiltrieren,VVINF,0,158
Voroperateur,voroperieren,VVINF,0,0
Zweitoperateur,zweitoperieren,VVINF,0,0
Eskalateur,eskalieren,VVINF,0,497
Inhalateur,inhalieren,VVINF,0,186
Proklamateur,proklamieren,VVINF,0,82
Mitamateur,mitamieren,VVINF,0,0
Deportateur,deportieren,VVINF,0,0
Visitateur,visitieren,VVINF,0,0
Designateur,designieren,VVINF,0,5
Respirateur,respirieren,VVINF,0,0
Simulateur,simulieren,VVINF,0,1329
Liquidateur,liquidieren,VVINF,0,197
Pulverisateur,pulverisieren,VVINF,0,40
Lachanimateur,lachanimieren,VVINF,0,0
Integrateur,integrieren,VVINF,0,7128
Publikateur,publikieren,VVINF,0,0
Publikateur,publizieren,VVINF,0,1100
Konzentrateur,konzentrieren,VVINF,0,8841
Indoktrinateur,indoktrinieren,VVINF,0,52
Transformateur,transformieren,VVINF,0,488
