lemma,unique_candidates,pos,lemma_freq,base_freq
Innovation,innovieren,VVINF,14208,0
Repräsentation,repräsentieren,VVINF,1937,806
Information,informieren,VVINF,196806,24385
Präsentation,präsentieren,VVINF,16947,12958
Motivation,motivieren,VVINF,14468,3741
Kommunikation,kommunikieren,VVINF,32447,0
Situation,situieren,VVINF,91820,0
Integration,integrieren,VVINF,21328,7128
Kombination,kombinieren,VVINF,28815,4141
Kooperation,kooperieren,VVINF,27594,996
Partizipation,partizipieren,VVINF,2158,491
Konzentration,konzentrieren,VVINF,13795,8841
Koordination,koordinieren,VVINF,4905,1400
Organisation,organisieren,VVINF,51095,8070
Navigation,navigieren,VVINF,10595,787
Qualifikation,qualifikieren,VVINF,10399,0
Publikation,publikieren,VVINF,14803,0
Operation,operieren,VVINF,16136,1592
Zirkulation,zirkulieren,VVINF,580,228
Animation,animieren,VVINF,5998,1270
Amplifikation,amplifikieren,VVINF,46,0
Stimulation,stimulieren,VVINF,1159,483
Emanzipation,emanzipieren,VVINF,2019,183
Nation,nieren,VVINF,19976,0
Workstation,workstieren,VVINF,896,0
Transformation,transformieren,VVINF,3572,488
Konstellation,konstellieren,VVINF,4756,0
Spekulation,spekulieren,VVINF,6757,1604
Improvisation,improvisieren,VVINF,1898,596
Provokation,provokieren,VVINF,3047,0
Rehabilitation,rehabilitieren,VVINF,3586,241
Duplikation,duplikieren,VVINF,32,0
Kollaboration,kollaborieren,VVINF,690,31
Formation,formieren,VVINF,4311,358
Dissertation,dissertieren,VVINF,4904,0
Flotation,flotieren,VVINF,38,0
Kalkulation,kalkulieren,VVINF,2157,841
Moderation,moderieren,VVINF,4127,661
Mediation,mediieren,VVINF,2640,0
Reformation,reformieren,VVINF,3151,558
Installation,installieren,VVINF,20218,13333
Station,stieren,VVINF,22766,15
Generation,generieren,VVINF,37437,2630
Honoration,honorieren,VVINF,21,481
Dokumentation,dokumentieren,VVINF,15457,3450
Registration,registrieren,VVINF,258,9818
Argumentation,argumentieren,VVINF,7556,2118
PlayStation,playstieren,VVINF,5452,0
Demonstration,demonstrieren,VVINF,9878,2758
Anmoderation,anmoderieren,VVINF,145,8
Illustration,illustrieren,VVINF,5342,455
Sensation,sensieren,VVINF,3123,0
Variation,variieren,VVINF,5713,1935
Kongregation,kongregieren,VVINF,656,0
Kondensation,kondensieren,VVINF,322,83
Föderation,föderieren,VVINF,2663,0
Inflation,inflieren,VVINF,4396,0
Notation,notieren,VVINF,639,1120
Application,applicieren,VVINF,1321,0
Konfiguration,konfigurieren,VVINF,7419,1736
Indikation,indikieren,VVINF,2313,0
Delegation,delegieren,VVINF,4229,425
Legitimation,legitimieren,VVINF,2241,620
Säkularisation,säkularisieren,VVINF,432,11
Fluktuation,fluktuieren,VVINF,746,12
Akklamation,akklamieren,VVINF,161,2
Inspiration,inspirieren,VVINF,4679,2833
Applikation,applikieren,VVINF,6211,0
Location,locieren,VVINF,4314,0
Simulation,simulieren,VVINF,4988,1329
Intonation,intonieren,VVINF,445,62
Spezifikation,spezifikieren,VVINF,2912,0
Korporation,korporieren,VVINF,237,0
Polarisation,polarisieren,VVINF,371,186
Reputation,reputieren,VVINF,1582,0
Konversation,konversieren,VVINF,1073,2
Inkarnation,inkarnieren,VVINF,1208,64
Compilation,compilieren,VVINF,905,0
Faszination,faszinieren,VVINF,4952,467
Konfrontation,konfrontieren,VVINF,2939,672
Regeneration,regenerieren,VVINF,2232,848
Artikulation,artikulieren,VVINF,556,777
Konsultation,konsultieren,VVINF,940,651
Interpretation,interpretieren,VVINF,13067,3225
Sozialisation,sozialisieren,VVINF,1346,100
Filtration,filtrieren,VVINF,247,28
Identifikation,identifikieren,VVINF,3797,0
Oxidation,oxidieren,VVINF,700,0
Relation,relieren,VVINF,3527,0
Eskalation,eskalieren,VVINF,1580,497
Inhalation,inhalieren,VVINF,384,186
Zivilisation,zivilisieren,VVINF,4839,47
Readaptation,readaptieren,VVINF,2,0
Manifestation,manifestieren,VVINF,1089,632
Kreation,kreieren,VVINF,2254,1647
