lemma,unique_candidates,pos,lemma_freq,base_freq
Moderator,moderieren,VVINF,12216,661
Emulator,emulieren,VVINF,935,0
Senator,senieren,VVINF,3183,0
Kommentator,kommentieren,VVINF,2984,4911
Illustrator,illustrieren,VVINF,1253,455
Diktator,diktieren,VVINF,2503,514
Konfigurator,konfigurieren,VVINF,336,1736
Äquator,äquieren,VVINF,1006,0
Organisator,organisieren,VVINF,5725,8070
Multiplikator,multiplikieren,VVINF,1534,0
Multiplikator,multiplizieren,VVINF,1534,276
Navigator,navigieren,VVINF,1143,787
Innovator,innovieren,VVINF,303,0
Indikator,indikieren,VVINF,4011,0
Indikator,indizieren,VVINF,4011,139
Vibrator,vibrieren,VVINF,612,253
Initiator,initiieren,VVINF,4367,903
Stator,stieren,VVINF,153,15
Kondensator,kondensieren,VVINF,2516,83
Evaluator,evaluieren,VVINF,45,470
Koordinator,koordinieren,VVINF,1399,1400
Transformator,transformieren,VVINF,759,488
Stabilisator,stabilisieren,VVINF,499,1762
Operator,operieren,VVINF,1521,1592
Administrator,administrieren,VVINF,4574,183
Klassifikator,klassifikieren,VVINF,14,0
Klassifikator,klassifizieren,VVINF,14,392
Agitator,agitieren,VVINF,171,57
Terminator,terminieren,VVINF,1140,78
Kalkulator,kalkulieren,VVINF,78,841
Simulator,simulieren,VVINF,1270,1329
Stimulator,stimulieren,VVINF,53,483
Defibrillator,defibrillieren,VVINF,336,0
Ventilator,ventilieren,VVINF,1519,8
Regulator,regulieren,VVINF,335,1485
Generator,generieren,VVINF,2635,2630
Isolator,isolieren,VVINF,321,821
Inkubator,inkubieren,VVINF,312,0
Interpolator,interpolieren,VVINF,1,55
Elevator,elevieren,VVINF,151,0
Resonator,resonieren,VVINF,189,0
Mediator,mediieren,VVINF,843,0
Deflator,deflieren,VVINF,10,0
Reformator,reformieren,VVINF,858,558
Sterilisator,sterilisieren,VVINF,51,155
Auktionator,auktionieren,VVINF,191,0
Demonstrator,demonstrieren,VVINF,127,2758
Manipulator,manipulieren,VVINF,128,1757
Kurator,kurieren,VVINF,939,236
Katalysator,katalysieren,VVINF,1791,14
Alligator,alligieren,VVINF,356,0
Emulgator,emulgieren,VVINF,427,0
Motivator,motivieren,VVINF,286,3741
