lemma,unique_candidates,pos,lemma_freq,base_freq
Reparatur,reparieren,VVINF,10698,3536
Temperatur,temperieren,VVINF,31270,0
Diktatur,diktieren,VVINF,4861,514
Literatur,literieren,VVINF,30612,0
Tabulatur,tabulieren,VVINF,105,0
Tastatur,tastieren,VVINF,9509,0
Muskulatur,muskulieren,VVINF,3654,0
Legislatur,legislieren,VVINF,237,0
Quadratur,quadrieren,VVINF,291,0
Armatur,armieren,VVINF,1309,0
Karikatur,karikieren,VVINF,1887,32
Matur,mieren,VVINF,65,0
Wassertemperatur,wassertemperieren,VVINF,1594,0
Kreatur,kreieren,VVINF,3436,1647
Signatur,signieren,VVINF,7934,427
Makulatur,makulieren,VVINF,392,0
Kandidatur,kandidieren,VVINF,1422,755
Visitatur,visitieren,VVINF,3,0
Miniatur,miniieren,VVINF,1534,0
Untertemperatur,untertemperieren,VVINF,53,0
Natur,nieren,VVINF,67190,0
Statur,stieren,VVINF,902,15
Apparatur,apparieren,VVINF,680,0
Purnatur,purnieren,VVINF,3,0
Titulatur,titulieren,VVINF,51,170
Nomenklatur,nomenklieren,VVINF,455,0
Klaviatur,klaviieren,VVINF,273,0
Stukkatur,stukkieren,VVINF,59,0
Demokratur,demokrieren,VVINF,55,0
Bauchmuskulatur,bauchmuskulieren,VVINF,261,0
Registratur,registrieren,VVINF,194,9818
Ligatur,ligieren,VVINF,173,0
Prokuratur,prokurieren,VVINF,1,0
Famulatur,famulieren,VVINF,200,0
Advokatur,advokieren,VVINF,30,0
Nuntiatur,nuntiieren,VVINF,72,0
Zimmertemperatur,zimmertemperieren,VVINF,688,0
Euronatur,euronieren,VVINF,62,0
Nachkriegsliteratur,nachkriegsliterieren,VVINF,69,0
Buchliteratur,buchliterieren,VVINF,5,0
Gegenkandidatur,gegenkandidieren,VVINF,25,0
Frankatur,frankieren,VVINF,31,60
Imprimatur,imprimieren,VVINF,82,0
Schundliteratur,schundliterieren,VVINF,32,0
Aussentemperatur,aussentemperieren,VVINF,241,0
Abbreviatur,abbreviieren,VVINF,20,0
Judikatur,judikieren,VVINF,112,0
Beinmuskulatur,beinmuskulieren,VVINF,166,0
Prälatur,prälieren,VVINF,51,0
Hochtemperatur,hochtemperieren,VVINF,36,0
Betriebstemperatur,betriebstemperieren,VVINF,574,0
Koloratur,kolorieren,VVINF,12,17
Widernatur,widernieren,VVINF,5,0
Nachreparatur,nachreparieren,VVINF,0,0
Kämpfernatur,kämpfernieren,VVINF,110,0
Administratur,administrieren,VVINF,11,183
Sekundärliteratur,sekundärliterieren,VVINF,516,0
Lineatur,lineieren,VVINF,22,0
Delegatur,delegieren,VVINF,1,425
Notreparatur,notreparieren,VVINF,50,0
Wiederkandidatur,wiederkandidieren,VVINF,9,0
Urnatur,urnieren,VVINF,15,0
Bühnenliteratur,bühnenliterieren,VVINF,4,0
Applikatur,applikieren,VVINF,5,0
Raumtemperatur,raumtemperieren,VVINF,1300,0
Schuhreparatur,schuhreparieren,VVINF,46,0
Nichtkandidatur,nichtkandidieren,VVINF,1,0
Frauenliteratur,frauenliterieren,VVINF,81,0
Körpertemperatur,körpertemperieren,VVINF,929,0
Moderatur,moderieren,VVINF,5,661
Duplikatur,duplikieren,VVINF,1,0
Unnatur,unnieren,VVINF,9,0
Renovatur,renovieren,VVINF,3,965
Rückenmuskulatur,rückenmuskulieren,VVINF,453,0
Hydratur,hydrieren,VVINF,0,0
Nomenklatura,nomenklaieren,VVINF,0,0
Ereparatur,ereparieren,VVINF,0,0
Sowjetliteratur,sowjetliterieren,VVINF,13,0
Iteratur,iterieren,VVINF,0,0
Außentemperatur,außentemperieren,VVINF,1157,0
Lufttemperatur,lufttemperieren,VVINF,543,0
Stadtnatur,stadtnieren,VVINF,41,0
Korrelatur,korrelieren,VVINF,0,100
