lemma,unique_candidates,pos,lemma_freq,base_freq
Appartement,appartieren,VVINF,3112,0
Engagement,engagieren,VVINF,33808,5237
Arrangement,arrangieren,VVINF,3436,1028
Management,managieren,VVINF,22604,0
Abonnement,abonnieren,VVINF,2349,3160
Element,elieren,VVINF,39301,0
Bombardement,bombardieren,VVINF,543,296
Statement,statieren,VVINF,6644,0
Understatement,understatieren,VVINF,413,0
Departement,departieren,VVINF,1313,0
Raffinement,raffinieren,VVINF,63,15
Reglement,reglieren,VVINF,1159,0
Agreement,agreieren,VVINF,593,0
Zement,zieren,VVINF,1100,301
Supplement,supplieren,VVINF,756,0
Exkrement,exkrieren,VVINF,337,0
Etablissement,etablissieren,VVINF,424,0
Klassement,klassieren,VVINF,122,0
Bauelement,bauelieren,VVINF,1217,0
Holzelement,holzelieren,VVINF,85,0
Amusement,amusieren,VVINF,100,0
Gouvernement,gouvernieren,VVINF,98,0
Missmanagement,missmanagieren,VVINF,150,0
Amüsement,amüsieren,VVINF,186,655
Komplement,komplieren,VVINF,153,0
Settlement,settlieren,VVINF,127,0
Inkrement,inkrieren,VVINF,80,0
Arrondissement,arrondissieren,VVINF,175,0
Unterelement,unterelieren,VVINF,54,0
Qualitätsmanagement,qualitätsmanagieren,VVINF,2465,0
Projektmanagement,projektmanagieren,VVINF,2631,0
Selbstmanagement,selbstmanagieren,VVINF,356,0
Attachement,attachieren,VVINF,41,0
Renseignement,renseignieren,VVINF,3,0
Urelement,urelieren,VVINF,28,0
Baumanagement,baumanagieren,VVINF,106,0
Vertragsmanagement,vertragsmanagieren,VVINF,92,0
Seminarmanagement,seminarmanagieren,VVINF,3,0
Spurenelement,spurenelieren,VVINF,1648,0
Revirement,revirieren,VVINF,13,0
Logement,logieren,VVINF,11,46
Subelement,subelieren,VVINF,3,0
Stilelement,stilelieren,VVINF,495,0
Dichtelement,dichtelieren,VVINF,146,0
Teammanagement,teammanagieren,VVINF,21,0
Gesundheitsmanagement,gesundheitsmanagieren,VVINF,669,0
Beteiligungsmanagement,beteiligungsmanagieren,VVINF,48,0
Klinikmanagement,klinikmanagieren,VVINF,8,0
Antielement,antielieren,VVINF,2,0
Erstengagement,erstengagieren,VVINF,3,0
Einzelelement,einzelelieren,VVINF,146,0
Appeasement,appeasieren,VVINF,88,0
Deplacement,deplacieren,VVINF,0,0
Räsonnement,räsonnieren,VVINF,30,0
Krisenmanagement,krisenmanagieren,VVINF,649,0
Produktmanagement,produktmanagieren,VVINF,347,0
Spielelement,spielelieren,VVINF,228,0
Avertissement,avertissieren,VVINF,14,0
Metastatement,metastatieren,VVINF,1,0
Deckenelement,deckenelieren,VVINF,68,0
Informationsmanagement,informationsmanagieren,VVINF,421,0
Finanzmanagement,finanzmanagieren,VVINF,242,0
Hotelmanagement,hotelmanagieren,VVINF,56,0
Risikomanagement,risikomanagieren,VVINF,1373,0
