lemma,unique_candidates,pos,lemma_freq,base_freq
Patient,patiieren,VVINF,68375,0
Präsident,präsidieren,VVINF,35379,17
Referent,referieren,VVINF,8785,412
Assistent,assistieren,VVINF,4955,154
Ministerpräsident,ministerpräsidieren,VVINF,10827,0
Cent,cieren,VVINF,14768,0
Koeffizient,koeffiziieren,VVINF,312,0
Produzent,produzieren,VVINF,9884,7237
Agent,agieren,VVINF,5839,3321
Student,studieren,VVINF,30209,7471
Emittent,emittieren,VVINF,934,89
Kontingent,kontingieren,VVINF,1442,0
Korrespondent,korrespondieren,VVINF,852,103
Interessent,interessieren,VVINF,12120,17554
Prozent,prozieren,VVINF,136509,0
Transparent,transparieren,VVINF,1626,0
Kontinent,kontinieren,VVINF,8433,0
Talent,talieren,VVINF,14557,0
Event,evieren,VVINF,20017,0
Abonnent,abonnieren,VVINF,2986,3160
Dozent,dozieren,VVINF,6693,41
Mitpatient,mitpatiieren,VVINF,188,0
Dezernent,dezernieren,VVINF,523,0
Konkurrent,konkurrieren,VVINF,7740,901
Kontrahent,kontrahieren,VVINF,2263,47
Client,cliieren,VVINF,7329,0
Regent,regieren,VVINF,902,1714
Absolvent,absolvieren,VVINF,5897,4642
Gradient,gradiieren,VVINF,251,0
Superintendent,superintendieren,VVINF,909,0
Supertalent,supertalieren,VVINF,1104,0
Äquivalent,äquivalieren,VVINF,869,0
Konvent,konvieren,VVINF,1125,0
Vizepräsident,vizepräsidieren,VVINF,3422,0
Dissident,dissidieren,VVINF,483,0
Multitalent,multitalieren,VVINF,623,0
Klient,kliieren,VVINF,5250,0
Abiturient,abituriieren,VVINF,1837,0
Dirigent,dirigieren,VVINF,3662,367
Quotient,quotiieren,VVINF,461,0
Akzent,akzieren,VVINF,6325,0
Stent,stieren,VVINF,586,15
Resident,residieren,VVINF,1591,79
Erstabsolvent,erstabsolvieren,VVINF,3,0
Präsent,präsieren,VVINF,1409,0
Nebenproduzent,nebenproduzieren,VVINF,0,0
Petent,petieren,VVINF,134,0
Patent,patieren,VVINF,7125,0
Rezipient,rezipiieren,VVINF,718,0
Substituent,substituieren,VVINF,78,98
Aszendent,aszendieren,VVINF,442,0
Mitproduzent,mitproduzieren,VVINF,18,9
Doppelagent,doppelagieren,VVINF,68,0
Gegenpräsident,gegenpräsidieren,VVINF,0,0
Mitstudent,mitstudieren,VVINF,141,0
Delinquent,delinquieren,VVINF,253,0
Exponent,exponieren,VVINF,441,48
Rezensent,rezensieren,VVINF,1775,208
Inserent,inserieren,VVINF,434,412
Okzident,okzidieren,VVINF,281,0
Konkurent,konkurieren,VVINF,167,0
Gent,gieren,VVINF,422,42
Deszendent,deszendieren,VVINF,40,0
Urkontinent,urkontinieren,VVINF,31,0
Disponent,disponieren,VVINF,381,108
Zehent,zehieren,VVINF,30,0
Inspizient,inspiziieren,VVINF,40,0
Trident,tridieren,VVINF,158,0
Subkontinent,subkontinieren,VVINF,432,0
Jahrzent,jahrzieren,VVINF,148,0
Siebent,siebieren,VVINF,86,0
Insurgent,insurgieren,VVINF,12,0
Orient,oriieren,VVINF,2846,0
Repellent,repellieren,VVINF,87,0
Multiagent,multiagieren,VVINF,0,0
Reagent,reagieren,VVINF,5,11607
Paravent,paravieren,VVINF,139,0
Intelligent,intelligieren,VVINF,0,0
Mitinteressent,mitinteressieren,VVINF,3,0
Bundespräsident,bundespräsidieren,VVINF,4845,0
Prinzregent,prinzregieren,VVINF,141,0
Mitkonkurrent,mitkonkurrieren,VVINF,36,0
Unterassistent,unterassistieren,VVINF,8,0
Kontokorrent,kontokorrieren,VVINF,65,0
Popagent,popagieren,VVINF,1,0
Prätendent,prätendieren,VVINF,21,0
Koproduzent,koproduzieren,VVINF,66,1
Rekonvaleszent,rekonvaleszieren,VVINF,89,0
Absorbent,absorbieren,VVINF,9,354
Erstinteressent,erstinteressieren,VVINF,3,0
Rettungsassistent,rettungsassistieren,VVINF,481,0
Personalreferent,personalreferieren,VVINF,125,0
Vorrezensent,vorrezensieren,VVINF,17,0
Konsulent,konsulieren,VVINF,24,0
Vorderorient,vorderoriieren,VVINF,2,0
Importent,importieren,VVINF,0,1755
Vizedirigent,vizedirigieren,VVINF,21,0
Urgent,urgieren,VVINF,64,0
Gegenakzent,gegenakzieren,VVINF,14,0
Different,differieren,VVINF,0,104
Nichtabonnent,nichtabonnieren,VVINF,10,0
Oberassistent,oberassistieren,VVINF,67,0
Mitrezensent,mitrezensieren,VVINF,2,0
Expedient,expediieren,VVINF,21,0
Superagent,superagieren,VVINF,41,0
Pozent,pozieren,VVINF,11,0
Mitregent,mitregieren,VVINF,27,54
Nichtstudent,nichtstudieren,VVINF,14,0
Werkstudent,werkstudieren,VVINF,208,0
Oberpräsident,oberpräsidieren,VVINF,148,0
Rechtskonsulent,rechtskonsulieren,VVINF,5,0
Organisationstalent,organisationstalieren,VVINF,385,0
Advent,advieren,VVINF,4811,0
Evolvent,evolvieren,VVINF,2,0
Intervent,intervieren,VVINF,16,0
Ascent,ascieren,VVINF,35,0
Urkontingent,urkontingieren,VVINF,0,0
Opponent,opponieren,VVINF,123,44
Kassenpatient,kassenpatiieren,VVINF,416,0
Komponent,komponieren,VVINF,9,607
Hypertalent,hypertalieren,VVINF,0,0
