lemma,unique_candidates,pos,lemma_freq,base_freq
Lizenz,lizieren,VVINF,12343,0
Sequenz,sequieren,VVINF,3364,0
Konferenz,konferieren,VVINF,13589,18
Konkurrenz,konkurrieren,VVINF,18809,901
Differenz,differieren,VVINF,8728,104
Frequenz,frequieren,VVINF,8785,0
Konsequenz,konsequieren,VVINF,23486,0
Residenz,residieren,VVINF,4180,79
Existenz,existieren,VVINF,15781,3713
Transparenz,transparieren,VVINF,8065,0
Tendenz,tendieren,VVINF,11841,719
Effizienz,effiziieren,VVINF,6168,0
Kompetenz,kompetieren,VVINF,22926,0
Präsenz,präsieren,VVINF,6860,0
Adoleszenz,adoleszieren,VVINF,197,0
Referenz,referieren,VVINF,6024,412
Divergenz,divergieren,VVINF,407,0
Konsistenz,konsistieren,VVINF,2187,0
Audienz,audiieren,VVINF,494,0
Inkompetenz,inkompetieren,VVINF,787,0
Demenz,demieren,VVINF,3452,0
Intelligenz,intelligieren,VVINF,7816,0
Gegenfrequenz,gegenfrequieren,VVINF,5,0
Koexistenz,koexistieren,VVINF,742,51
Potenz,potieren,VVINF,1833,0
Inkonsequenz,inkonsequieren,VVINF,194,0
Turbulenz,turbulieren,VVINF,1313,0
Abstinenz,abstinieren,VVINF,1090,0
Quintessenz,quintessieren,VVINF,725,0
Kohärenz,kohärieren,VVINF,477,0
Insuffizienz,insuffiziieren,VVINF,162,0
Interferenz,interferieren,VVINF,558,24
Politprominenz,politprominieren,VVINF,70,0
Essenz,essieren,VVINF,1745,0
Insolvenz,insolvieren,VVINF,5050,0
Multiresistenz,multiresistieren,VVINF,9,0
Dekadenz,dekadieren,VVINF,620,0
Exzellenz,exzellieren,VVINF,770,0
Karenz,karieren,VVINF,147,0
Inkontinenz,inkontinieren,VVINF,625,0
Vehemenz,vehemieren,VVINF,383,0
Ineffizienz,ineffiziieren,VVINF,265,0
Resistenz,resistieren,VVINF,1477,0
Ambivalenz,ambivalieren,VVINF,903,0
Präferenz,präferieren,VVINF,1711,0
Fluoreszenz,fluoreszieren,VVINF,229,16
