lemma,unique_candidates,pos,lemma_freq,base_freq
Bruder,bruden,VVINF,42690,0
Bruder,Brud,NN,42690,0
Bruder,Brude,NN,42690,0
Leiter,leiten,VVINF,26458,4963
Leiter,Leit,NN,26458,0
Leiter,Leite,NN,26458,0
Absender,absenden,VVINF,68778,325
Absender,Absend,NN,68778,0
Absender,Absende,NN,68778,0
Zuschauer,zuschauen,VVINF,38035,1639
Zuschauer,Zuschau,NN,38035,5
Zuschauer,Zuschaue,NN,38035,0
Pflaster,pflasten,VVINF,2297,0
Pflaster,Pflast,NN,2297,0
Pflaster,Pflaste,NN,2297,0
Gegner,gegnen,VVINF,54777,0
Gegner,Gegn,NN,54777,0
Gegner,Gegen,NN,54777,0
Gegner,Gegne,NN,54777,0
Turnier,turnien,VVINF,21532,0
Turnier,Turni,NN,21532,0
Turnier,Turnie,NN,21532,0
Ordner,ordnen,VVINF,14036,1583
Ordner,Ordn,NN,14036,0
Ordner,Orden,NN,14036,6841
Ordner,Ordne,NN,14036,0
Entwickler,entwicklen,VVINF,12745,0
Entwickler,entwickeln,VVINF,12745,29926
Entwickler,Entwick,NN,12745,0
Entwickler,Entwickl,NN,12745,0
Entwickler,Entwickle,NN,12745,0
Teilnehmer,teilnehmen,VVINF,66077,15829
Teilnehmer,Teilnehm,NN,66077,0
Teilnehmer,Teilnehme,NN,66077,0
Meister,meisten,VVINF,27131,0
Meister,Meist,NN,27131,0
Meister,Meiste,NN,27131,0
Bayer,bayen,VVINF,9898,0
Bayer,Bay,NN,9898,0
Bayer,Baye,NN,9898,0
Ärger,ärgen,VVINF,11020,0
Ärger,argen,VVINF,11020,0
Ärger,ärg,NN,11020,0
Ärger,Arg,NN,11020,120
Ärger,Arge,NN,11020,1314
Schüler,schülen,VVINF,92074,0
Schüler,schulen,VVINF,92074,1120
Schüler,schüeln,VVINF,92074,0
Schüler,schueln,VVINF,92074,0
Schüler,Schü,NN,92074,0
Schüler,Schu,NN,92074,0
Schüler,Schül,NN,92074,0
Schüler,Schul,NN,92074,0
Schüler,Schule,NN,92074,134379
Bomber,bomben,VVINF,1803,185
Bomber,Bomb,NN,1803,0
Bomber,Bombe,NN,1803,7070
Nenner,nennen,VVINF,1916,25357
Nenner,Nenn,NN,1916,0
Nenner,Nenen,NN,1916,0
Nenner,Nenne,NN,1916,0
Alter,alten,VVINF,60279,0
Alter,Alt,NN,60279,7834
Alter,Alte,NN,60279,10628
Prüfer,prüfen,VVINF,3841,15946
Prüfer,prufen,VVINF,3841,0
Prüfer,Prüf,NN,3841,0
Prüfer,Pruf,NN,3841,0
Prüfer,Prufe,NN,3841,0
Fenster,fensten,VVINF,43913,0
Fenster,Fenst,NN,43913,0
Fenster,Fenste,NN,43913,0
Besitzer,besitzen,VVINF,22175,8461
Besitzer,Besitz,NN,22175,16098
Besitzer,Besitze,NN,22175,0
Sylvester,sylvesten,VVINF,1395,0
Sylvester,Sylvest,NN,1395,0
Sylvester,Sylveste,NN,1395,0
Inhaber,inhaben,VVINF,9325,0
Inhaber,Inhab,NN,9325,0
Inhaber,Inhabe,NN,9325,0
Meter,meten,VVINF,70549,0
Meter,Met,NN,70549,1270
Meter,Mete,NN,70549,0
Hamburger,hamburgen,VVINF,3512,0
Hamburger,Hamburg,NN,3512,0
Hamburger,Hamburge,NN,3512,0
Richter,richten,VVINF,16915,7760
Richter,Richt,NN,16915,0
Richter,Richte,NN,16915,0
Treiber,treiben,VVINF,12086,6689
Treiber,Treib,NN,12086,0
Treiber,Treibe,NN,12086,0
Opfer,opfen,VVINF,41784,0
Opfer,Opf,NN,41784,0
Opfer,Opfe,NN,41784,0
Eigentümer,eigentümen,VVINF,14375,0
Eigentümer,eigentumen,VVINF,14375,0
Eigentümer,Eigentüm,NN,14375,0
Eigentümer,Eigentum,NN,14375,14317
Eigentümer,Eigentume,NN,14375,0
Sommer,sommen,VVINF,54971,0
Sommer,Somm,NN,54971,0
Sommer,Somme,NN,54971,0
Steuer,steuen,VVINF,23509,0
Steuer,Steu,NN,23509,0
Steuer,Steue,NN,23509,0
Bewohner,bewohnen,VVINF,21563,286
Bewohner,Bewohn,NN,21563,0
Bewohner,Bewohen,NN,21563,0
Bewohner,Bewohne,NN,21563,0
Eller,ellen,VVINF,17,0
Eller,eleln,VVINF,17,0
Eller,El,NN,17,0
Eller,Ell,NN,17,0
Eller,Elle,NN,17,1020
Vermittler,vermittlen,VVINF,3997,0
Vermittler,vermitteln,VVINF,3997,13132
Vermittler,Vermitt,NN,3997,0
Vermittler,Vermittl,NN,3997,0
Vermittler,Vermittle,NN,3997,0
Keller,kellen,VVINF,14903,0
Keller,keleln,VVINF,14903,0
Keller,Kel,NN,14903,0
Keller,Kell,NN,14903,0
Keller,Kelle,NN,14903,568
Vertreter,vertreten,VVINF,35021,4373
Vertreter,Vertret,NN,35021,0
Vertreter,Vertrete,NN,35021,0
Erretter,erretten,VVINF,61,214
Erretter,Errett,NN,61,0
Erretter,Errette,NN,61,0
Schläfer,schläfen,VVINF,363,0
Schläfer,schlafen,VVINF,363,12679
Schläfer,Schläf,NN,363,0
Schläfer,Schlaf,NN,363,12361
Schläfer,Schlafe,NN,363,0
Berater,beraten,VVINF,13017,8276
Berater,Berat,NN,13017,0
Berater,Berate,NN,13017,0
Schauspieler,schauspielen,VVINF,14762,0
Schauspieler,schauspieeln,VVINF,14762,0
Schauspieler,Schauspie,NN,14762,0
Schauspieler,Schauspiel,NN,14762,4296
Schauspieler,Schauspiele,NN,14762,0
Lehrer,lehren,VVINF,45780,1930
Lehrer,lehrn,VVINF,45780,0
Lehrer,Lehr,NN,45780,0
Lehrer,Leher,NN,45780,0
Lehrer,Lehre,NN,45780,24044
Register,registen,VVINF,6042,0
Register,Regist,NN,6042,0
Register,Registe,NN,6042,0
Berber,berben,VVINF,384,0
Berber,Berb,NN,384,0
Berber,Berbe,NN,384,0
Mörder,mörden,VVINF,6471,0
Mörder,morden,VVINF,6471,286
Mörder,Mörd,NN,6471,0
Mörder,Mord,NN,6471,13878
Mörder,Morde,NN,6471,0
Amerikaner,amerikanen,VVINF,11304,0
Amerikaner,Amerikan,NN,11304,0
Amerikaner,Amerikaen,NN,11304,0
Amerikaner,Amerikane,NN,11304,0
Amerikaner,Amerik,NN,11304,0
Amerikaner,Amerika,NN,11304,0
Amerikaner,Ameriken,NN,11304,0
Händler,händlen,VVINF,29855,0
Händler,handlen,VVINF,29855,0
Händler,händeln,VVINF,29855,0
Händler,handeln,VVINF,29855,15774
Händler,Händ,NN,29855,0
Händler,Hand,NN,29855,161495
Händler,Händl,NN,29855,0
Händler,Handl,NN,29855,0
Händler,Handle,NN,29855,0
Bürger,bürgen,VVINF,61088,132
Bürger,burgen,VVINF,61088,0
Bürger,Bürg,NN,61088,0
Bürger,Burge,NN,61088,0
Gewässer,gewässen,VVINF,9348,0
Gewässer,gewassen,VVINF,9348,0
Gewässer,Gewäss,NN,9348,0
Gewässer,Gewass,NN,9348,0
Gewässer,Gewasse,NN,9348,0
Mitarbeiter,mitarbeiten,VVINF,87652,1140
Mitarbeiter,Mitarbeit,NN,87652,7175
Mitarbeiter,Mitarbeite,NN,87652,0
Deuter,deuten,VVINF,254,2893
Deuter,Deut,NN,254,731
Deuter,Deute,NN,254,0
Server,serven,VVINF,37823,0
Server,Serv,NN,37823,0
Server,Serve,NN,37823,0
Tier,tien,VVINF,107572,0
Tier,Ti,NN,107572,0
Tier,Tie,NN,107572,0
Spender,spenden,VVINF,4172,3059
Spender,Spend,NN,4172,0
Spender,Spende,NN,4172,19540
Veranstalter,veranstalten,VVINF,15268,2995
Veranstalter,Veranstalt,NN,15268,0
Veranstalter,Veranstalte,NN,15268,0
Gastgeber,gastgeben,VVINF,15315,0
Gastgeber,Gastgeb,NN,15315,0
Gastgeber,Gastgebe,NN,15315,0
Ufer,ufen,VVINF,10392,0
Ufer,Uf,NN,10392,0
Ufer,Ufe,NN,10392,0
Charakter,charakten,VVINF,40887,0
Charakter,Charakt,NN,40887,0
Charakter,Charakte,NN,40887,0
Unternehmer,unternehmen,VVINF,17396,7765
Unternehmer,Unternehm,NN,17396,0
Unternehmer,Unternehme,NN,17396,0
Klavier,klavien,VVINF,6687,0
Klavier,Klavi,NN,6687,0
Klavier,Klavie,NN,6687,0
Schalter,schalten,VVINF,9577,4393
Schalter,Schalt,NN,9577,0
Schalter,Schalte,NN,9577,0
Dresdner,dresdnen,VVINF,6578,0
Dresdner,Dresdn,NN,6578,0
Dresdner,Dresdne,NN,6578,0
Meer,meen,VVINF,33170,0
Meer,Me,NN,33170,0
Meer,Mee,NN,33170,0
Künstler,künstlen,VVINF,42866,0
Künstler,kunstlen,VVINF,42866,0
Künstler,künsteln,VVINF,42866,0
Künstler,kunsteln,VVINF,42866,0
Künstler,Künst,NN,42866,0
Künstler,Kunst,NN,42866,58157
Künstler,Künstl,NN,42866,0
Künstler,Kunstl,NN,42866,0
Künstler,Kunstle,NN,42866,0
Anhänger,anhängen,VVINF,15630,1015
Anhänger,anhangen,VVINF,15630,0
Anhänger,Anhäng,NN,15630,0
Anhänger,Anhang,NN,15630,14858
Anhänger,Anhange,NN,15630,0
Spieler,spielen,VVINF,100630,65116
Spieler,spieeln,VVINF,100630,0
Spieler,Spie,NN,100630,0
Spieler,Spiel,NN,100630,274397
Spieler,Spiele,NN,100630,0
Gesellschafter,gesellschaften,VVINF,5426,0
Gesellschafter,Gesellschaft,NN,5426,104466
Gesellschafter,Gesellschafte,NN,5426,0
Hersteller,herstellen,VVINF,55562,6674
Hersteller,hersteleln,VVINF,55562,0
Hersteller,Herstel,NN,55562,0
Hersteller,Herstell,NN,55562,0
Hersteller,Herstelle,NN,55562,0
Gleiter,gleiten,VVINF,326,1270
Gleiter,Gleit,NN,326,0
Gleiter,Gleite,NN,326,0
Verwalter,verwalten,VVINF,2638,4402
Verwalter,Verwalt,NN,2638,0
Verwalter,Verwalte,NN,2638,0
Wissenschaftler,wissenschaftlen,VVINF,25142,0
Wissenschaftler,wissenschafteln,VVINF,25142,0
Wissenschaftler,Wissenschaft,NN,25142,36912
Wissenschaftler,Wissenschaftl,NN,25142,0
Wissenschaftler,Wissenschaftle,NN,25142,0
Sieger,siegen,VVINF,14858,1388
Sieger,Sieg,NN,14858,52093
Sieger,Siege,NN,14858,0
Abenteuer,abenteuen,VVINF,18347,0
Abenteuer,Abenteu,NN,18347,0
Abenteuer,Abenteue,NN,18347,0
Lautsprecher,lautsprechen,VVINF,9623,0
Lautsprecher,Lautsprech,NN,9623,0
Lautsprecher,Lautspreche,NN,9623,0
Leser,lesen,VVINF,44919,61882
Leser,Les,NN,44919,0
Leser,Lese,NN,44919,20064
Kaiser,kaisen,VVINF,9995,0
Kaiser,Kais,NN,9995,0
Kaiser,Kaise,NN,9995,0
Fachhändler,fachhändlen,VVINF,1976,0
Fachhändler,fachhandlen,VVINF,1976,0
Fachhändler,fachhändeln,VVINF,1976,0
Fachhändler,fachhandeln,VVINF,1976,0
Fachhändler,Fachhänd,NN,1976,0
Fachhändler,Fachhand,NN,1976,6
Fachhändler,Fachhändl,NN,1976,0
Fachhändler,Fachhandl,NN,1976,0
Fachhändler,Fachhandle,NN,1976,0
Winter,winten,VVINF,41213,0
Winter,Wint,NN,41213,0
Winter,Winte,NN,41213,0
Führer,führen,VVINF,9668,56544
Führer,fuhren,VVINF,9668,0
Führer,führn,VVINF,9668,0
Führer,Führ,NN,9668,0
Führer,Fuhr,NN,9668,0
Führer,Füher,NN,9668,0
Führer,Fuhre,NN,9668,500
Scheinwerfer,scheinwerfen,VVINF,3893,0
Scheinwerfer,Scheinwerf,NN,3893,0
Scheinwerfer,Scheinwerfe,NN,3893,0
Nummer,nummen,VVINF,97152,0
Nummer,Numm,NN,97152,0
Nummer,Numme,NN,97152,0
Förderer,förderen,VVINF,2777,0
Förderer,forderen,VVINF,2777,0
Förderer,fördern,VVINF,2777,16598
Förderer,Förder,NN,2777,0
Förderer,Forder,NN,2777,0
Förderer,Fördeer,NN,2777,0
Förderer,Fordere,NN,2777,0
Reiniger,reinigen,VVINF,870,4155
Reiniger,Reinig,NN,870,0
Reiniger,Reinige,NN,870,0
Oper,open,VVINF,8849,0
Oper,Op,NN,8849,0
Oper,Ope,NN,8849,0
Berliner,berlinen,VVINF,4312,0
Berliner,Berlin,NN,4312,0
Berliner,Berlien,NN,4312,0
Berliner,Berline,NN,4312,0
Feuer,feuen,VVINF,24226,0
Feuer,Feu,NN,24226,0
Feuer,Feue,NN,24226,0
Partner,partnen,VVINF,64147,0
Partner,Partn,NN,64147,0
Partner,Parten,NN,64147,0
Partner,Partne,NN,64147,0
Bewerber,bewerben,VVINF,10920,5929
Bewerber,Bewerb,NN,10920,0
Bewerber,Bewerbe,NN,10920,0
Newsletter,newsletten,VVINF,20621,0
Newsletter,Newslett,NN,20621,0
Newsletter,Newslette,NN,20621,0
Schotter,schotten,VVINF,1349,20
Schotter,Schott,NN,1349,142
Schotter,Schotte,NN,1349,393
Regler,reglen,VVINF,4588,0
Regler,regeln,VVINF,4588,5315
Regler,Reg,NN,4588,0
Regler,Regl,NN,4588,0
Regler,Regle,NN,4588,0
Verteidiger,verteidigen,VVINF,5796,7185
Verteidiger,Verteidig,NN,5796,0
Verteidiger,Verteidige,NN,5796,0
Mediziner,medizinen,VVINF,5291,0
Mediziner,Medizin,NN,5291,21194
Mediziner,Medizien,NN,5291,0
Mediziner,Medizine,NN,5291,0
Träger,trägen,VVINF,15544,0
Träger,tragen,VVINF,15544,30113
Träger,Träg,NN,15544,0
Träger,Trag,NN,15544,0
Träger,Trage,NN,15544,5076
Fehler,fehlen,VVINF,77415,11025
Fehler,feheln,VVINF,77415,0
Fehler,Feh,NN,77415,0
Fehler,Fehl,NN,77415,527
Fehler,Fehle,NN,77415,0
Stiefmutter,stiefmutten,VVINF,612,0
Stiefmutter,Stiefmutt,NN,612,0
Stiefmutter,Stiefmutte,NN,612,0
Hohepriester,hohepriesten,VVINF,413,0
Hohepriester,Hohepriest,NN,413,0
Hohepriester,Hoheprieste,NN,413,0
Trümmer,trümmen,VVINF,2365,0
Trümmer,trummen,VVINF,2365,0
Trümmer,Trümm,NN,2365,0
Trümmer,Trumm,NN,2365,0
Trümmer,Trumme,NN,2365,0
Besucher,besuchen,VVINF,64344,17527
Besucher,Besuch,NN,64344,58513
Besucher,Besuche,NN,64344,0
Mister,misten,VVINF,12327,94
Mister,Mist,NN,12327,13474
Mister,Miste,NN,12327,0
Einer,einen,VVINF,3268,923
Einer,Ein,NN,3268,0
Einer,Eien,NN,3268,0
Einer,Eine,NN,3268,5936
Beamter,beamten,VVINF,17071,64
Beamter,Beamt,NN,17071,0
Beamter,Beamte,NN,17071,3
Trainer,trainen,VVINF,43825,0
Trainer,Train,NN,43825,1048
Trainer,Traien,NN,43825,0
Trainer,Traine,NN,43825,0
Bulldozer,bulldozen,VVINF,344,0
Bulldozer,Bulldoz,NN,344,0
Bulldozer,Bulldoze,NN,344,0
Nürnberger,nürnbergen,VVINF,4800,0
Nürnberger,nurnbergen,VVINF,4800,0
Nürnberger,Nürnberg,NN,4800,0
Nürnberger,Nurnberg,NN,4800,0
Nürnberger,Nurnberge,NN,4800,0
Master,masten,VVINF,10392,0
Master,Mast,NN,10392,3067
Master,Maste,NN,10392,0
Mittler,mittlen,VVINF,1075,0
Mittler,mitteln,VVINF,1075,160
Mittler,Mitt,NN,1075,0
Mittler,Mittl,NN,1075,0
Mittler,Mittle,NN,1075,12
Arbeitgeber,arbeitgeben,VVINF,29288,0
Arbeitgeber,Arbeitgeb,NN,29288,0
Arbeitgeber,Arbeitgebe,NN,29288,0
Kammer,kammen,VVINF,8223,0
Kammer,Kamm,NN,8223,2767
Kammer,Kamme,NN,8223,0
Schreiber,schreiben,VVINF,2966,57598
Schreiber,Schreib,NN,2966,0
Schreiber,Schreibe,NN,2966,0
Aufsteiger,aufsteigen,VVINF,3562,2264
Aufsteiger,Aufsteig,NN,3562,0
Aufsteiger,Aufsteige,NN,3562,0
Koffer,koffen,VVINF,7501,0
Koffer,Koff,NN,7501,0
Koffer,Koffe,NN,7501,0
Mittelalter,mittelalten,VVINF,12879,0
Mittelalter,Mittelalt,NN,12879,2
Mittelalter,Mittelalte,NN,12879,2
Designer,designen,VVINF,8209,2
Designer,Design,NN,8209,40405
Designer,Desigen,NN,8209,0
Designer,Designe,NN,8209,0
Geber,geben,VVINF,1696,162254
Geber,Geb,NN,1696,0
Geber,Gebe,NN,1696,0
Spritzer,spritzen,VVINF,599,1281
Spritzer,Spritz,NN,599,0
Spritzer,Spritze,NN,599,4604
Papier,papien,VVINF,32392,0
Papier,Papi,NN,32392,929
Papier,Papie,NN,32392,0
Innenminister,innenministen,VVINF,4297,0
Innenminister,Innenminist,NN,4297,0
Innenminister,Innenministe,NN,4297,0
Panzer,panzen,VVINF,6850,0
Panzer,Panz,NN,6850,0
Panzer,Panze,NN,6850,0
Tänzer,tänzen,VVINF,3293,0
Tänzer,tanzen,VVINF,3293,4554
Tänzer,Tänz,NN,3293,0
Tänzer,Tanz,NN,3293,14314
Tänzer,Tanze,NN,3293,0
Getier,getien,VVINF,486,0
Getier,Geti,NN,486,0
Getier,Getie,NN,486,0
Panther,panthen,VVINF,1925,0
Panther,Panth,NN,1925,0
Panther,Panthe,NN,1925,0
Roboter,roboten,VVINF,4994,3
Roboter,Robot,NN,4994,0
Roboter,Robote,NN,4994,0
