lemma,unique_candidates,pos,lemma_freq,base_freq
Akteur,aktieren,VVINF,13310,0
Regisseur,regissieren,VVINF,14782,0
Friseur,frisieren,VVINF,3182,152
Ingenieur,ingeniieren,VVINF,14526,0
Kontrolleur,kontrollieren,VVINF,800,8716
Deserteur,desertieren,VVINF,357,37
Jongleur,jonglieren,VVINF,336,193
Saboteur,sabotieren,VVINF,235,275
Redakteur,redaktieren,VVINF,6277,0
Monteur,montieren,VVINF,925,2565
Gouverneur,gouvernieren,VVINF,1776,0
Inspekteur,inspektieren,VVINF,250,0
Exporteur,exportieren,VVINF,456,1255
Transporteur,transportieren,VVINF,246,3977
Monsieur,monsiieren,VVINF,789,0
Kommandeur,kommandieren,VVINF,1486,105
Chauffeur,chauffieren,VVINF,913,0
Konstrukteur,konstruktieren,VVINF,1316,0
Couleur,coulieren,VVINF,683,0
Boykotteur,boykottieren,VVINF,0,440
Interieur,interiieren,VVINF,1342,0
Malheur,malhieren,VVINF,335,0
Zeitungsredakteur,zeitungsredaktieren,VVINF,43,0
Reakteur,reaktieren,VVINF,0,0
Flaneur,flanieren,VVINF,185,213
Importeur,importieren,VVINF,1387,1755
Hypnotiseur,hypnotisieren,VVINF,242,132
Voyeur,voyieren,VVINF,247,0
Valeur,valieren,VVINF,34,0
Arrangeur,arrangieren,VVINF,326,1028
Oberingenieur,oberingeniieren,VVINF,49,0
Kolporteur,kolportieren,VVINF,18,15
Masseur,massieren,VVINF,532,536
Vulkaniseur,vulkanisieren,VVINF,8,0
Dompteur,domptieren,VVINF,117,0
Modelleur,modellieren,VVINF,40,531
Musikredakteur,musikredaktieren,VVINF,75,0
Coiffeur,coiffieren,VVINF,103,0
Magnetiseur,magnetisieren,VVINF,28,0
Hasardeur,hasardieren,VVINF,61,0
Distributeur,distributieren,VVINF,25,0
Charmeur,charmieren,VVINF,165,0
Medailleur,medaillieren,VVINF,27,0
Interakteur,interaktieren,VVINF,5,0
Exterieur,exteriieren,VVINF,269,0
Souffleur,soufflieren,VVINF,50,6
Instrukteur,instruktieren,VVINF,54,0
Graveur,gravieren,VVINF,78,101
Mineur,minieren,VVINF,35,0
Grandseigneur,grandseignieren,VVINF,81,0
Claqeur,claqieren,VVINF,1,0
Seigneur,seignieren,VVINF,31,0
Marodeur,marodieren,VVINF,91,4
Rechercheur,recherchieren,VVINF,35,2735
Intercoiffeur,intercoiffieren,VVINF,2,0
Ambassadeur,ambassadieren,VVINF,21,0
Bankrotteur,bankrottieren,VVINF,40,0
Causeur,causieren,VVINF,1,0
Vizegouverneur,vizegouvernieren,VVINF,13,0
Emailleur,emaillieren,VVINF,5,0
Honneur,honnieren,VVINF,38,0
Poseur,posieren,VVINF,4,117
Maschinenbauingenieur,maschinenbauingeniieren,VVINF,98,0
Koredakteur,koredaktieren,VVINF,0,0
Kondukteur,konduktieren,VVINF,27,0
Transplanteur,transplantieren,VVINF,14,72
Galvaniseur,galvanisieren,VVINF,24,0
Affineur,affinieren,VVINF,9,0
Odeur,odieren,VVINF,18,0
Monseigneur,monseignieren,VVINF,6,0
Oberkontrolleur,oberkontrollieren,VVINF,3,0
Retuscheur,retuschieren,VVINF,14,96
Voyageur,voyagieren,VVINF,17,0
Motorimporteur,motorimportieren,VVINF,0,0
Chefredakteur,chefredaktieren,VVINF,2851,0
Gegengouverneur,gegengouvernieren,VVINF,0,0
Korrekteur,korrektieren,VVINF,3,0
Billeteur,billetieren,VVINF,3,0
Nebenakteur,nebenaktieren,VVINF,6,0
Mitkonstrukteur,mitkonstruktieren,VVINF,1,0
Elektromonteur,elektromontieren,VVINF,37,0
Superfriseur,superfrisieren,VVINF,0,0
Bauingenieur,bauingeniieren,VVINF,753,0
Ziseleur,ziselieren,VVINF,14,2
Umweltingenieur,umweltingeniieren,VVINF,40,0
Obercharmeur,obercharmieren,VVINF,0,0
Dresseur,dressieren,VVINF,10,79
Obermonteur,obermontieren,VVINF,9,0
Rekonstrukteur,rekonstruktieren,VVINF,3,0
Eredakteur,eredaktieren,VVINF,0,0
Oberkommandeur,oberkommandieren,VVINF,6,0
Nonvaleur,nonvalieren,VVINF,8,0
