lemma,unique_candidates,pos,lemma_freq,base_freq
Gottseligkeit,gottselig,ADJ.,16,25
Gottseligkeit,gottsel,ADJ.,16,0
Möglichkeit,möglich,ADJ.,212786,281295
Freiheit,frei,ADJ.,41267,158785
Freiheit,freie,ADJ.,41267,0
Wahrheit,wahr,ADJ.,39152,67595
Wahrheit,wahre,ADJ.,39152,0
Abhängigkeit,abhängig,ADJ.,11075,24063
Abhängigkeit,abhäng,ADJ.,11075,0
Notwendigkeit,notwendig,ADJ.,14874,81179
Notwendigkeit,notwend,ADJ.,14874,0
Krankheit,krank,ADJ.,43345,27185
Krankheit,kranke,ADJ.,43345,0
Mehrheit,mehr,ADJ.,24776,0
Mehrheit,mehre,ADJ.,24776,0
Zufriedenheit,zufrieden,ADJ.,6921,53746
Zufriedenheit,zufriedend,ADJ.,6921,8
Zufriedenheit,zufriedene,ADJ.,6921,0
Sicherheit,sicher,ADJ.,72885,249743
Sicherheit,sichere,ADJ.,72885,0
Menschheit,mensch,ADJ.,15363,0
Menschheit,mensche,ADJ.,15363,0
Schwierigkeit,schwierig,ADJ.,24488,62488
Schwierigkeit,schwier,ADJ.,24488,0
Gesundheit,gesund,ADJ.,40704,54217
Gesundheit,gesunde,ADJ.,40704,0
Glaubwürdigkeit,glaubwürdig,ADJ.,3976,4892
Glaubwürdigkeit,glaubwürd,ADJ.,3976,0
Gleichzeitigkeit,gleichzeitig,ADJ.,460,86772
Gleichzeitigkeit,gleichzeit,ADJ.,460,0
Knappheit,knapp,ADJ.,651,75050
Knappheit,knappe,ADJ.,651,0
Gerichtsbarkeit,gerichtsbar,ADJ.,1152,0
Lieblosigkeit,lieblosig,ADJ.,227,1
Lieblosigkeit,lieblos,ADJ.,227,938
Zuständigkeit,zuständig,ADJ.,5091,42112
Zuständigkeit,zuständ,ADJ.,5091,0
Persönlichkeit,persönlich,ADJ.,19153,155209
Tätigkeit,tätig,ADJ.,41990,40870
Tätigkeit,tät,ADJ.,41990,0
Vergangenheit,vergangen,ADJ.,39855,71581
Vergangenheit,vergangend,ADJ.,39855,0
Vergangenheit,vergangene,ADJ.,39855,0
Rechtsgültigkeit,rechtsgültig,ADJ.,86,411
Rechtsgültigkeit,rechtsgült,ADJ.,86,0
Korrektheit,korrekt,ADJ.,2012,28101
Korrektheit,korrekte,ADJ.,2012,0
Einfachheit,einfach,ADJ.,2395,595724
Einfachheit,einfache,ADJ.,2395,0
Leichtigkeit,leichtig,ADJ.,4139,0
Leichtigkeit,leicht,ADJ.,4139,189279
Trächtigkeit,trächtig,ADJ.,454,868
Trächtigkeit,trächt,ADJ.,454,0
Freizügigkeit,freizügig,ADJ.,749,690
Freizügigkeit,freizüg,ADJ.,749,0
Anwesenheit,anwesen,ADJ.,6157,0
Anwesenheit,anwesend,ADJ.,6157,15524
Anwesenheit,anwesene,ADJ.,6157,0
Gemeinsamkeit,gemeinsam,ADJ.,5195,162726
Arbeitslosigkeit,arbeitslosig,ADJ.,8802,1
Arbeitslosigkeit,arbeitslos,ADJ.,8802,5914
Verfügbarkeit,verfügbar,ADJ.,7531,35152
Fähigkeit,fähig,ADJ.,38606,8890
Fähigkeit,fäh,ADJ.,38606,0
Unfähigkeit,unfähig,ADJ.,2379,3329
Unfähigkeit,unfäh,ADJ.,2379,0
Ausgeglichenheit,ausgeglichen,ADJ.,833,6192
Ausgeglichenheit,ausgeglichend,ADJ.,833,0
Ausgeglichenheit,ausgeglichene,ADJ.,833,0
Einheit,ein,ADJ.,34410,0
Einheit,eine,ADJ.,34410,0
Standfestigkeit,standfestig,ADJ.,621,0
Standfestigkeit,standfest,ADJ.,621,491
Übelkeit,übel,ADJ.,2842,16008
Streitigkeit,streitig,ADJ.,4168,2177
Streitigkeit,streit,ADJ.,4168,0
Wichtigkeit,wichtig,ADJ.,4140,320028
