lemma,unique_candidates,pos,lemma_freq,base_freq
Energie,energ,ADJ.,70414,0
Energie,energisch,ADJ.,70414,3231
Movie,mov,ADJ.,2804,0
Movie,movisch,ADJ.,2804,0
Zombie,zomb,ADJ.,3149,0
Zombie,zombisch,ADJ.,3149,0
Komödie,komöd,ADJ.,5443,0
Komödie,komödisch,ADJ.,5443,0
Geographie,geograph,ADJ.,2200,0
Geographie,geographisch,ADJ.,2200,4498
Richtlinie,richtlin,ADJ.,17018,0
Richtlinie,richtlinisch,ADJ.,17018,0
Chirurgie,chirurg,ADJ.,2689,0
Chirurgie,chirurgisch,ADJ.,2689,2727
Linie,lin,ADJ.,50990,0
Linie,linisch,ADJ.,50990,0
Melodie,melod,ADJ.,8575,0
Melodie,melodisch,ADJ.,8575,2065
Psychologie,psycholog,ADJ.,9816,0
Psychologie,psychologisch,ADJ.,9816,11118
Fotografie,fotograf,ADJ.,10904,0
Fotografie,fotografisch,ADJ.,10904,2717
Magie,mag,ADJ.,7526,0
Magie,magisch,ADJ.,7526,11053
Studie,stud,ADJ.,63168,0
Studie,studisch,ADJ.,63168,0
Technologie,technolog,ADJ.,25533,0
Technologie,technologisch,ADJ.,25533,5405
Therapie,therap,ADJ.,28071,0
Therapie,therapisch,ADJ.,28071,0
Kopie,kop,ADJ.,13149,0
Kopie,kopisch,ADJ.,13149,0
Materie,mater,ADJ.,9585,0
Materie,materisch,ADJ.,9585,0
Strategie,strateg,ADJ.,23539,0
Strategie,strategisch,ADJ.,23539,14253
Astronomie,astronom,ADJ.,2144,0
Astronomie,astronomisch,ADJ.,2144,2423
Genealogie,genealog,ADJ.,526,0
Genealogie,genealogisch,ADJ.,526,514
Folie,fol,ADJ.,9816,0
Folie,folisch,ADJ.,9816,0
Serie,ser,ADJ.,48332,0
Serie,serisch,ADJ.,48332,0
Batterie,batter,ADJ.,13950,0
Batterie,batterisch,ADJ.,13950,0
Familie,famil,ADJ.,140085,0
Familie,familisch,ADJ.,140085,0
Philosophie,philosoph,ADJ.,19198,0
Philosophie,philosophisch,ADJ.,19198,9293
Fuchsie,fuchs,ADJ.,125,0
Fuchsie,fuchsisch,ADJ.,125,1
Psychotherapie,psychotherap,ADJ.,7051,0
Psychotherapie,psychotherapisch,ADJ.,7051,0
Monarchie,monarch,ADJ.,1834,0
Monarchie,monarchisch,ADJ.,1834,193
Symphonie,symphon,ADJ.,1211,0
Symphonie,symphonisch,ADJ.,1211,446
Theologie,theolog,ADJ.,7996,0
Theologie,theologisch,ADJ.,7996,6653
Pathie,path,ADJ.,3,0
Pathie,pathisch,ADJ.,3,22
Allergie,allerg,ADJ.,8637,0
Allergie,allergisch,ADJ.,8637,4076
Mythologie,mytholog,ADJ.,2365,0
Mythologie,mythologisch,ADJ.,2365,807
Liturgie,liturg,ADJ.,2198,0
Liturgie,liturgisch,ADJ.,2198,1744
Zoologie,zoolog,ADJ.,443,0
Zoologie,zoologisch,ADJ.,443,1092
Industrie,industr,ADJ.,25177,0
Industrie,industrisch,ADJ.,25177,0
Ikonographie,ikonograph,ADJ.,250,0
Ikonographie,ikonographisch,ADJ.,250,177
Choreographie,choreograph,ADJ.,1340,0
Choreographie,choreographisch,ADJ.,1340,137
Akademie,akadem,ADJ.,12179,0
Akademie,akademisch,ADJ.,12179,8935
Demokratie,demokrat,ADJ.,30441,0
Demokratie,demokratisch,ADJ.,30441,23128
Kryptographie,kryptograph,ADJ.,230,0
Kryptographie,kryptographisch,ADJ.,230,143
Tomographie,tomograph,ADJ.,61,0
Tomographie,tomographisch,ADJ.,61,30
Kategorie,kategor,ADJ.,37525,0
Kategorie,kategorisch,ADJ.,37525,1529
Theorie,theor,ADJ.,32012,0
Theorie,theorisch,ADJ.,32012,0
Parodie,parod,ADJ.,1449,0
Parodie,parodisch,ADJ.,1449,0
Harmonie,harmon,ADJ.,6372,0
Harmonie,harmonisch,ADJ.,6372,9204
Partie,part,ADJ.,26103,0
Partie,partisch,ADJ.,26103,0
Junkie,junk,ADJ.,828,0
Junkie,junkisch,ADJ.,828,0
Ideologie,ideolog,ADJ.,6710,0
Ideologie,ideologisch,ADJ.,6710,5398
Regie,reg,ADJ.,10343,0
Regie,regisch,ADJ.,10343,0
Ökologie,ökolog,ADJ.,3099,0
Ökologie,ökologisch,ADJ.,3099,19095
Bourgeoisie,bourgeois,ADJ.,1008,117
Bourgeoisie,bourgeoisisch,ADJ.,1008,0
Astrologie,astrolog,ADJ.,2449,0
Astrologie,astrologisch,ADJ.,2449,1329
Textilie,textil,ADJ.,2927,2539
Textilie,textilisch,ADJ.,2927,0
Aktie,akt,ADJ.,13814,0
Aktie,aktisch,ADJ.,13814,0
Garantie,garant,ADJ.,16245,0
Garantie,garantisch,ADJ.,16245,0
Biometrie,biometr,ADJ.,268,0
Biometrie,biometrisch,ADJ.,268,1024
Dynastie,dynast,ADJ.,1209,0
Dynastie,dynastisch,ADJ.,1209,208
Hierarchie,hierarch,ADJ.,3085,0
Hierarchie,hierarchisch,ADJ.,3085,1950
Immobilie,immobil,ADJ.,13881,165
Immobilie,immobilisch,ADJ.,13881,0
Zeremonie,zeremon,ADJ.,2524,0
Zeremonie,zeremonisch,ADJ.,2524,0
Dramaturgie,dramaturg,ADJ.,1262,0
Dramaturgie,dramaturgisch,ADJ.,1262,1144
Gastronomie,gastronom,ADJ.,5557,0
Gastronomie,gastronomisch,ADJ.,5557,1478
Ökonomie,ökonom,ADJ.,4720,0
Ökonomie,ökonomisch,ADJ.,4720,15663
Autonomie,autonom,ADJ.,3092,4830
Autonomie,autonomisch,ADJ.,3092,1
Chemie,chem,ADJ.,11699,0
Chemie,chemisch,ADJ.,11699,14177
Asymmetrie,asymmetr,ADJ.,431,0
Asymmetrie,asymmetrisch,ADJ.,431,1253
Soziologie,soziolog,ADJ.,3705,0
Soziologie,soziologisch,ADJ.,3705,2233
Biologie,biolog,ADJ.,5229,0
Biologie,biologisch,ADJ.,5229,15009
Anatomie,anatom,ADJ.,2016,0
Anatomie,anatomisch,ADJ.,2016,1793
Diakonie,diakon,ADJ.,3529,0
Diakonie,diakonisch,ADJ.,3529,2670
