lemma,unique_candidates,pos,lemma_freq,base_freq
Ethik,ethisch,ADJ.,6770,7747
Technik,technisch,ADJ.,60849,86663
Kritik,kritisch,ADJ.,47680,38331
Statistik,statistisch,ADJ.,15502,12607
Musik,musisch,ADJ.,107543,734
Klinik,klinisch,ADJ.,20990,10256
Politik,politisch,ADJ.,67498,115251
Informatik,informatisch,ADJ.,7098,176
Pädagogik,pädagogisch,ADJ.,4487,14613
Heraldik,heraldisch,ADJ.,256,306
Metrik,metrisch,ADJ.,567,726
Problematik,problematisch,ADJ.,8899,10337
Praktik,praktisch,ADJ.,3270,67261
Grafik,grafisch,ADJ.,24491,7100
Republik,republisch,ADJ.,16788,0
Logik,logisch,ADJ.,9898,18963
Graphik,graphisch,ADJ.,1832,4240
Fabrik,fabrisch,ADJ.,6168,0
Romantik,romantisch,ADJ.,3361,11062
Streik,streisch,ADJ.,4943,0
Logistik,logistisch,ADJ.,5533,2286
Physik,physisch,ADJ.,11207,10458
Esoterik,esoterisch,ADJ.,1672,1891
Atlantik,atlantisch,ADJ.,2843,932
Elektronik,elektronisch,ADJ.,6403,31613
Taktik,taktisch,ADJ.,6327,7399
Optik,optisch,ADJ.,10475,23976
Thematik,thematisch,ADJ.,7910,6821
Diagnostik,diagnostisch,ADJ.,5305,2606
Preispolitik,preispolitisch,ADJ.,547,24
Poetik,poetisch,ADJ.,488,3663
Mosaik,mosaisch,ADJ.,1560,192
Mathematik,mathematisch,ADJ.,11220,7792
Klassik,klassisch,ADJ.,3695,48154
Hydraulik,hydraulisch,ADJ.,729,2181
Katholik,katholisch,ADJ.,4236,26878
Photovoltaik,photovoltaisch,ADJ.,2426,133
Chronik,chronisch,ADJ.,4028,12406
Keramik,keramisch,ADJ.,3053,911
Floristik,floristisch,ADJ.,180,126
Methodik,methodisch,ADJ.,2287,5086
Touristik,touristisch,ADJ.,1325,6317
Kosmetik,kosmetisch,ADJ.,4453,1852
Gymnastik,gymnastisch,ADJ.,1737,168
Belletristik,belletristisch,ADJ.,779,161
Charakteristik,charakteristisch,ADJ.,973,6066
Judaistik,judaistisch,ADJ.,90,24
Rubrik,rubrisch,ADJ.,14872,0
Dynamik,dynamisch,ADJ.,7807,14754
Aquaristik,aquaristisch,ADJ.,1306,123
Romanistik,romanistisch,ADJ.,383,35
Motorik,motorisch,ADJ.,700,2354
Panik,panisch,ADJ.,7592,2010
Diplomatik,diplomatisch,ADJ.,40,3825
Lyrik,lyrisch,ADJ.,3401,2812
Grammatik,grammatisch,ADJ.,3747,1040
Mechanik,mechanisch,ADJ.,2870,10703
Photonik,photonisch,ADJ.,158,86
Dramatik,dramatisch,ADJ.,1471,13096
Symptomatik,symptomatisch,ADJ.,1074,1114
Plastik,plastisch,ADJ.,5143,3484
Pazifik,pazifisch,ADJ.,1449,759
Bildtechnik,bildtechnisch,ADJ.,32,46
Hektik,hektisch,ADJ.,2780,4512
Psychosomatik,psychosomatisch,ADJ.,609,1894
Didaktik,didaktisch,ADJ.,1775,3655
Ästhetik,ästhetisch,ADJ.,4165,8081
Elektrik,elektrisch,ADJ.,1302,20508
Hermeneutik,hermeneutisch,ADJ.,618,449
Mimik,mimisch,ADJ.,2015,227
Automatik,automatisch,ADJ.,2672,53148
Mystik,mystisch,ADJ.,1419,3127
Tragik,tragisch,ADJ.,949,7072
Botanik,botanisch,ADJ.,838,3329
Ornamentik,ornamentisch,ADJ.,182,0
Spastik,spastisch,ADJ.,215,205
Leichtathletik,leichtathletisch,ADJ.,1662,104
Eugenik,eugenisch,ADJ.,252,151
Metaphysik,metaphysisch,ADJ.,1377,1089
Historik,historisch,ADJ.,70,56550
Genetik,genetisch,ADJ.,1261,8837
Pneumatik,pneumatisch,ADJ.,166,687
Anglistik,anglistisch,ADJ.,590,60
Komik,komisch,ADJ.,1351,29205
Dielektrik,dielektrisch,ADJ.,11,103
