lemma,unique_candidates,pos,lemma_freq,base_freq
Techniker,technisch,ADJ.,6410,86663
Mechaniker,mechanisch,ADJ.,1812,10703
Musiker,musisch,ADJ.,22228,734
Politiker,politisch,ADJ.,30152,115251
Skeptiker,skeptisch,ADJ.,1258,7469
Klassiker,klassisch,ADJ.,12640,48154
Telekomiker,telekomisch,ADJ.,102,0
Agnostiker,agnostisch,ADJ.,322,81
Historiker,historisch,ADJ.,5286,56550
Kritiker,kritisch,ADJ.,9735,38331
Praktiker,praktisch,ADJ.,2282,67261
Elektroniker,elektronisch,ADJ.,518,31613
Romantiker,romantisch,ADJ.,780,11062
Mathematiker,mathematisch,ADJ.,2461,7792
Komiker,komisch,ADJ.,939,29205
Keramiker,keramisch,ADJ.,120,911
Chemiker,chemisch,ADJ.,1961,14177
Dramatiker,dramatisch,ADJ.,728,13096
Mystiker,mystisch,ADJ.,608,3127
Taktiker,taktisch,ADJ.,276,7399
Automechaniker,automechanisch,ADJ.,202,0
Diabetiker,diabetisch,ADJ.,2984,557
Physiker,physisch,ADJ.,4045,10458
Phlegmatiker,phlegmatisch,ADJ.,38,151
Kleriker,klerisch,ADJ.,723,0
Optiker,optisch,ADJ.,1616,23976
Theoretiker,theoretisch,ADJ.,1059,26371
Botaniker,botanisch,ADJ.,517,3329
Biker,bisch,ADJ.,2471,0
Elektriker,elektrisch,ADJ.,1347,20508
Nichtakademiker,nichtakademisch,ADJ.,30,41
Scholastiker,scholastisch,ADJ.,69,143
Akademiker,akademisch,ADJ.,1989,8935
Aphasiker,aphasisch,ADJ.,31,0
Mechatroniker,mechatronisch,ADJ.,333,189
Mountainbiker,mountainbisch,ADJ.,676,0
Philharmoniker,philharmonisch,ADJ.,997,364
Kybernetiker,kybernetisch,ADJ.,38,282
Grafiker,grafisch,ADJ.,1475,7100
Didaktiker,didaktisch,ADJ.,98,3655
Informatiker,informatisch,ADJ.,1550,176
Allergiker,allergisch,ADJ.,2388,4076
Athletiker,athletisch,ADJ.,3,784
Ethiker,ethisch,ADJ.,133,7747
Lyriker,lyrisch,ADJ.,876,2812
Alkoholiker,alkoholisch,ADJ.,1963,1580
Symphoniker,symphonisch,ADJ.,481,446
Analytiker,analytisch,ADJ.,486,3694
Megalithiker,megalithisch,ADJ.,10,45
Fanatiker,fanatisch,ADJ.,1049,1550
Psychoanalytiker,psychoanalytisch,ADJ.,532,1069
Baustatiker,baustatisch,ADJ.,17,8
Logistiker,logistisch,ADJ.,262,2286
Forensiker,forensisch,ADJ.,57,659
Legastheniker,legasthenisch,ADJ.,227,46
Kliniker,klinisch,ADJ.,181,10256
Epileptiker,epileptisch,ADJ.,140,568
Kosmetiker,kosmetisch,ADJ.,114,1852
Esoteriker,esoterisch,ADJ.,544,1891
Graphiker,graphisch,ADJ.,226,4240
Dogmatiker,dogmatisch,ADJ.,161,1347
Hysteriker,hysterisch,ADJ.,32,1525
Robotiker,robotisch,ADJ.,5,35
Choleriker,cholerisch,ADJ.,118,236
Zyniker,zynisch,ADJ.,379,2701
Statiker,statisch,ADJ.,380,5816
Genetiker,genetisch,ADJ.,258,8837
Asthmatiker,asthmatisch,ADJ.,256,127
Augenoptiker,augenoptisch,ADJ.,289,22
Statistiker,statistisch,ADJ.,547,12607
Akustiker,akustisch,ADJ.,93,6621
Rhetoriker,rhetorisch,ADJ.,73,2396
Sicherheitsfanatiker,sicherheitsfanatisch,ADJ.,49,3
Logiker,logisch,ADJ.,116,18963
Mitmusiker,mitmusisch,ADJ.,179,0
Energetiker,energetisch,ADJ.,10,6251
Zykliker,zyklisch,ADJ.,4,1077
Dialektiker,dialektisch,ADJ.,36,986
Exzentriker,exzentrisch,ADJ.,155,943
Ästhetiker,ästhetisch,ADJ.,27,8081
Atlantiker,atlantisch,ADJ.,19,932
Melancholiker,melancholisch,ADJ.,107,2504
Satiriker,satirisch,ADJ.,302,1674
Paranoiker,paranoisch,ADJ.,71,24
Vorsokratiker,vorsokratisch,ADJ.,71,23
Neurotiker,neurotisch,ADJ.,104,655
Heraldiker,heraldisch,ADJ.,49,306
Pragmatiker,pragmatisch,ADJ.,245,3078
Diagnostiker,diagnostisch,ADJ.,96,2606
Zentriker,zentrisch,ADJ.,1,119
Dynamiker,dynamisch,ADJ.,19,14754
Hygieniker,hygienisch,ADJ.,31,2807
Biotiker,biotisch,ADJ.,6,138
Hermetiker,hermetisch,ADJ.,53,701
Häretiker,häretisch,ADJ.,164,0
Chaotiker,chaotisch,ADJ.,4,3398
Nostalgiker,nostalgisch,ADJ.,236,1807
Systematiker,systematisch,ADJ.,54,14050
Grammatiker,grammatisch,ADJ.,51,1040
Charismatiker,charismatisch,ADJ.,158,1742
Kanoniker,kanonisch,ADJ.,152,607
Motoriker,motorisch,ADJ.,2,2354
Polemiker,polemisch,ADJ.,77,1328
Prognostiker,prognostisch,ADJ.,30,416
Gnostiker,gnostisch,ADJ.,97,161
Nichtdiabetiker,nichtdiabetisch,ADJ.,33,3
Endoskopiker,endoskopisch,ADJ.,8,518
Heilpraktiker,heilpraktisch,ADJ.,2806,27
Plastiker,plastisch,ADJ.,35,3484
Nautiker,nautisch,ADJ.,45,397
Probiker,probisch,ADJ.,10,0
Eklektiker,eklektisch,ADJ.,19,129
Rheumatiker,rheumatisch,ADJ.,58,767
Stoiker,stoisch,ADJ.,179,667
Nichtallergiker,nichtallergisch,ADJ.,7,12
Psychotiker,psychotisch,ADJ.,47,462
Supertechniker,supertechnisch,ADJ.,15,1
Panegyriker,panegyrisch,ADJ.,2,6
Tierheilpraktiker,tierheilpraktisch,ADJ.,294,4
Hypertoniker,hypertonisch,ADJ.,32,9
Lithiker,lithisch,ADJ.,0,1
Ironiker,ironisch,ADJ.,43,4229
Antialkoholiker,antialkoholisch,ADJ.,41,39
Spastiker,spastisch,ADJ.,41,205
Somatiker,somatisch,ADJ.,1,558
Neurodermitiker,neurodermitisch,ADJ.,146,0
Metaphysiker,metaphysisch,ADJ.,73,1089
Epiker,episch,ADJ.,24,2316
Sanguiniker,sanguinisch,ADJ.,20,26
Kommunalpolitiker,kommunalpolitisch,ADJ.,968,1138
Platoniker,platonisch,ADJ.,41,798
Kryptiker,kryptisch,ADJ.,7,736
Apokalyptiker,apokalyptisch,ADJ.,91,933
Werbetechniker,werbetechnisch,ADJ.,27,75
Authentiker,authentisch,ADJ.,0,8490
Dubrovniker,dubrovnisch,ADJ.,6,0
Empiriker,empirisch,ADJ.,37,7958
Antibiotiker,antibiotisch,ADJ.,8,416
Vorkritiker,vorkritisch,ADJ.,6,16
Hermeneutiker,hermeneutisch,ADJ.,6,449
Bukoliker,bukolisch,ADJ.,5,34
Gentechniker,gentechnisch,ADJ.,51,3398
Schismatiker,schismatisch,ADJ.,22,24
Holiker,holisch,ADJ.,0,3
Systemkritiker,systemkritisch,ADJ.,57,63
Rhythmiker,rhythmisch,ADJ.,14,2819
Architekturhistoriker,architekturhistorisch,ADJ.,21,31
Erotiker,erotisch,ADJ.,4,4879
Thematiker,thematisch,ADJ.,4,6821
Chroniker,chronisch,ADJ.,17,12406
Ekstatiker,ekstatisch,ADJ.,3,484
Aphoristiker,aphoristisch,ADJ.,48,44
Prosaiker,prosaisch,ADJ.,12,291
Astrophysiker,astrophysisch,ADJ.,243,4
Nichtmathematiker,nichtmathematisch,ADJ.,13,10
Streiker,streisch,ADJ.,3,0
Antikomiker,antikomisch,ADJ.,0,0
Mitbiker,mitbisch,ADJ.,4,0
Superbiker,superbisch,ADJ.,3,0
Mitphysiker,mitphysisch,ADJ.,0,0
Parteipolitiker,parteipolitisch,ADJ.,66,1050
Ballistiker,ballistisch,ADJ.,11,280
Italiker,italisch,ADJ.,35,67
Nichtelektroniker,nichtelektronisch,ADJ.,4,8
Algebraiker,algebraisch,ADJ.,5,319
Sensoriker,sensorisch,ADJ.,2,978
Nichthistoriker,nichthistorisch,ADJ.,3,1
Theaterkritiker,theaterkritisch,ADJ.,102,0
Kosmiker,kosmisch,ADJ.,5,3223
Syphilitiker,syphilitisch,ADJ.,3,41
Superinformatiker,superinformatisch,ADJ.,0,0
Verschwörungstheoretiker,verschwörungstheoretisch,ADJ.,741,22
Nichtphysiker,nichtphysisch,ADJ.,10,23
Literaturkritiker,literaturkritisch,ADJ.,290,44
Filmklassiker,filmklassisch,ADJ.,207,0
Hektiker,hektisch,ADJ.,41,4512
Poliker,polisch,ADJ.,20,16
Symboliker,symbolisch,ADJ.,0,6364
Metriker,metrisch,ADJ.,1,726
Tragiker,tragisch,ADJ.,24,7072
Fussballfanatiker,fussballfanatisch,ADJ.,2,0
