lemma,unique_candidates,pos,lemma_freq,base_freq
Praktikum,praktisch,ADJ.,12388,67261
Publikum,publisch,ADJ.,38513,0
Panoptikum,panoptisch,ADJ.,223,15
Klinikum,klinisch,ADJ.,4290,10256
Charakteristikum,charakteristisch,ADJ.,1257,6066
Antiepileptikum,antiepileptisch,ADJ.,193,27
Antibiotikum,antibiotisch,ADJ.,5129,416
Basilikum,basilisch,ADJ.,1025,0
Politikum,politisch,ADJ.,328,115251
Neuroleptikum,neuroleptisch,ADJ.,427,0
Spezifikum,spezifisch,ADJ.,321,17120
Biologikum,biologisch,ADJ.,6,15009
Unikum,unisch,ADJ.,214,0
Diuretikum,diuretisch,ADJ.,239,0
Technikum,technisch,ADJ.,255,86663
Praktika,prakisch,ADJ.,0,0
Galenikum,galenisch,ADJ.,2,0
Antirheumatikum,antirheumatisch,ADJ.,178,26
Analgetikum,analgetisch,ADJ.,196,0
Anabolikum,anabolisch,ADJ.,434,0
Narkotikum,narkotisch,ADJ.,85,39
Diabetologikum,diabetologisch,ADJ.,0,72
Anästhetikum,anästhetisch,ADJ.,42,0
Pharmazeutikum,pharmazeutisch,ADJ.,117,1974
Generikum,generisch,ADJ.,95,747
Antiseptikum,antiseptisch,ADJ.,40,209
Koanalgetikum,koanalgetisch,ADJ.,1,0
Probiotikum,probiotisch,ADJ.,29,217
Dielektrikum,dielektrisch,ADJ.,86,103
Charakteristika,charakterisisch,ADJ.,0,0
Neolithikum,neolithisch,ADJ.,189,207
Antiparasitikum,antiparasitisch,ADJ.,7,1
Antidiabetikum,antidiabetisch,ADJ.,42,22
Therapeutikum,therapeutisch,ADJ.,133,7825
Physikum,physisch,ADJ.,186,10458
Kosmetikum,kosmetisch,ADJ.,19,1852
Hypnotikum,hypnotisch,ADJ.,24,576
Polytechnikum,polytechnisch,ADJ.,99,280
Periodikum,periodisch,ADJ.,58,1778
Antibiotika,antibioisch,ADJ.,0,0
Diagnostikum,diagnostisch,ADJ.,90,2606
Pharmazeutika,pharmazeuisch,ADJ.,0,0
Exotikum,exotisch,ADJ.,9,6123
Antihistaminikum,antihistaminisch,ADJ.,203,2
Massenpublikum,massenpublisch,ADJ.,103,0
Vorpraktikum,vorpraktisch,ADJ.,138,0
Biotikum,biotisch,ADJ.,0,138
Tonikum,tonisch,ADJ.,35,53
Athletikum,athletisch,ADJ.,0,784
Ethikum,ethisch,ADJ.,1,7747
Gummiarabikum,gummiarabisch,ADJ.,2,0
Spezifika,speziisch,ADJ.,0,1
Therapeutika,therapeuisch,ADJ.,0,0
Anabolika,anaboisch,ADJ.,0,0
Vorphysikum,vorphysisch,ADJ.,16,0
Mathematikum,mathematisch,ADJ.,52,7792
Onkologikum,onkologisch,ADJ.,0,608
Botanikum,botanisch,ADJ.,2,3329
Elektrikum,elektrisch,ADJ.,0,20508
Polikum,polisch,ADJ.,1,16
Archaikum,archaisch,ADJ.,7,1385
Virostatikum,virostatisch,ADJ.,6,5
Analgetika,analgeisch,ADJ.,0,0
Elblandklinikum,elblandklinisch,ADJ.,21,0
Zielpublikum,zielpublisch,ADJ.,335,0
Antiallergikum,antiallergisch,ADJ.,17,100
Intergenerikum,intergenerisch,ADJ.,2,0
Kryptologikum,kryptologisch,ADJ.,0,24
Chemikum,chemisch,ADJ.,2,14177
Graphikum,graphisch,ADJ.,5,4240
Metaphysikum,metaphysisch,ADJ.,1,1089
Diakonieklinikum,diakonieklinisch,ADJ.,6,0
Diagnostika,diagnosisch,ADJ.,0,0
Symptomatikum,symptomatisch,ADJ.,0,1114
Mitpublikum,mitpublisch,ADJ.,0,0
Generika,geneisch,ADJ.,545,0
Allergikum,allergisch,ADJ.,1,4076
Diuretika,diureisch,ADJ.,0,0
Diabetikum,diabetisch,ADJ.,1,557
Emetikum,emetisch,ADJ.,0,0
Holikum,holisch,ADJ.,0,3
Eventpublikum,eventpublisch,ADJ.,6,0
Klinika,kliisch,ADJ.,0,0
Endokrinologikum,endokrinologisch,ADJ.,8,59
Theologikum,theologisch,ADJ.,2,6653
Psychedelikum,psychedelisch,ADJ.,0,637
Nachpraktikum,nachpraktisch,ADJ.,8,0
Authentikum,authentisch,ADJ.,0,8490
Informatikum,informatisch,ADJ.,9,176
Anthropologikum,anthropologisch,ADJ.,0,1011
Dermatologikum,dermatologisch,ADJ.,5,321
Narkotika,narkoisch,ADJ.,0,0
Superpublikum,superpublisch,ADJ.,4,0
Dynamikum,dynamisch,ADJ.,20,14754
Zytostatikum,zytostatisch,ADJ.,28,25
Humoristikum,humoristisch,ADJ.,0,738
Antistatikum,antistatisch,ADJ.,5,185
Anästhetika,anästheisch,ADJ.,0,0
Ethnikum,ethnisch,ADJ.,1,4271
Energetikum,energetisch,ADJ.,2,6251
Fachpublikum,fachpublisch,ADJ.,656,0
Galenika,galeisch,ADJ.,0,0
