lemma,unique_candidates,pos,lemma_freq,base_freq
Sortiment,sortieren,VVINF,10981,1819
Regiment,regieren,VVINF,2558,1714
Kompliment,komplieren,VVINF,5097,0
Sentiment,sentieren,VVINF,150,0
Ressentiment,ressentieren,VVINF,903,0
Experiment,experieren,VVINF,14797,0
Piment,pieren,VVINF,116,0
Sediment,sedieren,VVINF,1030,0
Rudiment,rudieren,VVINF,100,0
Aliment,alieren,VVINF,168,0
Metasediment,metasedieren,VVINF,1,0
Assortiment,assortieren,VVINF,4,0
Standardsortiment,standardsortieren,VVINF,74,0
Nebensortiment,nebensortieren,VVINF,4,0
Vollsortiment,vollsortieren,VVINF,88,0
Infanterieregiment,infanterieregieren,VVINF,155,0
Nebenexperiment,nebenexperieren,VVINF,0,0
Vorexperiment,vorexperieren,VVINF,4,0
Grundsortiment,grundsortieren,VVINF,19,0
Riesenkompliment,riesenkomplieren,VVINF,71,0
Heimexperiment,heimexperieren,VVINF,1,0
Lebensmittelsortiment,lebensmittelsortieren,VVINF,7,0
Panzerregiment,panzerregieren,VVINF,45,0
Gedankenexperiment,gedankenexperieren,VVINF,342,0
Oberregiment,oberregieren,VVINF,0,0
Sprachexperiment,sprachexperieren,VVINF,22,0
Gegenkompliment,gegenkomplieren,VVINF,0,0
Farbexperiment,farbexperieren,VVINF,10,0
Produktsortiment,produktsortieren,VVINF,354,0
Untersortiment,untersortieren,VVINF,1,0
Warensortiment,warensortieren,VVINF,127,0
