lemma,unique_candidates,pos,lemma_freq,base_freq
Organismus,organ,ADJ.,8225,0
Organismus,organisch,ADJ.,8225,7791
Organismus,Organik,NN,8225,48
Syndikalismus,syndikal,ADJ.,42,0
Syndikalismus,syndikell,ADJ.,42,0
Syndikalismus,syndikalisch,ADJ.,42,0
Syndikalismus,Syndikalik,NN,42,0
Automatismus,automat,ADJ.,644,0
Automatismus,automatisch,ADJ.,644,53148
Automatismus,Automatik,NN,644,2672
Hinduismus,hindu,ADJ.,900,0
Hinduismus,hinduisch,ADJ.,900,1
Hinduismus,Hinduik,NN,900,0
Tourismus,tour,ADJ.,9473,0
Tourismus,tourisch,ADJ.,9473,1
Tourismus,Tourik,NN,9473,0
Kapitalismus,kapital,ADJ.,8421,933
Kapitalismus,kapitell,ADJ.,8421,0
Kapitalismus,kapitalisch,ADJ.,8421,4
Kapitalismus,Kapitalik,NN,8421,0
Journalismus,journal,ADJ.,3745,0
Journalismus,journell,ADJ.,3745,0
Journalismus,journalisch,ADJ.,3745,0
Journalismus,Journalik,NN,3745,0
Modernismus,modern,ADJ.,170,82878
Modernismus,modernisch,ADJ.,170,0
Modernismus,Modernik,NN,170,0
Fanatismus,fanat,ADJ.,757,0
Fanatismus,fanatisch,ADJ.,757,1550
Fanatismus,Fanatik,NN,757,5
Autismus,aut,ADJ.,896,0
Autismus,autisch,ADJ.,896,3
Autismus,Autik,NN,896,0
Fetischismus,fetisch,ADJ.,126,36
Fetischismus,fetischisch,ADJ.,126,0
Fetischismus,Fetischik,NN,126,0
Mechanismus,mechan,ADJ.,6721,0
Mechanismus,mechanisch,ADJ.,6721,10703
Mechanismus,Mechanik,NN,6721,2870
Zentralismus,zentral,ADJ.,267,52527
Zentralismus,zentrell,ADJ.,267,0
Zentralismus,zentralisch,ADJ.,267,1
Zentralismus,Zentralik,NN,267,0
Sozialismus,sozial,ADJ.,5658,102902
Sozialismus,soziell,ADJ.,5658,0
Sozialismus,sozialisch,ADJ.,5658,0
Sozialismus,Sozialik,NN,5658,0
Antirealismus,antireal,ADJ.,8,0
Antirealismus,antireell,ADJ.,8,0
Antirealismus,antirealisch,ADJ.,8,0
Antirealismus,Antirealik,NN,8,0
Feudalismus,feudal,ADJ.,247,634
Feudalismus,feudell,ADJ.,247,0
Feudalismus,feudalisch,ADJ.,247,0
Feudalismus,Feudalik,NN,247,0
Egoismus,ego,ADJ.,3185,0
Egoismus,egoisch,ADJ.,3185,0
