lemma,unique_candidates,pos,lemma_freq,base_freq
Singularität,singular,ADJ.,354,0
Diversität,divers,ADJ.,2,40230
Identität,ident,ADJ.,14501,0
Universität,univers,ADJ.,68688,0
Qualität,qual,ADJ.,78975,0
Qualität,quell,ADJ.,78975,0
Aktivität,aktiv,ADJ.,35489,82437
Realität,real,ADJ.,26842,25786
Realität,reell,ADJ.,26842,1579
Stabilität,stabil,ADJ.,8266,25064
Stabilität,stabel,ADJ.,8266,0
Solidarität,solidar,ADJ.,8229,0
Kapazität,kapaz,ADJ.,8568,0
Rivalität,rival,ADJ.,943,0
Rivalität,rivell,ADJ.,943,0
Kontinuität,kontinu,ADJ.,3398,0
Virtuosität,virtuos,ADJ.,572,1799
Aggressivität,aggressiv,ADJ.,1504,11626
Loyalität,loyal,ADJ.,1713,1309
Loyalität,loyell,ADJ.,1713,0
Pluralität,plural,ADJ.,750,401
Pluralität,plurell,ADJ.,750,0
Kreativität,kreativ,ADJ.,10687,23920
Sensibilität,sensibil,ADJ.,2006,0
Sensibilität,sensibel,ADJ.,2006,8911
Bonität,bon,ADJ.,1506,0
Intensität,intens,ADJ.,6069,0
Effektivität,effektiv,ADJ.,2301,25471
Priorität,prior,ADJ.,8369,0
Entität,ent,ADJ.,617,0
Authentizität,authentiz,ADJ.,2045,0
Authentizität,authentisch,ADJ.,2045,8490
Religiosität,religios,ADJ.,1035,0
Mentalität,mental,ADJ.,2745,5338
Mentalität,mentell,ADJ.,2745,0
Antiquität,antiqu,ADJ.,848,0
Sexualität,sexual,ADJ.,5668,219
Sexualität,sexuell,ADJ.,5668,18009
Funktionalität,funktional,ADJ.,7848,4540
Funktionalität,funktionell,ADJ.,7848,3769
Attraktivität,attraktiv,ADJ.,3802,29674
Agilität,agil,ADJ.,388,2290
Rarität,rar,ADJ.,1740,3599
Komplexität,komplex,ADJ.,5331,26658
Fernuniversität,fernunivers,ADJ.,580,0
Subjektivität,subjektiv,ADJ.,1030,12175
Aktualität,aktual,ADJ.,5757,64
Aktualität,aktuell,ADJ.,5757,198957
Rationalität,rational,ADJ.,1080,5072
Rationalität,rationell,ADJ.,1080,1016
Polarität,polar,ADJ.,956,1584
Brutalität,brutal,ADJ.,1515,10167
Brutalität,brutell,ADJ.,1515,0
Produktivität,produktiv,ADJ.,3247,4849
Mobilität,mobil,ADJ.,7257,33968
Mobilität,mobel,ADJ.,7257,0
Spezifität,spezif,ADJ.,290,0
Flexibilität,flexibil,ADJ.,7817,0
Flexibilität,flexibel,ADJ.,7817,20178
Illegalität,illegal,ADJ.,505,15989
Illegalität,illegell,ADJ.,505,0
Exklusivität,exklusiv,ADJ.,827,16743
Kriminalität,kriminal,ADJ.,3281,9
Kriminalität,kriminell,ADJ.,3281,5998
Universalität,universal,ADJ.,314,1817
Universalität,universell,ADJ.,314,4745
Spezialität,spezial,ADJ.,5861,667
Spezialität,speziell,ADJ.,5861,85336
Autorität,autor,ADJ.,4747,0
Professionalität,professional,ADJ.,2076,252
Professionalität,professionell,ADJ.,2076,35409
Kompatibilität,kompatibil,ADJ.,1496,0
Kompatibilität,kompatibel,ADJ.,1496,6161
Objektivität,objektiv,ADJ.,1622,13160
Popularität,popular,ADJ.,2155,404
Souveränität,souverän,ADJ.,2537,10170
Individualität,individual,ADJ.,3435,618
Individualität,individuell,ADJ.,3435,72685
Sentimentalität,sentimental,ADJ.,394,992
Sentimentalität,sentimentell,ADJ.,394,0
Tonalität,tonal,ADJ.,223,476
Tonalität,tonell,ADJ.,223,0
Homogenität,homogen,ADJ.,438,3146
Frivolität,frivol,ADJ.,72,373
Anonymität,anonym,ADJ.,2176,10912
Modalität,modal,ADJ.,851,269
Modalität,modell,ADJ.,851,0
Absurdität,absurd,ADJ.,783,6309
Unprofessionalität,unprofessional,ADJ.,76,3
Unprofessionalität,unprofessionell,ADJ.,76,819
Legalität,legal,ADJ.,713,10275
Legalität,legell,ADJ.,713,0
Legitimität,legitim,ADJ.,858,4762
Sensitivität,sensitiv,ADJ.,416,843
Normalität,normal,ADJ.,2385,120834
Normalität,normell,ADJ.,2385,0
Liquidität,liquid,ADJ.,1881,2323
Lokalität,lokal,ADJ.,1054,30111
Lokalität,lokell,ADJ.,1054,0
Vitalität,vital,ADJ.,1572,1988
Vitalität,vitell,ADJ.,1572,0
Festivität,festiv,ADJ.,298,0
Elektrizität,elektriz,ADJ.,1609,0
Elektrizität,elektrisch,ADJ.,1609,20508
Subsidiarität,subsidiar,ADJ.,378,0
Animosität,animos,ADJ.,199,6
Linearität,linear,ADJ.,220,5367
Überaktivität,überaktiv,ADJ.,54,99
Immunität,immun,ADJ.,1000,1170
Liberalität,liberal,ADJ.,244,6890
Liberalität,liberell,ADJ.,244,0
Integrität,integr,ADJ.,1899,0
Genialität,genial,ADJ.,568,24912
Genialität,geniell,ADJ.,568,0
Variabilität,variabil,ADJ.,725,0
Variabilität,variabel,ADJ.,725,7304
Majorität,major,ADJ.,169,0
Speicherkapazität,speicherkapaz,ADJ.,1027,0
Parität,par,ADJ.,251,0
Humanität,human,ADJ.,774,3726
Intimität,intim,ADJ.,819,3147
Extremität,extrem,ADJ.,905,54876
Expressivität,expressiv,ADJ.,161,726
Heterogenität,heterogen,ADJ.,773,2083
Passivität,passiv,ADJ.,641,8710
Elastizität,elastiz,ADJ.,943,0
Elastizität,elastisch,ADJ.,943,2934
Opportunität,opportun,ADJ.,98,281
Nervosität,nervos,ADJ.,1957,0
Originalität,original,ADJ.,1180,68210
Originalität,originell,ADJ.,1180,6123
Banalität,banal,ADJ.,555,3128
Banalität,banell,ADJ.,555,0
Radioaktivität,radioaktiv,ADJ.,1202,4270
Plausibilität,plausibil,ADJ.,543,0
Plausibilität,plausibel,ADJ.,543,4461
