lemma,unique_candidates,pos,lemma_freq,base_freq
Spediteur,spedieren,VVINF,697,0
Akquisiteur,akquisieren,VVINF,21,0
Kompositeur,komposieren,VVINF,6,0
Requisiteur,requisieren,VVINF,52,0
Auditeur,audieren,VVINF,8,0
Moniteur,monieren,VVINF,37,80
Unterspediteur,unterspedieren,VVINF,0,0
Oberspediteur,oberspedieren,VVINF,0,0
Definiteur,definieren,VVINF,0,5980
Subspediteur,subspedieren,VVINF,0,0
Nichtrequisiteur,nichtrequisieren,VVINF,0,0
Oberauditeur,oberaudieren,VVINF,0,0
Viehspediteur,viehspedieren,VVINF,2,0
Erstspediteur,erstspedieren,VVINF,2,0
Oberrequisiteur,oberrequisieren,VVINF,0,0
Rahmenvertragsspediteur,rahmenvertragsspedieren,VVINF,0,0
Drittspediteur,drittspedieren,VVINF,0,0
Dispositeur,disposieren,VVINF,0,0
Oppositeur,opposieren,VVINF,1,0
Repetiteur,repetieren,VVINF,1,28
Mitspediteur,mitspedieren,VVINF,0,0
Hofspediteur,hofspedieren,VVINF,2,0
Exspediteur,exspedieren,VVINF,0,0
