lemma,unique_candidates,pos,lemma_freq,base_freq
Investition,investieren,VVINF,18569,9088
Opposition,opposieren,VVINF,7984,0
Opposition,opponieren,VVINF,7984,44
Ambition,ambieren,VVINF,2221,0
Definition,definieren,VVINF,14845,5980
Spedition,spedieren,VVINF,1890,0
Tradition,tradieren,VVINF,29735,23
Kondition,kondieren,VVINF,9225,0
Position,posieren,VVINF,48856,117
Position,ponieren,VVINF,48856,0
Edition,edieren,VVINF,13632,42
Disposition,disposieren,VVINF,2204,0
Disposition,disponieren,VVINF,2204,108
Komposition,komposieren,VVINF,6779,0
Komposition,komponieren,VVINF,6779,607
Koalition,koalieren,VVINF,10129,147
Intuition,intuieren,VVINF,2507,0
Addition,addieren,VVINF,876,450
Petition,petieren,VVINF,3926,0
Partition,partieren,VVINF,3573,0
Expedition,expedieren,VVINF,3286,7
Munition,munieren,VVINF,3527,0
Akquisition,akquisieren,VVINF,901,0
Akquisition,akquinieren,VVINF,901,0
Nutrition,nutrieren,VVINF,414,0
Exposition,exposieren,VVINF,1337,0
Exposition,exponieren,VVINF,1337,48
Kognition,kognieren,VVINF,452,0
Exhibition,exhibieren,VVINF,291,0
Inhibition,inhibieren,VVINF,93,0
Gegenposition,gegenposieren,VVINF,259,0
Gegenposition,gegenponieren,VVINF,259,0
Deposition,deposieren,VVINF,89,0
Deposition,deponieren,VVINF,89,316
Sitzposition,sitzposieren,VVINF,1127,0
Sitzposition,sitzponieren,VVINF,1127,0
Prohibition,prohibieren,VVINF,223,0
Neudefinition,neudefinieren,VVINF,214,0
Urtradition,urtradieren,VVINF,4,0
Inquisition,inquisieren,VVINF,1103,0
Inquisition,inquinieren,VVINF,1103,0
Submunition,submunieren,VVINF,9,0
Reposition,reposieren,VVINF,74,0
Reposition,reponieren,VVINF,74,0
Fehlinvestition,fehlinvestieren,VVINF,298,0
Prädisposition,prädisposieren,VVINF,137,0
Prädisposition,prädisponieren,VVINF,137,0
Einmalinvestition,einmalinvestieren,VVINF,4,0
Proposition,proposieren,VVINF,192,0
Proposition,proponieren,VVINF,192,0
Repetition,repetieren,VVINF,80,28
Unterposition,unterposieren,VVINF,20,0
Unterposition,unterponieren,VVINF,20,0
Präposition,präposieren,VVINF,554,0
Präposition,präponieren,VVINF,554,0
Demolition,demolieren,VVINF,75,89
Desinvestition,desinvestieren,VVINF,27,0
Korrepetition,korrepetieren,VVINF,17,0
Schlüsselposition,schlüsselposieren,VVINF,400,0
Schlüsselposition,schlüsselponieren,VVINF,400,0
Erstinvestition,erstinvestieren,VVINF,25,0
Superposition,superposieren,VVINF,63,0
Superposition,superponieren,VVINF,63,0
Unterinvestition,unterinvestieren,VVINF,4,0
Abolition,abolieren,VVINF,16,0
Transposition,transposieren,VVINF,85,0
Transposition,transponieren,VVINF,85,64
Startposition,startposieren,VVINF,360,0
Startposition,startponieren,VVINF,360,0
Audition,audieren,VVINF,126,0
Apparition,apparieren,VVINF,11,0
Superkondition,superkondieren,VVINF,5,0
Apposition,apposieren,VVINF,26,0
Apposition,apponieren,VVINF,26,0
Reedition,reedieren,VVINF,8,0
Redefinition,redefinieren,VVINF,15,0
Sonderkondition,sonderkondieren,VVINF,586,0
Begriffsdefinition,begriffsdefinieren,VVINF,197,0
Indisposition,indisposieren,VVINF,16,0
Indisposition,indisponieren,VVINF,16,0
Juxtaposition,juxtaposieren,VVINF,9,0
Juxtaposition,juxtaponieren,VVINF,9,0
Nachdisposition,nachdisposieren,VVINF,1,0
Nachdisposition,nachdisponieren,VVINF,1,0
Gegentradition,gegentradieren,VVINF,1,0
Metakognition,metakognieren,VVINF,29,0
Metaposition,metaposieren,VVINF,6,0
Metaposition,metaponieren,VVINF,6,0
Dekomposition,dekomposieren,VVINF,26,0
Dekomposition,dekomponieren,VVINF,26,1
Vorabinvestition,vorabinvestieren,VVINF,3,0
Rahmenkondition,rahmenkondieren,VVINF,5,0
Urdefinition,urdefinieren,VVINF,1,0
Bildkomposition,bildkomposieren,VVINF,267,0
Bildkomposition,bildkomponieren,VVINF,267,0
Kontraposition,kontraposieren,VVINF,10,0
Kontraposition,kontraponieren,VVINF,10,0
Nachinvestition,nachinvestieren,VVINF,1,0
