lemma,unique_candidates,pos,lemma_freq,base_freq
Garnitur,garnieren,VVINF,799,163
Politur,polieren,VVINF,626,571
Partitur,partieren,VVINF,1208,0
Abitur,abieren,VVINF,7319,0
Positur,posieren,VVINF,60,117
Investitur,investieren,VVINF,40,9088
Fioritur,fiorieren,VVINF,2,0
Expositur,exposieren,VVINF,37,0
Sitzgarnitur,sitzgarnieren,VVINF,89,0
Vorpolitur,vorpolieren,VVINF,1,0
Fachabitur,fachabieren,VVINF,269,0
Zentralabitur,zentralabieren,VVINF,229,0
Glanzpolitur,glanzpolieren,VVINF,1,0
Couchgarnitur,couchgarnieren,VVINF,127,0
Ledergarnitur,ledergarnieren,VVINF,37,0
Nachpolitur,nachpolieren,VVINF,1,0
Drittgarnitur,drittgarnieren,VVINF,2,0
Schellackpolitur,schellackpolieren,VVINF,6,0
Erstgarnitur,erstgarnieren,VVINF,5,0
Vorabitur,vorabieren,VVINF,1,0
Hochglanzpolitur,hochglanzpolieren,VVINF,25,0
Untergarnitur,untergarnieren,VVINF,0,0
Autopolitur,autopolieren,VVINF,156,0
Tischgarnitur,tischgarnieren,VVINF,10,0
Puddingabitur,puddingabieren,VVINF,1,0
Superpolitur,superpolieren,VVINF,1,0
Zweitgarnitur,zweitgarnieren,VVINF,1,0
Hologrammpolitur,hologrammpolieren,VVINF,0,0
Lachpartitur,lachpartieren,VVINF,0,0
Polstergarnitur,polstergarnieren,VVINF,50,0
Bierzeltgarnitur,bierzeltgarnieren,VVINF,54,0
Studienpartitur,studienpartieren,VVINF,7,0
Möbelpolitur,möbelpolieren,VVINF,23,0
Auditur,audieren,VVINF,0,0
Wechselgarnitur,wechselgarnieren,VVINF,5,0
