lemma,unique_candidates,pos,lemma_freq,base_freq
Gymnasium,gymnasieren,VVINF,14428,0
Gymnasium,Gymnas,NN,14428,0
Medium,medieren,VVINF,85530,0
Medium,Med,NN,85530,0
Laboratorium,laboratorieren,VVINF,1210,0
Laboratorium,Laborator,NN,1210,0
Kriterium,kriterieren,VVINF,21804,0
Kriterium,Kriter,NN,21804,0
Studium,studieren,VVINF,64169,7471
Studium,Stud,NN,64169,0
Gremium,gremieren,VVINF,8346,0
Gremium,Grem,NN,8346,0
Stadium,stadieren,VVINF,6870,0
Stadium,Stad,NN,6870,0
Beryllium,beryllieren,VVINF,73,0
Beryllium,Beryll,NN,73,61
Aluminium,aluminieren,VVINF,5220,0
Aluminium,Alumin,NN,5220,0
Kuratorium,kuratorieren,VVINF,1517,0
Kuratorium,Kurator,NN,1517,939
Ministerium,ministerieren,VVINF,11586,0
Ministerium,Minister,NN,11586,11090
Krematorium,krematorieren,VVINF,512,0
Krematorium,Kremator,NN,512,0
Lithium,lithieren,VVINF,574,0
Lithium,Lith,NN,574,0
Aquarium,aquarieren,VVINF,7838,0
Aquarium,Aquar,NN,7838,0
Präsidium,präsidieren,VVINF,3096,17
Präsidium,Präsid,NN,3096,0
Presbyterium,presbyterieren,VVINF,571,0
Presbyterium,Presbyter,NN,571,300
Provisorium,provisorieren,VVINF,622,0
Provisorium,Provisor,NN,622,0
Calcium,calcieren,VVINF,1806,0
Calcium,Calc,NN,1806,0
Observatorium,observatorieren,VVINF,563,0
Observatorium,Observator,NN,563,12
Symposium,symposieren,VVINF,3957,0
Symposium,Sympos,NN,3957,0
Magnesium,magnesieren,VVINF,2101,0
Magnesium,Magnes,NN,2101,0
Solarium,solarieren,VVINF,1328,0
Solarium,Solar,NN,1328,0
Kolloquium,kolloquieren,VVINF,1782,0
Kolloquium,Kolloqu,NN,1782,0
Szenarium,szenarieren,VVINF,3099,0
Szenarium,Szenar,NN,3099,0
Konservatorium,konservatorieren,VVINF,719,0
Konservatorium,Konservator,NN,719,92
Konsistorium,konsistorieren,VVINF,312,0
Konsistorium,Konsistor,NN,312,0
Bakterium,bakterieren,VVINF,9470,0
Bakterium,Bakter,NN,9470,0
Imperium,imperieren,VVINF,3615,0
Imperium,Imper,NN,3615,0
Geranium,geranieren,VVINF,106,0
Geranium,Geran,NN,106,0
Stipendium,stipendieren,VVINF,4150,0
Stipendium,Stipend,NN,4150,0
Konsortium,konsortieren,VVINF,1111,0
Konsortium,Konsort,NN,1111,0
Territorium,territorieren,VVINF,3432,0
Territorium,Territor,NN,3432,0
Vokabularium,vokabularieren,VVINF,15,0
Vokabularium,Vokabular,NN,15,1091
Helium,helieren,VVINF,809,0
Helium,Hel,NN,809,0
Privilegium,privilegieren,VVINF,1890,39
Privilegium,Privileg,NN,1890,1810
Kollegium,kollegieren,VVINF,1763,0
Kollegium,Kolleg,NN,1763,963
Spermium,spermieren,VVINF,876,0
Spermium,Sperm,NN,876,0
Terrarium,terrarieren,VVINF,2954,0
Terrarium,Terrar,NN,2954,0
Podium,podieren,VVINF,2264,0
Podium,Pod,NN,2264,0
Staatsministerium,staatsministerieren,VVINF,1449,0
Staatsministerium,Staatsminister,NN,1449,949
Direktorium,direktorieren,VVINF,392,0
Direktorium,Direktor,NN,392,10278
Hauptstudium,hauptstudieren,VVINF,852,0
Hauptstudium,Hauptstud,NN,852,0
Sanatorium,sanatorieren,VVINF,515,0
Sanatorium,Sanator,NN,515,0
Ammonium,ammonieren,VVINF,279,0
Ammonium,Ammon,NN,279,0
Evangelium,evangelieren,VVINF,6245,0
Evangelium,Evangel,NN,6245,0
Telemedium,telemedieren,VVINF,199,0
Telemedium,Telemed,NN,199,0
Plutonium,plutonieren,VVINF,631,0
Plutonium,Pluton,NN,631,0
Offertorium,offertorieren,VVINF,27,0
Offertorium,Offertor,NN,27,0
Ovarium,ovarieren,VVINF,77,0
Ovarium,Ovar,NN,77,0
Kalium,kalieren,VVINF,1409,0
Kalium,Kal,NN,1409,0
Sammelsurium,sammelsurieren,VVINF,582,0
Sammelsurium,Sammelsur,NN,582,0
Bakterie,bakteieren,VVINF,88,0
Bakterie,Bakte,NN,88,0
