lemma,unique_candidates,pos,lemma_freq,base_freq
Frühling,früh,ADJ.,10603,129502
Frühling,fruh,ADJ.,10603,0
Frühling,frühen,VVINF,10603,0
Frühling,fruhen,VVINF,10603,0
Vierling,vier,ADJ.,152,0
Vierling,vieren,VVINF,152,0
Vierling,viern,VVINF,152,0
Lehrling,lehr,ADJ.,2500,0
Lehrling,lehren,VVINF,2500,1930
Lehrling,lehrn,VVINF,2500,0
Säugling,säug,ADJ.,3490,0
Säugling,saug,ADJ.,3490,0
Säugling,säugen,VVINF,3490,45
Säugling,saugen,VVINF,3490,1344
Bowling,bow,ADJ.,825,0
Bowling,bowen,VVINF,825,0
Styling,sty,ADJ.,1112,0
Styling,styen,VVINF,1112,0
Zwilling,zwil,ADJ.,3863,0
Zwilling,zwilen,VVINF,3863,0
Zwilling,zwiln,VVINF,3863,0
Handling,hand,ADJ.,2369,0
Handling,handen,VVINF,2369,0
Liebling,lieb,ADJ.,5630,198820
Liebling,lieben,VVINF,5630,7821
Winzling,winz,ADJ.,345,0
Winzling,winzen,VVINF,345,0
Emporkömmling,emporkömm,ADJ.,143,0
Emporkömmling,emporkomm,ADJ.,143,0
Emporkömmling,emporkömmen,VVINF,143,0
Emporkömmling,emporkommen,VVINF,143,0
Schädling,schäd,ADJ.,2444,0
Schädling,schad,ADJ.,2444,0
Schädling,schäden,VVINF,2444,0
Schädling,schaden,VVINF,2444,6060
Schmetterling,schmetter,ADJ.,4111,0
Schmetterling,schmetteren,VVINF,4111,0
Schmetterling,schmettern,VVINF,4111,89
Schützling,schütz,ADJ.,2423,0
Schützling,schutz,ADJ.,2423,0
Schützling,schützen,VVINF,2423,20350
Schützling,schutzen,VVINF,2423,0
Neuling,neu,ADJ.,5172,1048374
Neuling,neuen,VVINF,5172,0
Feeling,fee,ADJ.,1846,0
Feeling,feeen,VVINF,1846,0
Controlling,control,ADJ.,2577,0
Controlling,controlen,VVINF,2577,0
Controlling,controln,VVINF,2577,0
Flüchtling,flücht,ADJ.,9990,0
Flüchtling,flucht,ADJ.,9990,0
Flüchtling,flüchten,VVINF,9990,1822
Flüchtling,fluchten,VVINF,9990,0
Recycling,recyc,ADJ.,1621,0
Recycling,recycen,VVINF,1621,0
Bratling,brat,ADJ.,50,0
Bratling,braten,VVINF,50,698
Findling,find,ADJ.,548,0
Findling,finden,VVINF,548,128108
Abkömmling,abkömm,ADJ.,695,0
Abkömmling,abkomm,ADJ.,695,0
Abkömmling,abkömmen,VVINF,695,0
Abkömmling,abkommen,VVINF,695,143
Rohling,roh,ADJ.,1884,5484
Rohling,rohen,VVINF,1884,0
Breitling,breit,ADJ.,244,64248
Breitling,breiten,VVINF,244,167
Mailing,mai,ADJ.,783,0
Mailing,maien,VVINF,783,0
Ankömmling,ankömm,ADJ.,182,0
Ankömmling,ankomm,ADJ.,182,0
Ankömmling,ankömmen,VVINF,182,0
Ankömmling,ankommen,VVINF,182,4522
Jüngling,jüng,ADJ.,1828,0
Jüngling,jung,ADJ.,1828,186168
Jüngling,jüngen,VVINF,1828,0
Jüngling,jungen,VVINF,1828,0
Pressling,press,ADJ.,58,0
Pressling,pressen,VVINF,58,899
Porling,por,ADJ.,12,0
Porling,poren,VVINF,12,0
Porling,porn,VVINF,12,0
Schilling,schil,ADJ.,484,0
Schilling,schilen,VVINF,484,0
Schilling,schiln,VVINF,484,0
Sprössling,spröss,ADJ.,1055,0
Sprössling,spross,ADJ.,1055,0
Sprössling,sprössen,VVINF,1055,0
Sprössling,sprossen,VVINF,1055,0
Steckling,steck,ADJ.,555,0
Steckling,stecken,VVINF,555,9131
Sperling,sper,ADJ.,452,0
Sperling,speren,VVINF,452,0
Sperling,spern,VVINF,452,0
Nestling,nest,ADJ.,105,0
Nestling,nesten,VVINF,105,0
Erstling,erst,ADJ.,630,632526
Erstling,ersten,VVINF,630,0
Häuptling,häupt,ADJ.,1441,0
Häuptling,haupt,ADJ.,1441,0
Häuptling,häupten,VVINF,1441,0
Häuptling,haupten,VVINF,1441,0
Keimling,keim,ADJ.,368,0
Keimling,keimen,VVINF,368,253
Profiling,profi,ADJ.,221,0
Profiling,profien,VVINF,221,0
Greifling,greif,ADJ.,32,0
Greifling,greifen,VVINF,32,8198
Häftling,häft,ADJ.,3165,0
Häftling,haft,ADJ.,3165,0
Häftling,häften,VVINF,3165,0
Häftling,haften,VVINF,3165,921
Eindringling,eindring,ADJ.,1329,0
Eindringling,eindringen,VVINF,1329,1721
Prüfling,prüf,ADJ.,1241,0
Prüfling,pruf,ADJ.,1241,0
Prüfling,prüfen,VVINF,1241,15946
Prüfling,prufen,VVINF,1241,0
Finsterling,finster,ADJ.,87,3906
Finsterling,finsteren,VVINF,87,0
Finsterling,finstern,VVINF,87,0
Frischling,frisch,ADJ.,539,49723
Frischling,frischen,VVINF,539,34
Feigling,feig,ADJ.,717,113
Feigling,feige,ADJ.,717,2367
Feigling,feigen,VVINF,717,0
Dribbling,dribb,ADJ.,451,0
Dribbling,dribben,VVINF,451,0
Peeling,pee,ADJ.,819,0
Peeling,peeen,VVINF,819,0
Sampling,samp,ADJ.,187,0
Sampling,sampen,VVINF,187,0
Silberling,silber,ADJ.,706,0
Silberling,silberen,VVINF,706,0
Silberling,silbern,VVINF,706,0
Mischling,misch,ADJ.,1391,0
Mischling,mischen,VVINF,1391,2602
Wrestling,wrest,ADJ.,900,0
Wrestling,wresten,VVINF,900,0
Führerscheinneuling,führerscheinneu,ADJ.,78,0
Führerscheinneuling,fuhrerscheinneu,ADJ.,78,0
Führerscheinneuling,führerscheinneuen,VVINF,78,0
Führerscheinneuling,fuhrerscheinneuen,VVINF,78,0
Curling,cur,ADJ.,91,0
Curling,curen,VVINF,91,0
Curling,curn,VVINF,91,0
Höfling,höf,ADJ.,269,0
Höfling,hof,ADJ.,269,0
Höfling,höfen,VVINF,269,0
Höfling,hofen,VVINF,269,0
Wildling,wild,ADJ.,69,25667
Wildling,wilden,VVINF,69,0
Riesling,ries,ADJ.,381,0
Riesling,riesen,VVINF,381,0
Günstling,günst,ADJ.,221,0
Günstling,gunst,ADJ.,221,0
Günstling,günsten,VVINF,221,0
Günstling,gunsten,VVINF,221,0
Zögling,zög,ADJ.,564,0
Zögling,zog,ADJ.,564,0
Zögling,zögen,VVINF,564,0
Zögling,zogen,VVINF,564,0
Sterling,ster,ADJ.,183,0
Sterling,steren,VVINF,183,0
Sterling,stern,VVINF,183,0
Shilling,shil,ADJ.,63,0
Shilling,shilen,VVINF,63,0
Shilling,shiln,VVINF,63,0
Sonderling,sonder,ADJ.,290,0
Sonderling,sonderen,VVINF,290,0
Sonderling,sondern,VVINF,290,175
Weichling,weich,ADJ.,45,23131
Weichling,weichen,VVINF,45,2078
Tackling,tack,ADJ.,99,0
Tackling,tacken,VVINF,99,0
Schößling,schöß,ADJ.,43,0
Schößling,schoß,ADJ.,43,0
Schößling,schößen,VVINF,43,0
Schößling,schoßen,VVINF,43,0
Reling,re,ADJ.,380,0
Reling,reen,VVINF,380,0
Erdling,erd,ADJ.,109,0
Erdling,erden,VVINF,109,362
Firmling,firm,ADJ.,158,1669
Firmling,firmen,VVINF,158,0
Bückling,bück,ADJ.,82,0
Bückling,buck,ADJ.,82,0
Bückling,bücken,VVINF,82,255
Bückling,bucken,VVINF,82,0
Naivling,naiv,ADJ.,54,6369
Naivling,naiven,VVINF,54,0
Engerling,enger,ADJ.,86,0
Engerling,engeren,VVINF,86,0
Engerling,engern,VVINF,86,0
Schreiberling,schreiber,ADJ.,731,0
Schreiberling,schreiberen,VVINF,731,0
Schreiberling,schreibern,VVINF,731,0
Billing,bil,ADJ.,343,0
Billing,bilen,VVINF,343,0
Billing,biln,VVINF,343,0
Täufling,täuf,ADJ.,198,0
Täufling,tauf,ADJ.,198,0
Täufling,täufen,VVINF,198,0
Täufling,taufen,VVINF,198,794
Schönling,schön,ADJ.,176,368159
Schönling,schon,ADJ.,176,0
Schönling,schönen,VVINF,176,0
Schönling,schonen,VVINF,176,2096
Schwächling,schwäch,ADJ.,267,0
Schwächling,schwach,ADJ.,267,37460
Schwächling,schwächen,VVINF,267,1247
Schwächling,schwachen,VVINF,267,0
Pfifferling,pfiffer,ADJ.,452,0
Pfifferling,pfifferen,VVINF,452,0
Pfifferling,pfiffern,VVINF,452,0
Ankoemmling,ankoemm,ADJ.,0,0
Ankoemmling,ankoemmen,VVINF,0,0
Fremdling,fremd,ADJ.,343,31752
Fremdling,fremden,VVINF,343,0
Drilling,dril,ADJ.,527,0
Drilling,drilen,VVINF,527,0
Drilling,driln,VVINF,527,0
Mithäftling,mithäft,ADJ.,59,0
Mithäftling,mithaft,ADJ.,59,0
Mithäftling,mithäften,VVINF,59,0
Mithäftling,mithaften,VVINF,59,15
Sämling,säm,ADJ.,1,0
Sämling,sam,ADJ.,1,0
Sämling,sämen,VVINF,1,0
Sämling,samen,VVINF,1,0
Sträfling,sträf,ADJ.,181,0
Sträfling,straf,ADJ.,181,0
Sträfling,sträfen,VVINF,181,0
Sträfling,strafen,VVINF,181,474
Ehrgeizling,ehrgeiz,ADJ.,22,0
Ehrgeizling,ehrgeizen,VVINF,22,0
Fiesling,fies,ADJ.,240,5537
Fiesling,fiesen,VVINF,240,0
Tintling,tint,ADJ.,7,0
Tintling,tinten,VVINF,7,0
Saibling,saib,ADJ.,185,0
Saibling,saiben,VVINF,185,0
Kammerling,kammer,ADJ.,2,0
Kammerling,kammeren,VVINF,2,0
Kammerling,kammern,VVINF,2,0
Haarling,haar,ADJ.,63,0
Haarling,haaren,VVINF,63,246
Haarling,haarn,VVINF,63,0
Nachkömmling,nachkömm,ADJ.,67,0
Nachkömmling,nachkomm,ADJ.,67,0
Nachkömmling,nachkömmen,VVINF,67,0
Nachkömmling,nachkommen,VVINF,67,1956
Setzling,setz,ADJ.,243,0
Setzling,setzen,VVINF,243,39193
Witzling,witz,ADJ.,9,0
Witzling,witzen,VVINF,9,0
Darling,dar,ADJ.,377,0
Darling,daren,VVINF,377,0
Darling,darn,VVINF,377,0
Pflegling,pfleg,ADJ.,244,0
Pflegling,pflegen,VVINF,244,5790
Prowrestling,prowrest,ADJ.,0,0
Prowrestling,prowresten,VVINF,0,0
Wüstling,wüst,ADJ.,57,2176
Wüstling,wust,ADJ.,57,0
Wüstling,wüsten,VVINF,57,0
Wüstling,wusten,VVINF,57,0
Pooling,poo,ADJ.,45,0
Pooling,pooen,VVINF,45,0
Quisling,quis,ADJ.,10,0
Quisling,quisen,VVINF,10,0
Stichling,stich,ADJ.,143,0
Stichling,stichen,VVINF,143,0
Weidling,weid,ADJ.,15,0
Weidling,weiden,VVINF,15,214
Mehrling,mehr,ADJ.,60,0
Mehrling,mehren,VVINF,60,381
Mehrling,mehrn,VVINF,60,0
Parasailing,parasai,ADJ.,53,0
Parasailing,parasaien,VVINF,53,0
Herling,her,ADJ.,28,0
Herling,heren,VVINF,28,0
Herling,hern,VVINF,28,0
Presslin,pres,ADJ.,0,0
Presslin,presen,VVINF,0,0
Binnenflüchtling,binnenflücht,ADJ.,34,0
Binnenflüchtling,binnenflucht,ADJ.,34,0
Binnenflüchtling,binnenflüchten,VVINF,34,0
Binnenflüchtling,binnenfluchten,VVINF,34,0
Supersampling,supersamp,ADJ.,17,0
Supersampling,supersampen,VVINF,17,0
Scheduling,schedu,ADJ.,63,0
Scheduling,scheduen,VVINF,63,0
Römling,röm,ADJ.,8,0
Römling,rom,ADJ.,8,0
Römling,römen,VVINF,8,0
Römling,romen,VVINF,8,0
Gilling,gil,ADJ.,17,0
Gilling,gilen,VVINF,17,0
Gilling,giln,VVINF,17,0
Wuestling,wuest,ADJ.,0,0
Wuestling,wuesten,VVINF,0,0
Fingerling,finger,ADJ.,47,0
Fingerling,fingeren,VVINF,47,0
Fingerling,fingern,VVINF,47,163
Ritterling,ritter,ADJ.,12,0
Ritterling,ritteren,VVINF,12,0
Ritterling,rittern,VVINF,12,0
Impfling,impf,ADJ.,39,0
Impfling,impfen,VVINF,39,1563
Däumling,däum,ADJ.,91,0
Däumling,daum,ADJ.,91,0
Däumling,däumen,VVINF,91,0
Däumling,daumen,VVINF,91,0
Fäustling,fäust,ADJ.,80,0
Fäustling,faust,ADJ.,80,0
Fäustling,fäusten,VVINF,80,0
Fäustling,fausten,VVINF,80,0
Mitscherling,mitscher,ADJ.,6,0
Mitscherling,mitscheren,VVINF,6,0
Mitscherling,mitschern,VVINF,6,0
Widerling,wider,ADJ.,69,0
Widerling,wideren,VVINF,69,0
Widerling,widern,VVINF,69,2
Steuerflüchtling,steuerflücht,ADJ.,75,0
Steuerflüchtling,steuerflucht,ADJ.,75,0
Steuerflüchtling,steuerflüchten,VVINF,75,0
Steuerflüchtling,steuerfluchten,VVINF,75,0
Perversling,pervers,ADJ.,24,2313
Perversling,perversen,VVINF,24,0
Vorfrühling,vorfrüh,ADJ.,63,0
Vorfrühling,vorfruh,ADJ.,63,0
Vorfrühling,vorfrühen,VVINF,63,0
Vorfrühling,vorfruhen,VVINF,63,0
Egerling,eger,ADJ.,4,0
Egerling,egeren,VVINF,4,0
Egerling,egern,VVINF,4,0
Speierling,speier,ADJ.,67,0
Speierling,speieren,VVINF,67,0
Speierling,speiern,VVINF,67,0
Oberhäuptling,oberhäupt,ADJ.,26,0
Oberhäuptling,oberhaupt,ADJ.,26,0
Oberhäuptling,oberhäupten,VVINF,26,0
Oberhäuptling,oberhaupten,VVINF,26,0
