lemma,unique_candidates,pos,lemma_freq,base_freq
Verzeichnis,verzeich,ADJ.,13295,0
Verzeichnis,verzeichen,VVINF,13295,0
Verzeichnis,verzeichnen,VVINF,13295,5607
Erlebnis,erleb,ADJ.,26709,0
Erlebnis,erleben,VVINF,26709,24689
Verhältnis,verhalt,ADJ.,49259,0
Verhältnis,verhalten,VVINF,49259,2620
Kenntnis,kenn,ADJ.,32825,0
Kenntnis,kennen,VVINF,32825,39629
Zugeständnis,zugesteh,ADJ.,1683,0
Zugeständnis,zugestehen,VVINF,1683,923
Vorkenntnis,vorkenn,ADJ.,2564,0
Vorkenntnis,vorkennen,VVINF,2564,0
Ergebnis,ergeb,ADJ.,72201,0
Ergebnis,ergeben,VVINF,72201,1424
Bedürfnis,bedürf,ADJ.,31794,0
Bedürfnis,bedürfen,VVINF,31794,485
Ereignis,ereig,ADJ.,35497,0
Ereignis,ereigen,VVINF,35497,0
Ereignis,ereignen,VVINF,35497,278
Verständnis,versteh,ADJ.,31866,0
Verständnis,verstehen,VVINF,31866,54668
Bildnis,bild,ADJ.,1448,0
Bildnis,bilden,VVINF,1448,9791
Erkenntnis,erkenn,ADJ.,36320,0
Erkenntnis,erkennen,VVINF,36320,58270
Erfordernis,erforder,ADJ.,3851,0
Erfordernis,erfordern,VVINF,3851,1069
Erfordernis,erforderen,VVINF,3851,0
Bündnis,bünd,ADJ.,12314,0
Bündnis,bünden,VVINF,12314,0
Erlaubnis,erlaub,ADJ.,7293,0
Erlaubnis,erlauben,VVINF,7293,4993
Geheimnis,geheim,ADJ.,18397,12441
Geheimnis,geheimen,ADJ.,18397,0
Geheimnis,geheimen,VVINF,18397,0
Zeugnis,zeug,ADJ.,11056,0
Zeugnis,zeugen,VVINF,11056,715
Zeugnis,zeugnen,VVINF,11056,0
Verdammnis,verdamm,ADJ.,512,0
Verdammnis,verdammen,VVINF,512,650
Gelöbnis,gelöb,ADJ.,282,0
Gelöbnis,gelöben,ADJ.,282,0
Gelöbnis,gelöben,VVINF,282,0
Hindernis,hinder,ADJ.,8670,0
