lemma,unique_candidates,pos,lemma_freq,base_freq
Bevölkerung,bevölkeren,VVINF,43486,0
Bevölkerung,bevölkern,VVINF,43486,178
Leistung,leisten,VVINF,110927,35252
Ausscheidung,ausscheiden,VVINF,1098,844
Bestellung,bestellen,VVINF,29032,19427
Bestellung,besteleln,VVINF,29032,0
Achtung,achten,VVINF,16318,22402
Einladung,einladen,VVINF,18458,4081
Meinung,meinen,VVINF,147420,6375
Züchtung,züchten,VVINF,1712,2278
Entwöhnung,entwöhnen,VVINF,189,50
Ausübung,ausüben,VVINF,5085,3957
Aufhebung,aufheben,VVINF,5290,1863
Befolgung,befolgen,VVINF,400,1389
Vorbildung,vorbilden,VVINF,516,0
Annäherung,annäheren,VVINF,3720,0
Annäherung,annähern,VVINF,3720,425
Erzählung,erzählen,VVINF,11764,17890
Erzählung,erzäheln,VVINF,11764,0
Lösung,lösen,VVINF,91300,20959
Besteuerung,besteueren,VVINF,2886,0
Besteuerung,besteuern,VVINF,2886,352
Verlosung,verlosen,VVINF,2470,286
Betrachtung,betrachten,VVINF,12293,10753
Überlieferung,überlieferen,VVINF,3602,0
Überlieferung,überliefern,VVINF,3602,88
Veranstaltung,veranstalten,VVINF,83260,2995
Erzeugung,erzeugen,VVINF,4157,8944
Versicherung,versicheren,VVINF,26058,0
Versicherung,versichern,VVINF,26058,3078
Versklavung,versklaven,VVINF,278,183
Nachbearbeitung,nachbearbeiten,VVINF,897,194
Verordnung,verordnen,VVINF,12106,571
Anstrengung,anstrengen,VVINF,9771,1151
Erwartung,erwarten,VVINF,20148,31090
Verfügung,verfügen,VVINF,115555,5962
Untersuchung,untersuchen,VVINF,47507,8642
Bewertung,bewerten,VVINF,32682,11072
Überlegung,überlegen,VVINF,16733,9962
Benachrichtung,benachrichten,VVINF,33,0
Sammlung,sammlen,VVINF,22483,0
Sammlung,sammeln,VVINF,22483,14229
Beschichtung,beschichten,VVINF,2322,177
Bemühung,bemühen,VVINF,9970,4050
Abstimmung,abstimmen,VVINF,13944,3419
Abdeckung,abdecken,VVINF,3566,2071
Erinnerung,erinneren,VVINF,38392,0
Erinnerung,erinnern,VVINF,38392,19944
Wiedererhebung,wiedererheben,VVINF,10,0
Geschlechtergleichstellung,geschlechtergleichstellen,VVINF,68,0
Geschlechtergleichstellung,geschlechtergleichsteleln,VVINF,68,0
Regierung,regieren,VVINF,53755,1714
Regierung,regiern,VVINF,53755,0
Erlangung,erlangen,VVINF,1423,5696
Abkürzung,abkürzen,VVINF,6638,276
Anhebung,anheben,VVINF,1866,1075
Inszenierung,inszenieren,VVINF,7346,922
Inszenierung,inszeniern,VVINF,7346,0
Wohneinrichtung,wohneinrichten,VVINF,481,0
Einrichtung,einrichten,VVINF,51250,7222
Belohnung,belohnen,VVINF,5601,975
Warnung,warnen,VVINF,7242,2264
Vermeidung,vermeiden,VVINF,5195,23656
Erfüllung,erfüllen,VVINF,10575,16840
Erfüllung,erfüleln,VVINF,10575,0
Erklärung,erklären,VVINF,35839,31779
Erklärung,erklärn,VVINF,35839,0
Steigerung,steigeren,VVINF,10192,0
Steigerung,steigern,VVINF,10192,9293
Stimmung,stimmen,VVINF,29649,8939
Begründung,begründen,VVINF,20508,5311
Orientierung,orientieren,VVINF,12250,5497
Orientierung,orientiern,VVINF,12250,0
Zunge,zuen,VVINF,7587,0
Bedingung,bedingen,VVINF,41340,216
Abschreibung,abschreiben,VVINF,1540,838
Umsetzung,umsetzen,VVINF,33346,8335
Minimierung,minimieren,VVINF,891,2380
Minimierung,minimiern,VVINF,891,0
Erkrankung,erkranken,VVINF,26461,1572
Einsparung,einsparen,VVINF,4790,2157
Einsparung,einsparn,VVINF,4790,0
Einbindung,einbinden,VVINF,5186,2796
Speicherung,speicheren,VVINF,4026,0
Speicherung,speichern,VVINF,4026,7701
Umwandlung,umwandlen,VVINF,4576,0
Umwandlung,umwandeln,VVINF,4576,1838
Entscheidung,entscheiden,VVINF,91283,37208
Spülung,spülen,VVINF,830,653
Spülung,spüeln,VVINF,830,0
Heizung,heizen,VVINF,9585,918
Rettung,retten,VVINF,6905,16556
Bestimmung,bestimmen,VVINF,25989,12634
Sprung,spren,VVINF,13198,0
Sprung,sprn,VVINF,13198,0
Planung,planen,VVINF,33391,7647
Einstellung,einstellen,VVINF,46821,17550
Einstellung,einsteleln,VVINF,46821,0
Störung,stören,VVINF,16669,6387
Störung,störn,VVINF,16669,0
Reservierung,reservieren,VVINF,2635,1723
Reservierung,reserviern,VVINF,2635,0
Entwicklung,entwicklen,VVINF,133946,0
Entwicklung,entwickeln,VVINF,133946,29926
Ahnung,ahnen,VVINF,36452,2418
Erstattung,erstatten,VVINF,3173,2702
Auszeichnung,auszeichnen,VVINF,12098,962
Aktivierung,aktivieren,VVINF,3718,7038
Aktivierung,aktiviern,VVINF,3718,0
Reinigung,reinigen,VVINF,7946,4155
Herausforderung,herausforderen,VVINF,33174,0
Herausforderung,herausfordern,VVINF,33174,531
Gruppierung,gruppieren,VVINF,4474,280
Gruppierung,gruppiern,VVINF,4474,0
Ordnung,ordnen,VVINF,41828,1583
Veröffentlichung,veröffentlichen,VVINF,26740,10449
Wechselwirkung,wechselwirken,VVINF,4085,0
Gestaltung,gestalten,VVINF,28625,24679
Verbesserung,verbesseren,VVINF,28925,0
Verbesserung,verbessern,VVINF,28925,23581
Erfahrung,erfahren,VVINF,150016,13641
Erfahrung,erfahrn,VVINF,150016,0
Anpassung,anpassen,VVINF,12086,8441
Verlängerung,verlängeren,VVINF,9331,0
Verlängerung,verlängern,VVINF,9331,4087
Zertifizierung,zertifizieren,VVINF,3510,0
Zertifizierung,zertifiziern,VVINF,3510,0
Beratung,beraten,VVINF,42577,8276
Behandlung,behandlen,VVINF,46120,0
Behandlung,behandeln,VVINF,46120,10284
Wohnung,wohnen,VVINF,58224,5191
Umgebung,umgeben,VVINF,43037,202
Legung,legen,VVINF,102,20680
Erleichterung,erleichteren,VVINF,4732,0
Erleichterung,erleichtern,VVINF,4732,6683
Darstellung,darstellen,VVINF,35095,13764
Darstellung,darsteleln,VVINF,35095,0
Richtung,richten,VVINF,100430,7760
Berufung,berufen,VVINF,10648,1685
Beantwortung,beantworten,VVINF,3970,18612
Verbindung,verbinden,VVINF,70086,9616
Änderung,änderen,VVINF,46760,0
Änderung,ändern,VVINF,46760,42329
Unterstützung,unterstützen,VVINF,66106,29760
Verformung,verformen,VVINF,803,231
Bewegung,bewegen,VVINF,54520,19744
