lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Zivilcourage,,zivilcourieren,VVINF,17111,0,1,,,,Courage
Fussreflexzonenmassage,,fussreflexzonenmassieren,VVINF,22,0,1,,,,Massage
Demontage,,demontieren,VVINF,1305,536,1,,,,Montage
Photomontage,,photomontieren,VVINF,33,0,1,,,,Montage
Abmontage,,abmontieren,VVINF,4,140,1,,,,Montage
Fotomontage,,fotomontieren,VVINF,426,0,1,,,,Montage
Sportreportage,,sportreportieren,VVINF,20,0,1,,,,Reportage
Reportage,,reportieren,VVINF,4251,0,1,1,,,
Montage,,montieren,VVINF,8477,2565,1,1,,,
Massage,,massieren,VVINF,6364,536,1,1,,,
Courage,,courieren,VVINF,1370,0,1,1,,,
Sabotage,,sabotieren,VVINF,710,275,1,1,,,
Adorage,,adorieren,VVINF,4,0,1,1,,,
Takelage,,takelieren,VVINF,129,0,1,1,,,
Apanage,,apanieren,VVINF,29,0,1,1,,,
Aussage,,aussieren,VVINF,62530,0,1,1,,,
Average,,averieren,VVINF,237,0,1,1,,,
Emballage,,emballieren,VVINF,3,0,1,1,,,
Bandage,,bandieren,VVINF,857,0,1,1,,,
Arbitrage,,arbitrieren,VVINF,73,0,1,1,,,
Blamage,,blamieren,VVINF,608,496,1,1,,,
Collage,,collieren,VVINF,1982,0,1,1,,,
Dränage,,dränieren,VVINF,44,0,1,1,,,
Eremitage,,eremitieren,VVINF,203,0,1,1,,,
Tiefgarage,,tiefgarieren,VVINF,1729,0,1,1,,,
Garage,,garieren,VVINF,7915,0,1,1,,,
Gerage,,gerieren,VVINF,5,53,1,1,,,
Thermage,,thermieren,VVINF,13,0,1,1,,,
Homage,,homieren,VVINF,103,0,1,1,,,
Hommage,,hommieren,VVINF,1724,0,1,1,,,
Nichttrage,,nichttrieren,VVINF,21,0,1,1,,,
Trikotage,,trikotieren,VVINF,11,0,1,1,,,
Filtrage,,filtrieren,VVINF,0,28,1,1,,,
Korsage,,korsieren,VVINF,51,0,1,1,,,
Plantage,,plantieren,VVINF,1049,0,1,1,,,
Leckage,,leckieren,VVINF,378,0,1,1,,,
Manage,,manieren,VVINF,0,0,1,1,,,
Karambolage,,karambolieren,VVINF,84,0,1,1,,,
Menage,,menieren,VVINF,32,0,1,1,,,
Message,,messieren,VVINF,2446,0,1,1,,,
Mutage,,mutieren,VVINF,6,455,1,1,,,
Vernissage,,vernissieren,VVINF,1258,0,1,1,,,
Autogarage,,autogarieren,VVINF,32,0,1,1,,,
Kollagen,,kollaieren,VVINF,26,0,1,1,,,
Camouflage,,camouflieren,VVINF,257,0,1,1,,,
Courtage,,courtieren,VVINF,173,0,1,1,,,
Passage,,passieren,VVINF,7012,24548,1,1,,,
Spionage,,spionieren,VVINF,855,114,1,1,,,
Kolportage,,kolportieren,VVINF,58,15,1,1,,,
Equipage,,equipieren,VVINF,59,0,1,1,,,
Drainage,,drainieren,VVINF,504,0,1,1,,,
Ermitage,,ermitieren,VVINF,34,0,1,1,,,
Rotage,,rotieren,VVINF,1,485,1,1,,,
Frottage,,frottieren,VVINF,24,0,1,1,,,
Libertinage,,libertinieren,VVINF,20,0,1,1,,,
Kartonage,,kartonieren,VVINF,533,0,1,1,,,
Persiflage,,persiflieren,VVINF,297,67,1,1,,,
Silage,,silieren,VVINF,314,0,1,1,,,
Staffage,,staffieren,VVINF,155,0,1,1,,,
Tonnage,,tonnieren,VVINF,135,0,1,1,,,
Entourage,,entourieren,VVINF,189,0,1,1,,,
Patronage,,patronieren,VVINF,45,0,1,1,,,
Avantage,,avantieren,VVINF,6,0,1,1,,,
Advantage,,advantieren,VVINF,370,0,1,1,,,
Virage,,virieren,VVINF,23,0,1,1,,,
Visage,,visieren,VVINF,226,10,1,1,,,
Zitage,,zitieren,VVINF,0,2757,1,1,,,
Absage,,absieren,VVINF,4756,0,0,,,,
Abfrage,,abfrieren,VVINF,2486,31,0,,,,
Ablage,,ablieren,VVINF,1641,0,0,,,,
absagen,,absaieren,VVINF,0,0,0,,,,
Nachrage,,nachrieren,VVINF,3,0,0,,,,
Auftragslage,,auftragslieren,VVINF,529,0,0,,,,
Voranfrage,,voranfrieren,VVINF,46,0,0,,,,
Anfrage,,anfrieren,VVINF,29831,17,0,,,,
Suchanfrage,,suchanfrieren,VVINF,2133,0,0,,,,
Anklage,,anklieren,VVINF,3932,0,0,,,,
Anlage,,anlieren,VVINF,58428,0,0,,,,
Ansage,,ansieren,VVINF,3252,0,0,,,,
ansagen,,ansaieren,VVINF,0,0,0,,,,
Auflage,,auflieren,VVINF,36617,0,0,,,,
Auslage,,auslieren,VVINF,1894,0,0,,,,
Hauptaussage,,hauptaussieren,VVINF,92,0,0,,,,
Voraussage,,voraussieren,VVINF,645,0,0,,,,
Koalitionsaussage,,koalitionsaussieren,VVINF,70,0,0,,,,
Bagage,,bagieren,VVINF,88,0,0,,,,
Beilage,,beilieren,VVINF,3049,0,0,,,,
abfragen,,abfraieren,VVINF,0,0,0,,,,
Nachfrage,,nachfrieren,VVINF,21989,0,0,,,,
Binnennachfrage,,binnennachfrieren,VVINF,361,0,0,,,,
durchsagen,,durchsaieren,VVINF,0,0,0,,,,
Rückfrage,,rückfrieren,VVINF,3278,0,0,,,,
Bandansage,,bandansieren,VVINF,61,0,0,,,,
Niederlage,,niederlieren,VVINF,21532,0,0,,,,
Saisonniederlage,,saisonniederlieren,VVINF,312,0,0,,,,
e,,ieren,VVINF,0,0,0,,,,
Verladeanlage,,verladeanlieren,VVINF,32,0,0,,,,
Chefetage,,chefetieren,VVINF,540,0,0,,,,
Einlage,,einlieren,VVINF,3729,0,0,,,,
Gesangseinlage,,gesangseinlieren,VVINF,208,0,0,,,,
Beletage,,beletieren,VVINF,77,0,0,,,,
Zwischenetage,,zwischenetieren,VVINF,17,0,0,,,,
Gegenfrage,,gegenfrieren,VVINF,1067,0,0,,,,
Nebenfrage,,nebenfrieren,VVINF,58,0,0,,,,
Zwischenfrage,,zwischenfrieren,VVINF,540,0,0,,,,
Geophage,,geophieren,VVINF,1,0,0,,,,
Hinterfrage,,hinterfrieren,VVINF,399,0,0,,,,
Widerklage,,widerklieren,VVINF,263,0,0,,,,
Wasserwaage,,wasserwaieren,VVINF,294,0,0,,,,
Etage,,etieren,VVINF,6990,0,0,,,,
Fanpage,,fanpieren,VVINF,814,0,0,,,,
Frage,,frieren,VVINF,402032,665,0,,,,
Wirtschaftslage,,wirtschaftslieren,VVINF,681,0,0,,,,
Gage,,gieren,VVINF,1013,42,0,,,,
Gejage,,gejieren,VVINF,15,0,0,,,,
Gelage,,gelieren,VVINF,242,0,0,,,,
Führungsetage,,führungsetieren,VVINF,341,0,0,,,,
Prüfungsfrage,,prüfungsfrieren,VVINF,335,0,0,,,,
Beziehungsfrage,,beziehungsfrieren,VVINF,36,0,0,,,,
Anfangsfrage,,anfangsfrieren,VVINF,48,0,0,,,,
Führungsfrage,,führungsfrieren,VVINF,40,0,0,,,,
Feststellungsklage,,feststellungsklieren,VVINF,300,0,0,,,,
Vorhersage,,vorhersieren,VVINF,2592,0,0,,,,
Holage,,holieren,VVINF,0,0,0,,,,
Image,,imieren,VVINF,11488,0,0,,,,
Einfrage,,einfrieren,VVINF,0,686,0,,,,
Verständnisfrage,,verständnisfrieren,VVINF,238,0,0,,,,
Preisfrage,,preisfrieren,VVINF,454,0,0,,,,
Quizfrage,,quizfrieren,VVINF,1975,0,0,,,,
Klage,,klieren,VVINF,17347,0,0,,,,
Lage,,lieren,VVINF,79487,0,0,,,,
Goldwaage,,goldwaieren,VVINF,330,0,0,,,,
Umweltfrage,,umweltfrieren,VVINF,369,0,0,,,,
Montag,,monieren,VVINF,48940,80,0,,,,
Telefonanlage,,telefonanlieren,VVINF,910,0,0,,,,
