lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Altarssakrament,,altarssakrieren,VVINF,14,0,1,,,,Sakrament
Filament,,filieren,VVINF,125,0,1,1,,,
Firmament,,firmieren,VVINF,406,67,1,1,,,
Fundament,,fundieren,VVINF,6638,80,1,1,,,
Gemeindeparlament,,gemeindeparlieren,VVINF,85,0,1,,,,Parlament
Malariamedikament,,malariamedikieren,VVINF,17,0,1,,,,
Malariamedikament,,malariamedizieren,VVINF,17,0,1,,,,Medikament
Medikament,,medizieren,VVINF,25280,0,1,1,,,
Medikament,,medikieren,VVINF,25280,0,1,,,,
Notfallmedikament,,notfallmedizieren,VVINF,80,0,1,,,,Medikament
Notfallmedikament,,notfallmedikieren,VVINF,80,0,1,,,,
Ornament,,ornieren,VVINF,1124,0,1,1,,,
Parlament,,parlieren,VVINF,16971,0,1,1,,,
Pergament,,pergieren,VVINF,650,0,1,1,,,
Sakrament,,sakrieren,VVINF,2074,0,1,1,,,
Stadtparlament,,stadtparlieren,VVINF,447,0,1,,,,Parlament
Streifenfundament,,streifenfundieren,VVINF,46,0,1,,,,Fundament
Temperament,,temperieren,VVINF,1839,0,1,1,,,
Testament,,testieren,VVINF,8502,24,1,1,,,
Ursakrament,,ursakrieren,VVINF,4,0,1,,,,Sakrament
Vorparlament,,vorparlieren,VVINF,17,0,1,,,,Parlament
