lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Autoattendant,,autoattendieren,VVINF,0,0,1,,,,Attendant
Gegendemonstrant,,gegendemonstrieren,VVINF,254,0,1,,,,Demonstrant
Mitdemonstrant,,mitdemonstrieren,VVINF,15,5,1,,,,Demonstrant
Mitdiskutant,,mitdiskutieren,VVINF,60,367,1,,,,Diskutant
Desinformant,,desinformieren,VVINF,9,0,1,,,,Informant
Superinformant,,superinformieren,VVINF,0,0,1,,,,Informant
Superintendant,,superintendieren,VVINF,5,0,1,,,,Intendant
Nichtkombattant,,nichtkombattieren,VVINF,26,0,1,,,,Kombattant
Erstkommandant,,erstkommandieren,VVINF,0,0,1,,,,Kommandant
Oberkommandant,,oberkommandieren,VVINF,13,0,1,,,,Kommandant
Kommödiant,,kommödiieren,VVINF,1,0,1,,,,Komödiant
Oberleutnant,,oberleutnieren,VVINF,396,0,1,,,,Leutnant
Oberstleutnant,,oberstleutnieren,VVINF,598,0,1,,,,Leutnant
Unterleutnant,,unterleutnieren,VVINF,29,0,1,,,,Leutnant
Vizeleutnant,,vizeleutnieren,VVINF,9,0,1,,,,Leutnant
Drittlieferant,,drittlieferieren,VVINF,1,0,1,,drittliefern,VVINF,Lieferant
Unterlieferant,,unterlieferieren,VVINF,32,0,1,,unterliefern,VVINF,Lieferant
Vorlieferant,,vorlieferieren,VVINF,142,0,1,,vorliefern,VVINF,Lieferant
Erstmigrant,,erstmigrieren,VVINF,0,0,1,,,,Migrant
Nichtmigrant,,nichtmigrieren,VVINF,8,0,1,,,,Migrant
Remigrant,,remigrieren,VVINF,19,0,1,,,,Migrant
Transmigrant,,transmigrieren,VVINF,20,0,1,,,,Migrant
Oberministrant,,oberministrieren,VVINF,18,0,1,,,,Ministrant
Schwarzwaldmusikant,,schwarzwaldmusikieren,VVINF,0,0,1,,schwarzwaldmusizieren,VVINF,Musikant
Stadtmusikant,,stadtmusikieren,VVINF,228,0,1,,stadtmusizieren,VVINF,Musikant
Strassenmusikant,,strassenmusikieren,VVINF,5,0,1,,strassenmusizieren,VVINF,Musikant
Vormusikant,,vormusikieren,VVINF,0,0,1,,vormusizieren,VVINF,Musikant
Einzelmutant,,einzelmutieren,VVINF,2,0,1,,,,Mutant
Nullmutant,,nullmutieren,VVINF,1,0,1,,,,Mutant
Supermutant,,supermutieren,VVINF,15,0,1,,,,Mutant
Mitpraktikant,,mitpraktikieren,VVINF,0,0,1,,,,Praktikant
Vorpraktikant,,vorpraktikieren,VVINF,5,0,1,,,,Praktikant
Obersimulant,,obersimulieren,VVINF,0,0,1,,,,Simulant
Währungsspekulant,,währungsspekulieren,VVINF,7,0,1,,,,Spekulant
Antitranspirant,,antitranspirieren,VVINF,40,0,1,,,,Transpirant
Kovariant,,kovariieren,VVINF,0,0,1,,,,Variant
Nebenvariant,,nebenvariieren,VVINF,24,0,1,,,,Variant
Konzelebrant,,konzelebrieren,VVINF,46,0,1,,,,Zelebrant
Mitzelebrant,,mitzelebrieren,VVINF,7,0,1,,,,Zelebrant
Rekombinant,,rekombinieren,VVINF,9,0,1,1,,,
Mitkonfirmant,,mitkonfirmieren,VVINF,0,0,1,1,,,
Applikant,,applikieren,VVINF,3,0,1,,applizieren,VVINF,
Fabrikant,,fabrikieren,VVINF,567,0,1,,fabrizieren,VVINF,
Garant,,garieren,VVINF,2737,0,1,,garantieren,VVINF,
Lieferant,,lieferieren,VVINF,7717,0,1,,liefern,VVINF,
Musikant,,musikieren,VVINF,918,0,1,,musizieren,VVINF,
mutant,Mutant,mutieren,VVINF,297,455,1,1,,,
Praktikant,,praktikieren,VVINF,2837,0,1,,praktizieren,VVINF,
Qualifikant,,qualifikieren,VVINF,95,0,1,,qualifizieren,VVINF,
Adjutant,,adjutieren,VVINF,420,0,1,1,,,
Adoptant,,adoptieren,VVINF,11,598,1,1,,,
Appellant,,appellieren,VVINF,14,398,1,1,,,
Approximant,,approximieren,VVINF,5,0,1,1,,,
Arrestant,,arrestieren,VVINF,27,0,1,1,,,
Aspirant,,aspirieren,VVINF,238,0,1,1,,,
Assimilant,,assimilieren,VVINF,4,165,1,1,,,
Asylant,,asylieren,VVINF,60,0,1,1,,,
Attendant,,attendieren,VVINF,22,0,1,1,,,
Bummelant,,bummelieren,VVINF,7,0,1,1,,,
Chemikant,,chemikieren,VVINF,58,0,1,1,,,
Consultant,,consultieren,VVINF,1405,0,1,1,,,
Delegant,,delegieren,VVINF,0,425,1,1,,,
Demonstrant,,demonstrieren,VVINF,4564,2758,1,1,,,
Denunziant,,denunziieren,VVINF,207,0,1,1,,,
Deodorant,,deodorieren,VVINF,102,0,1,1,,,
Determinant,,determinieren,VVINF,0,26,1,1,,,
Dilettant,,dilettieren,VVINF,246,0,1,1,,,
Diskutant,,diskutieren,VVINF,383,14332,1,1,,,
Disputant,,disputieren,VVINF,14,28,1,1,,,
Diversant,,diversieren,VVINF,1,0,1,1,,,
Duellant,,duellieren,VVINF,63,141,1,1,,,
Emigrant,,emigrieren,VVINF,733,198,1,1,,,
Exekutant,,exekutieren,VVINF,1,80,1,1,,,
Exfoliant,,exfoliieren,VVINF,1,0,1,1,,,
Exilant,,exilieren,VVINF,28,0,1,1,,,
Exponant,,exponieren,VVINF,6,48,1,1,,,
Exulant,,exulieren,VVINF,30,0,1,1,,,
Famulant,,famulieren,VVINF,46,0,1,1,,,
Figurant,,figurieren,VVINF,50,15,1,1,,,
Flagellant,,flagellieren,VVINF,46,0,1,1,,,
Foliant,,foliieren,VVINF,111,0,1,1,,,
Geomant,,geomieren,VVINF,26,0,1,1,,,
Gratulant,,gratulieren,VVINF,547,1840,1,1,,,
Habilitant,,habilitieren,VVINF,2,43,1,1,,,
Hierophant,,hierophieren,VVINF,37,0,1,1,,,
Hospitant,,hospitieren,VVINF,52,89,1,1,,,
Hydrant,,hydrieren,VVINF,322,0,1,1,,,
Illuminant,,illuminieren,VVINF,0,25,1,1,,,
Immigrant,,immigrieren,VVINF,732,10,1,1,,,
Implantant,,implantieren,VVINF,19,168,1,1,,,
Informant,,informieren,VVINF,1158,24385,1,1,,,
Initiant,,initiieren,VVINF,185,903,1,1,,,
