lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Nichtakzeptanz,,nichtakzeptieren,VVINF,28,0,1,,,,Akzeptanz
Selbstakzeptanz,,selbstakzeptieren,VVINF,117,0,1,,,,Akzeptanz
Wissenschaftsallianz,,wissenschaftsalliieren,VVINF,14,0,1,,,,Allianz
Rebellenallianz,,rebellenalliieren,VVINF,19,0,1,,,,Allianz
Auswärtsbilanz,,auswärtsbilieren,VVINF,62,0,1,,,,Bilanz
Unterbilanz,,unterbilieren,VVINF,17,0,1,,,,Bilanz
Zwischenbilanz,,zwischenbilieren,VVINF,838,0,1,,,,Bilanz
Negativbilanz,,negativbilieren,VVINF,16,0,1,,,,Bilanz
Binnenbilanz,,binnenbilieren,VVINF,0,0,1,,,,Bilanz
Binnendistanz,,binnendistieren,VVINF,0,0,1,,,,Distanz
Ultradistanz,,ultradistieren,VVINF,6,0,1,,,,Distanz
Nebendistanz,,nebendistieren,VVINF,0,0,1,,,,Distanz
Mitteldistanz,,mitteldistieren,VVINF,181,0,1,,,,Distanz
Unterdistanz,,unterdistieren,VVINF,15,0,1,,,,Distanz
Maximaldistanz,,maximaldistieren,VVINF,4,0,1,,,,Distanz
Superdominanz,,superdominieren,VVINF,0,0,1,,,,Dominanz
Bonnfinanz,,bonnfinieren,VVINF,8,0,1,,,,Finanz
Kommunalfinanz,,kommunalfinieren,VVINF,150,0,1,,,,Finanz
Hochfinanz,,hochfinieren,VVINF,177,0,1,,,,Finanz
Interfinanz,,interfinieren,VVINF,0,0,1,,,,Finanz
Nichtignoranz,,nichtignorieren,VVINF,0,0,1,,,,Ignoranz
Vorinstanz,,vorinstieren,VVINF,3087,0,1,,,,Instanz
Kontrollinstanz,,kontrollinstieren,VVINF,255,0,1,,,,Instanz
Unterinstanz,,unterinstieren,VVINF,1,0,1,,,,Instanz
Multiinstanz,,multiinstieren,VVINF,14,0,1,,,,Instanz
Oberinstanz,,oberinstieren,VVINF,2,0,1,,,,Instanz
Erstinstanz,,erstinstieren,VVINF,15,0,1,,,,Instanz
Unterrepräsentanz,,unterrepräsentieren,VVINF,51,0,1,,,,Repräsentanz
Bioresonanz,,bioresonieren,VVINF,225,0,1,,,,Resonanz
Ursubstanz,,ursubstieren,VVINF,41,0,1,,,,Substanz
Bausubstanz,,bausubstieren,VVINF,1435,0,1,,,,Substanz
Altbausubstanz,,altbausubstieren,VVINF,55,0,1,,,,Substanz
Erstsubstanz,,erstsubstieren,VVINF,1,0,1,,,,Substanz
Kontravarianz,,kontravariieren,VVINF,0,0,1,,,,Varianz
Hypervigilanz,,hypervigilieren,VVINF,9,0,1,,,,Vigilanz
Signifikanz,,signifikieren,VVINF,306,0,1,,signifizieren,VVINF,
Extravaganz,,extravagieren,VVINF,241,0,1,1.0,,,
Vakanz,,vakieren,VVINF,280,0,1,1.0,,,
Addanz,,addieren,VVINF,0,450,1,1.0,,,
Eleganz,,elegieren,VVINF,3161,0,1,1.0,,,
Bilanz,,bilieren,VVINF,10433,0,1,1.0,,,
Allianz,,alliieren,VVINF,7206,0,1,1.0,,,
Brillanz,,brillieren,VVINF,553,152,1,1.0,,,
Intendanz,,intendieren,VVINF,177,31,1,1.0,,,
Redundanz,,redundieren,VVINF,622,0,1,1.0,,,
Abundanz,,abundieren,VVINF,29,0,1,1.0,,,
Arroganz,,arrogieren,VVINF,2332,0,1,1.0,,,
Konkordanz,,konkordieren,VVINF,194,0,1,1.0,,,
Diskordanz,,diskordieren,VVINF,10,0,1,1.0,,,
Varianz,,variieren,VVINF,455,1935,1,1.0,,,
Markanz,,markieren,VVINF,13,2480,1,1.0,,,
Ambulanz,,ambulieren,VVINF,1046,0,1,1.0,,,
Kulanz,,kulieren,VVINF,1020,0,1,1.0,,,
Devianz,,deviieren,VVINF,67,0,1,1.0,,,
Diskrepanz,,diskrepieren,VVINF,1577,0,1,1.0,,,
Toleranz,,tolerieren,VVINF,15546,964,1,1.0,,,
Intoleranz,,intolerieren,VVINF,1234,0,1,1.0,,,
Protuberanz,,protuberieren,VVINF,78,0,1,1.0,,,
Relevanz,,relevieren,VVINF,4942,0,1,1.0,,,
Irrelevanz,,irrelevieren,VVINF,85,0,1,1.0,,,
Prägnanz,,prägnieren,VVINF,183,0,1,1.0,,,
Vigilanz,,vigilieren,VVINF,22,0,1,1.0,,,
Dominanz,,dominieren,VVINF,2322,831,1,1.0,,,
Finanz,,finieren,VVINF,10722,0,1,1.0,,,
Determinanz,,determinieren,VVINF,0,26,1,1.0,,,
Brisanz,,brisieren,VVINF,1029,0,1,1.0,,,
Militanz,,militieren,VVINF,120,0,1,1.0,,,
Hospitanz,,hospitieren,VVINF,55,89,1,1.0,,,
Ordonnanz,,ordonnieren,VVINF,43,0,1,1.0,,,
Repräsentanz,,repräsentieren,VVINF,474,806,1,1.0,,,
Resonanz,,resonieren,VVINF,7096,0,1,1.0,,,
Dissonanz,,dissonieren,VVINF,454,0,1,1.0,,,
Assonanz,,assonieren,VVINF,38,0,1,1.0,,,
Konsonanz,,konsonieren,VVINF,57,0,1,1.0,,,
Ignoranz,,ignorieren,VVINF,2265,4325,1,1.0,,,
Larmoyanz,,larmoyieren,VVINF,63,0,1,1.0,,,
Akzeptanz,,akzeptieren,VVINF,7866,10183,1,1.0,,,
Performanz,,performieren,VVINF,259,0,1,1.0,,,
Alternanz,,alternieren,VVINF,7,10,1,1.0,,,
Observanz,,observieren,VVINF,60,58,1,1.0,,,
Substanz,,substieren,VVINF,13852,0,1,1.0,,,
Instanz,,instieren,VVINF,7746,0,1,1.0,,,
Distanz,,distieren,VVINF,11237,0,1,1.0,,,
Konstanz,,konstieren,VVINF,910,0,1,1.0,,,
Monstranz,,monstrieren,VVINF,158,0,1,1.0,,,
Penetranz,,penetrieren,VVINF,117,66,1,1.0,,,
Stimulanz,,stimulieren,VVINF,75,483,1,1.0,,,
Assekuranz,,assekurieren,VVINF,242,0,1,1.0,,,
Transparanz,,transparieren,VVINF,8,0,0,,,,
Rasanz,,rasieren,VVINF,119,532,0,,,,
Kontratanz,,kontratieren,VVINF,1,0,0,,,,
Subtanz,,subtieren,VVINF,2,0,0,,,,
Mummenschanz,,mummenschieren,VVINF,64,0,0,,,,
Firlefanz,,firlefieren,VVINF,361,0,0,,,,
Folkloretanz,,folkloretieren,VVINF,31,0,0,,,,
Auftanz,,auftieren,VVINF,6,0,0,,,,
Glanz,,glieren,VVINF,6156,0,0,,,,
Hochglanz,,hochglieren,VVINF,730,0,0,,,,
Abglanz,,abglieren,VVINF,158,0,0,,,,
Ewigkeitsglanz,,ewigkeitsglieren,VVINF,0,0,0,,,,
Nachglanz,,nachglieren,VVINF,3,0,0,,,,
Bauchtanz,,bauchtieren,VVINF,430,0,0,,,,
Schwanz,,schwieren,VVINF,5251,0,0,,,,
Pferdeschwanz,,pferdeschwieren,VVINF,396,0,0,,,,
Ringelschwanz,,ringelschwieren,VVINF,16,0,0,,,,
Rattenschwanz,,rattenschwieren,VVINF,198,0,0,,,,
Stummelschwanz,,stummelschwieren,VVINF,23,0,0,,,,
Kranz,,krieren,VVINF,1596,0,0,,,,
Rollstuhltanz,,rollstuhltieren,VVINF,7,0,0,,,,
Affentanz,,affentieren,VVINF,28,0,0,,,,
Maskentanz,,maskentieren,VVINF,23,0,0,,,,
Freudentanz,,freudentieren,VVINF,127,0,0,,,,
Narrentanz,,narrentieren,VVINF,2,0,0,,,,
Hexentanz,,hexentieren,VVINF,51,0,0,,,,
Scherbentanz,,scherbentieren,VVINF,4,0,0,,,,
Straßentanz,,straßentieren,VVINF,3,0,0,,,,
Totentanz,,totentieren,VVINF,283,0,0,,,,
Popanz,,popieren,VVINF,121,0,0,,,,
Stepptanz,,stepptieren,VVINF,66,0,0,,,,
Steptanz,,steptieren,VVINF,35,0,0,,,,
Urtanz,,urtieren,VVINF,0,0,0,,,,
Turniertanz,,turniertieren,VVINF,37,0,0,,,,
Veitstanz,,veitstieren,VVINF,48,0,0,,,,
Christanz,,christieren,VVINF,2,0,0,,,,
Ausdruckstanz,,ausdruckstieren,VVINF,93,0,0,,,,
Taenz,,taieren,VVINF,0,0,0,,,,
Tanz,,tieren,VVINF,14314,0,0,,,,
Stanze,,staieren,VVINF,302,0,0,,,,
Halbfranz,,halbfrieren,VVINF,16,0,0,,,,
Eichenkranz,,eichenkrieren,VVINF,38,0,0,,,,
Rosenkranz,,rosenkrieren,VVINF,892,0,0,,,,
Mauerkranz,,mauerkrieren,VVINF,8,0,0,,,,
Katzengoldsternenkranz,,katzengoldsternenkrieren,VVINF,0,0,0,,,,
Blumenkranz,,blumenkrieren,VVINF,76,0,0,,,,
