lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Aberration,,aberrieren,VVINF,209,0,1,1.0,,,
Ablation,,ablieren,VVINF,61,0,1,1.0,,,
Adaptation,,adaptieren,VVINF,260,273,1,1.0,,,
Administration,,administrieren,VVINF,4509,183,1,1.0,,,
Affiliation,,affiliieren,VVINF,11,0,1,1.0,,,
Affirmation,,affirmieren,VVINF,462,11,1,1.0,,,
Agglomeration,,agglomerieren,VVINF,301,0,1,1.0,,,
Agglutination,,agglutinieren,VVINF,16,0,1,1.0,,,
Aggregation,,aggregieren,VVINF,200,0,1,1.0,,,
Agitation,,agitieren,VVINF,560,57,1,1.0,,,
Akklamation,,akklamieren,VVINF,161,2,1,1.0,,,
Akkulturation,,akkulturieren,VVINF,59,0,1,1.0,,,
Akkumulation,,akkumulieren,VVINF,492,63,1,1.0,,,
Akzeleration,,akzelerieren,VVINF,28,0,1,1.0,,,
Alienation,,alienieren,VVINF,31,0,1,1.0,,,
Alliteration,,alliterieren,VVINF,108,1,1,1.0,,,
Allokation,,allokieren,VVINF,221,0,1,,allozieren,VVINF,
Alteration,,alterieren,VVINF,46,0,1,1.0,,,
Amortisation,,amortisieren,VVINF,180,165,1,1.0,,,
Amplifikation,,amplifikieren,VVINF,46,0,1,,amplifizieren,VVINF,
Amputation,,amputieren,VVINF,668,132,1,1.0,,,
Animation,,animieren,VVINF,5998,1270,1,1.0,,,
Anmoderation,,anmoderieren,VVINF,145,8,1,1.0,,,
Annotation,,annotieren,VVINF,163,0,1,1.0,,,
Antizipation,,antizipieren,VVINF,169,149,1,1.0,,,
Appellation,,appellieren,VVINF,226,398,1,1.0,,,
Application,,applicieren,VVINF,1321,0,0,,,,
Applikation,,applikieren,VVINF,6211,0,1,,applizieren,VVINF,
Approbation,,approbieren,VVINF,477,0,1,1.0,,,
Approximation,,approximieren,VVINF,118,0,1,1.0,,,
Argumentation,,argumentieren,VVINF,7556,2118,1,1.0,,,
Artikulation,,artikulieren,VVINF,556,777,1,1.0,,,
Aspiration,,aspirieren,VVINF,127,0,1,1.0,,,
Assimilation,,assimilieren,VVINF,517,165,1,1.0,,,
Assoziation,,assoziieren,VVINF,3197,208,1,1.0,,,
Augmentation,,augmentieren,VVINF,82,0,1,1.0,,,
Authentifikation,,authentifikieren,VVINF,58,0,1,,authentifizieren,VVINF,
Automation,,automieren,VVINF,1149,0,1,1.0,,,
Basketballnation,,basketballnieren,VVINF,1,0,1,,,,Nation
Bifurkation,,bifurkieren,VVINF,44,0,1,1.0,,,
