lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Administrator,,administrieren,VVINF,4574,183,1,1.0,,,
Affirmator,,affirmieren,VVINF,0,11,1,1.0,,,
Aggregator,,aggregieren,VVINF,149,0,1,1.0,,,
Agitator,,agitieren,VVINF,171,57,1,1.0,,,
Akkumulator,,akkumulieren,VVINF,328,63,1,1.0,,,
Akzelerator,,akzelerieren,VVINF,2,0,1,1.0,,,
Alligator,,alligieren,VVINF,356,0,0,,,,
Alternator,,alternieren,VVINF,4,10,1,1.0,,,
Analysator,,analysieren,VVINF,138,4737,1,1.0,,,
Animator,,animieren,VVINF,151,1270,1,1.0,,,
Applikator,,applizieren,VVINF,117,73,1,1.0,,,
Applikator,,applikieren,VVINF,117,0,1,,,,
Äquator,,äquieren,VVINF,1006,0,1,1.0,,,
Arbitrator,,arbitrieren,VVINF,4,0,1,1.0,,,
Argumentator,,argumentieren,VVINF,0,2118,1,1.0,,,
Artikulator,,artikulieren,VVINF,30,777,1,1.0,,,
Assimilator,,assimilieren,VVINF,6,165,1,1.0,,,
Assoziator,,assoziieren,VVINF,4,208,1,1.0,,,
Atomisator,,atomisieren,VVINF,1,17,1,1.0,,,
Auktionator,,auktionieren,VVINF,191,0,1,1.0,,,
Belademanipulator,,belademanipulieren,VVINF,0,0,1,,,,Manipulator
Clipgenerator,,clipgenerieren,VVINF,7,0,1,,,,Generator
Defibrillator,,defibrillieren,VVINF,336,0,1,1.0,,,
Deflator,,deflieren,VVINF,10,0,1,1.0,,,
Deformator,,deformieren,VVINF,22,39,1,1.0,,,
Degustator,,degustieren,VVINF,2,0,1,1.0,,,
Dehydrator,,dehydrieren,VVINF,18,0,1,1.0,,,
Deklamator,,deklamieren,VVINF,6,22,1,1.0,,,
Dekontaminator,,dekontaminieren,VVINF,0,18,1,1.0,,,
Delegator,,delegieren,VVINF,59,425,1,1.0,,,
Demolator,,demolieren,VVINF,0,89,1,1.0,,,
Demonstrator,,demonstrieren,VVINF,127,2758,1,1.0,,,
Demotivator,,demotivieren,VVINF,4,0,1,1.0,,,
Designator,,designieren,VVINF,1,5,1,1.0,,,
Destabilisator,,destabilisieren,VVINF,1,0,1,1.0,,,
Determinator,,determinieren,VVINF,3,26,1,1.0,,,
Detonator,,detonieren,VVINF,170,0,1,1.0,,,
Devastator,,devastieren,VVINF,18,0,1,1.0,,,
Dialysator,,dialysieren,VVINF,43,0,1,1.0,,,
Diktator,,diktieren,VVINF,2503,514,1,1.0,,,
Diskriminator,,diskriminieren,VVINF,23,348,1,1.0,,,
Dominator,,dominieren,VVINF,113,831,1,1.0,,,
Donator,,donieren,VVINF,33,0,1,1.0,,,
Duplikator,,duplizieren,VVINF,8,0,1,1.0,,,
Duplikator,,duplikieren,VVINF,8,0,1,,,,
Eindikator,,eindikieren,VVINF,0,0,0,,,,
Eindikator,,eindizieren,VVINF,0,0,0,,,,
Ejakulator,,ejakulieren,VVINF,1,36,1,1.0,,,
Elektrolytkondensator,,elektrolytkondensieren,VVINF,33,0,1,,,,Kondensator
Elevator,,elevieren,VVINF,151,0,1,1.0,,,
Emulator,,emulieren,VVINF,935,0,1,1.0,,,
Emulgator,,emulgieren,VVINF,427,0,1,1.0,,,
Eskalator,,eskalieren,VVINF,0,497,1,1.0,,,
Evaluator,,evaluieren,VVINF,45,470,1,1.0,,,
Experimentator,,experimentieren,VVINF,199,1474,1,1.0,,,
Exsenator,,exsenieren,VVINF,3,0,1,,,,Senator
Exterminator,,exterminieren,VVINF,10,0,1,1.0,,,
Finanzsenator,,finanzsenieren,VVINF,226,0,1,,,,Senator
Flugsimulator,,flugsimulieren,VVINF,293,0,1,,,,Simulator
Gegenreformator,,gegenreformieren,VVINF,0,0,1,,,,Reformator
Generator,,generieren,VVINF,2635,2630,1,1.0,,,
Gladiator,,gladiieren,VVINF,1016,0,1,1.0,,,
Granulator,,granulieren,VVINF,7,0,1,1.0,,,
Hellavator,,hellavieren,VVINF,0,0,0,,,,
Homogenisator,,homogenisieren,VVINF,6,23,1,1.0,,,
Hyperkondensator,,hyperkondensieren,VVINF,0,0,1,,,,Kondensator
Identifikator,,identifizieren,VVINF,40,6414,1,1.0,,,
Identifikator,,identifikieren,VVINF,40,0,1,,,,
Illuminator,,illuminieren,VVINF,20,25,1,1.0,,,
Illustrator,,illustrieren,VVINF,1253,455,1,1.0,,,
Imitator,,imitieren,VVINF,104,474,1,1.0,,,
Imperator,,imperieren,VVINF,1102,0,1,1.0,,,
Improvisator,,improvisieren,VVINF,65,596,1,1.0,,,
Indikator,,indizieren,VVINF,4011,139,1,1.0,,,
Indikator,,indikieren,VVINF,4011,0,1,,,,
Infiltrator,,infiltrieren,VVINF,70,158,1,1.0,,,
Inflator,,inflieren,VVINF,10,0,1,1.0,,,
Informator,,informieren,VVINF,46,24385,1,1.0,,,
Informisator,,informisieren,VVINF,0,0,1,1.0,,,
Inhalator,,inhalieren,VVINF,79,186,1,1.0,,,
Initiator,,initiieren,VVINF,4367,903,1,1.0,,,
Inkubator,,inkubieren,VVINF,312,0,1,1.0,,,
Innovator,,innovieren,VVINF,303,0,1,1.0,,,
Inspirator,,inspirieren,VVINF,55,2833,1,1.0,,,
Integrator,,integrieren,VVINF,211,7128,1,1.0,,,
Interpolator,,interpolieren,VVINF,1,55,1,1.0,,,
Interpretator,,interpretieren,VVINF,6,3225,1,1.0,,,
Investigator,,investigieren,VVINF,76,0,1,1.0,,,
Ionisator,,ionisieren,VVINF,51,0,1,1.0,,,
Isator,,isieren,VVINF,0,0,0,,,,
Isolator,,isolieren,VVINF,321,821,1,1.0,,,
Iterator,,iterieren,VVINF,50,0,1,1.0,,,
Kalkulator,,kalkulieren,VVINF,78,841,1,1.0,,,
Kandidator,,kandidieren,VVINF,2,755,1,1.0,,,
Katalysator,,katalysieren,VVINF,1791,14,1,1.0,,,
Klassifikator,,klassifizieren,VVINF,14,392,1,1.0,,,
Klassifikator,,klassifikieren,VVINF,14,0,1,,,,
Kofigurator,,kofigurieren,VVINF,0,0,1,1.0,,,
Koinitiator,,koinitiieren,VVINF,0,0,1,1.0,,,
Kollaborator,,kollaborieren,VVINF,4,31,1,1.0,,,
Kolonisator,,kolonisieren,VVINF,82,62,1,1.0,,,
Kombinator,,kombinieren,VVINF,18,4141,1,1.0,,,
Kommentator,,kommentieren,VVINF,2984,4911,1,1.0,,,
Kommetator,,kommetieren,VVINF,1,0,1,1.0,,,
Kommunikator,,kommunikieren,VVINF,453,0,1,1.0,,,
Kommunikator,,kommunizieren,VVINF,453,4530,1,,,,
Kommutator,,kommutieren,VVINF,31,0,1,1.0,,,
Kompensator,,kompensieren,VVINF,50,2540,1,1.0,,,
Kompilator,,kompilieren,VVINF,18,0,1,1.0,,,
Kondensator,,kondensieren,VVINF,2516,83,1,1.0,,,
Konfigurator,,konfigurieren,VVINF,336,1736,1,1.0,,,
Konfirmator,,konfirmieren,VVINF,2,33,1,1.0,,,
Konsekrator,,konsekrieren,VVINF,0,0,1,1.0,,,
Konservator,,konservieren,VVINF,92,425,1,1.0,,,
Kontraindikator,,kontraindizieren,VVINF,19,0,1,1.0,,,
Kontraindikator,,kontraindikieren,VVINF,19,0,1,,,,
Konzentrator,,konzentrieren,VVINF,60,8841,1,1.0,,,
Kooperator,,kooperieren,VVINF,58,996,1,1.0,,,
Koordinator,,koordinieren,VVINF,1399,1400,1,1.0,,,
Kopiermutator,,kopiermutieren,VVINF,0,0,1,,,,Mutator
Korrelator,,korrelieren,VVINF,16,100,1,1.0,,,
Kreator,,kreieren,VVINF,249,1647,1,1.0,,,
Kultivator,,kultivieren,VVINF,21,393,1,1.0,,,
Kurator,,kurieren,VVINF,939,236,1,1.0,,,
Laudator,,laudieren,VVINF,305,0,1,1.0,,,
Legitimator,,legitimieren,VVINF,4,620,1,1.0,,,
Liquidator,,liquidieren,VVINF,259,197,1,1.0,,,
Lokalisator,,lokalisieren,VVINF,3,808,1,1.0,,,
Manifestator,,manifestieren,VVINF,0,632,1,1.0,,,
Manipulator,,manipulieren,VVINF,128,1757,1,1.0,,,
Maximator,,maximieren,VVINF,4,392,1,1.0,,,
Mediator,,mediieren,VVINF,843,0,1,1.0,,,
Migrator,,migrieren,VVINF,10,0,1,1.0,,,
Mitinitiator,,mitinitiieren,VVINF,200,0,1,1.0,,,
Mitkommentator,,mitkommentieren,VVINF,34,0,1,1.0,,,
Mitkonsekrator,,mitkonsekrieren,VVINF,2,0,1,1.0,,,
Mitmoderator,,mitmoderieren,VVINF,5,0,1,1.0,,,
Mitorganisator,,mitorganisieren,VVINF,222,10,1,1.0,,,
Mobilisator,,mobilisieren,VVINF,2,1552,1,1.0,,,
Moderator,,moderieren,VVINF,12216,661,1,1.0,,,
Motivator,,motivieren,VVINF,286,3741,1,1.0,,,
Multiduplikator,,multiduplikieren,VVINF,2,0,1,,,,
Multiduplikator,,multiduplizieren,VVINF,2,0,1,,,,Duplikator
Multiplikator,,multiplizieren,VVINF,1534,276,1,1.0,,,
Multiplikator,,multiplikieren,VVINF,1534,0,1,,,,
Multivibrator,,multivibrieren,VVINF,29,0,1,,,,Vibrator
Mutator,,mutieren,VVINF,20,455,1,1.0,,,
Navigator,,navigieren,VVINF,1143,787,1,1.0,,,
Negator,,negieren,VVINF,13,237,1,1.0,,,
Netzwerkadministrator,,netzwerkadministrieren,VVINF,106,0,1,,,,Administrator
Neutralisator,,neutralisieren,VVINF,10,496,1,1.0,,,
Oberagitator,,oberagitieren,VVINF,1,0,1,,,,Agitator
Oberkonservator,,oberkonservieren,VVINF,6,0,1,,,,Konservator
Oberkurator,,oberkurieren,VVINF,2,0,1,,,,Kurator
Observator,,observieren,VVINF,12,58,1,1.0,,,
Okkupator,,okkupieren,VVINF,2,27,1,1.0,,,
Operator,,operieren,VVINF,1521,1592,1,1.0,,,
Organisator,,organisieren,VVINF,5725,8070,1,1.0,,,
Oszillator,,oszillieren,VVINF,354,18,1,1.0,,,
Penetrator,,penetrieren,VVINF,38,66,1,1.0,,,
Permutator,,permutieren,VVINF,0,0,1,1.0,,,
Plagiator,,plagiieren,VVINF,124,25,1,1.0,,,
Plastinator,,plastinieren,VVINF,17,0,1,1.0,,,
Polarisator,,polarisieren,VVINF,43,186,1,1.0,,,
Portator,,portieren,VVINF,1,293,1,1.0,,,
Prokurator,,prokurieren,VVINF,123,0,1,1.0,,,
Qualifikator,,qualifizieren,VVINF,4,2801,1,1.0,,,
Qualifikator,,qualifikieren,VVINF,4,0,1,,,,
Quantifikator,,quantifizieren,VVINF,3,287,1,1.0,,,
Quantifikator,,quantifikieren,VVINF,3,0,1,,,,
Querulator,,querulieren,VVINF,15,3,1,1.0,,,
Radiator,,radiieren,VVINF,293,0,1,1.0,,,
Realisator,,realisieren,VVINF,10,8784,1,1.0,,,
Reformator,,reformieren,VVINF,858,558,1,1.0,,,
Regenerator,,regenerieren,VVINF,113,848,1,1.0,,,
Registrator,,registrieren,VVINF,30,9818,1,1.0,,,
Regulator,,regulieren,VVINF,335,1485,1,1.0,,,
Rekombinator,,rekombinieren,VVINF,4,0,1,1.0,,,
Relator,,relieren,VVINF,2,0,1,1.0,,,
Replikator,,replikieren,VVINF,289,0,1,,,,
Replikator,,replizieren,VVINF,289,129,1,1.0,,,
Resonator,,resonieren,VVINF,189,0,1,1.0,,,
Respirator,,respirieren,VVINF,23,0,1,1.0,,,
Restaurator,,restaurieren,VVINF,544,709,1,1.0,,,
Rezitator,,rezitieren,VVINF,139,165,1,1.0,,,
Rotator,,rotieren,VVINF,55,485,1,1.0,,,
Schaummaximator,,schaummaximieren,VVINF,0,0,1,,,,Maximator
Schneidgranulator,,schneidgranulieren,VVINF,0,0,1,,,,Granulator
Senator,,senieren,VVINF,3183,0,1,1.0,,,
Sensibilisator,,sensibilisieren,VVINF,14,1376,1,1.0,,,
Separator,,separieren,VVINF,118,170,1,1.0,,,
Simulator,,simulieren,VVINF,1270,1329,1,1.0,,,
Stabilisator,,stabilisieren,VVINF,499,1762,1,1.0,,,
Stator,,stieren,VVINF,153,15,1,1.0,,,
Sterilisator,,sterilisieren,VVINF,51,155,1,1.0,,,
Stimulator,,stimulieren,VVINF,53,483,1,1.0,,,
Superadministrator,,superadministrieren,VVINF,3,0,1,,,,Administrator
Superkommentator,,superkommentieren,VVINF,0,0,1,,,,Kommentator
Superkondensator,,superkondensieren,VVINF,4,0,1,,,,Kondensator
Supermoderator,,supermoderieren,VVINF,24,0,1,,,,Moderator
Supermotivator,,supermotivieren,VVINF,0,0,1,,,,Motivator
Supersenator,,supersenieren,VVINF,1,0,1,,,,Senator
Supraisolator,,supraisolieren,VVINF,0,0,1,,,,Isolator
Synchronisator,,synchronisieren,VVINF,10,899,1,1.0,,,
Tabulator,,tabulieren,VVINF,192,0,1,1.0,,,
Taxator,,taxieren,VVINF,15,67,1,1.0,,,
Telekommunikator,,telekommunizieren,VVINF,0,0,1,1.0,,,
Telekommunikator,,telekommunikieren,VVINF,0,0,1,,,,
Teleoperator,,teleoperieren,VVINF,0,0,1,1.0,,,
Terminator,,terminieren,VVINF,1140,78,1,1.0,,,
Testator,,testieren,VVINF,14,24,1,1.0,,,
Totalisator,,totalisieren,VVINF,25,0,1,1.0,,,
Transformator,,transformieren,VVINF,759,488,1,1.0,,,
Triumphator,,triumphieren,VVINF,36,199,1,1.0,,,
Usurpator,,usurpieren,VVINF,78,9,1,1.0,,,
Variator,,variieren,VVINF,40,1935,1,1.0,,,
Ventilator,,ventilieren,VVINF,1519,8,1,1.0,,,
Verteilmanipulator,,verteilmanipulieren,VVINF,0,0,1,,,,Manipulator
Vibrator,,vibrieren,VVINF,612,253,1,1.0,,,
Visitator,,visitieren,VVINF,91,0,1,1.0,,,
Vorkommentator,,vorkommentieren,VVINF,30,0,1,1.0,,,
Zirkulator,,zirkulieren,VVINF,3,228,1,1.0,,,
Zufallsgenerator,,zufallsgenerieren,VVINF,385,0,1,,,,Generator
