lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Advokatur,,advokieren,VVINF,30,0,1,,advozieren,VVINF,
Applikatur,,applikieren,VVINF,5,0,1,,applizieren,VVINF,
Duplikatur,,duplikieren,VVINF,1,0,1,,duplizieren,VVINF,
Judikatur,,judikieren,VVINF,112,0,1,,judizieren,VVINF,
Lineatur,,lineieren,VVINF,22,0,1,,linieren,VVINF,
Abbreviatur,,abbreviieren,VVINF,20,0,1,1.0,,,
Administratur,,administrieren,VVINF,11,183,1,1.0,,,
Apparatur,,apparieren,VVINF,680,0,1,1.0,,,
Armatur,,armieren,VVINF,1309,0,1,1.0,,,
Delegatur,,delegieren,VVINF,1,425,1,1.0,,,
Demokratur,,demokrieren,VVINF,55,0,1,1.0,,,
Diktatur,,diktieren,VVINF,4861,514,1,1.0,,,
Famulatur,,famulieren,VVINF,200,0,1,1.0,,,
Frankatur,,frankieren,VVINF,31,60,1,1.0,,,
Hydratur,,hydrieren,VVINF,0,0,1,1.0,,,
Imprimatur,,imprimieren,VVINF,82,0,1,1.0,,,
Iteratur,,iterieren,VVINF,0,0,1,1.0,,,
Kandidatur,,kandidieren,VVINF,1422,755,1,1.0,,,
Karikatur,,karikieren,VVINF,1887,32,1,1.0,,,
Klaviatur,,klaviieren,VVINF,273,0,1,1.0,,,
Koloratur,,kolorieren,VVINF,12,17,1,1.0,,,
Korrelatur,,korrelieren,VVINF,0,100,1,1.0,,,
Kreatur,,kreieren,VVINF,3436,1647,1,1.0,,,
Legislatur,,legislieren,VVINF,237,0,1,1.0,,,
Ligatur,,ligieren,VVINF,173,0,1,1.0,,,
Literatur,,literieren,VVINF,30612,0,1,1.0,,,
Makulatur,,makulieren,VVINF,392,0,1,1.0,,,
Miniatur,,miniieren,VVINF,1534,0,1,1.0,,,
Moderatur,,moderieren,VVINF,5,661,1,1.0,,,
Muskulatur,,muskulieren,VVINF,3654,0,1,1.0,,,
Nachreparatur,,nachreparieren,VVINF,0,0,1,1.0,,,
Notreparatur,,notreparieren,VVINF,50,0,1,1.0,,,
Nuntiatur,,nuntiieren,VVINF,72,0,1,1.0,,,
Prälatur,,prälieren,VVINF,51,0,1,1.0,,,
Prokuratur,,prokurieren,VVINF,1,0,1,1.0,,,
Quadratur,,quadrieren,VVINF,291,0,1,1.0,,,
Registratur,,registrieren,VVINF,194,9818,1,1.0,,,
Renovatur,,renovieren,VVINF,3,965,1,1.0,,,
Reparatur,,reparieren,VVINF,10698,3536,1,1.0,,,
Signatur,,signieren,VVINF,7934,427,1,1.0,,,
Stukkatur,,stukkieren,VVINF,59,0,1,1.0,,,
Tabulatur,,tabulieren,VVINF,105,0,1,1.0,,,
Tastatur,,tastieren,VVINF,9509,0,1,1.0,,,
Temperatur,,temperieren,VVINF,31270,0,1,1.0,,,
Titulatur,,titulieren,VVINF,51,170,1,1.0,,,
Visitatur,,visitieren,VVINF,3,0,1,1.0,,,
Gegenkandidatur,,gegenkandidieren,VVINF,25,0,1,,,,Kandidatur
Nichtkandidatur,,nichtkandidieren,VVINF,1,0,1,,,,Kandidatur
Wiederkandidatur,,wiederkandidieren,VVINF,9,0,1,,,,Kandidatur
Buchliteratur,,buchliterieren,VVINF,5,0,1,,,,Literatur
Bühnenliteratur,,bühnenliterieren,VVINF,4,0,1,,,,Literatur
Frauenliteratur,,frauenliterieren,VVINF,81,0,1,,,,Literatur
Nachkriegsliteratur,,nachkriegsliterieren,VVINF,69,0,1,,,,Literatur
Schundliteratur,,schundliterieren,VVINF,32,0,1,,,,Literatur
Sekundärliteratur,,sekundärliterieren,VVINF,516,0,1,,,,Literatur
Sowjetliteratur,,sowjetliterieren,VVINF,13,0,1,,,,Literatur
Bauchmuskulatur,,bauchmuskulieren,VVINF,261,0,1,,,,Muskulatur
