lemma,true_lemma,merge
Abfolge,1,
Abgabe,1,
Ablöse,1,
Abnahme,1,
Abreise,1,
Absprache,1,
Angabe,1,
Anhöhe,1,
Anleihe,1,
Annahme,1,
Anprobe,1,
Anrede,1,
Anreise,1,
Ansprache,1,
Anteilnahme,1,
Anzeige,1,
Aufgabe,1,
Aufnahme,1,
Ausbeute,1,
Ausgabe,1,
Aushilfe,1,
Ausnahme,1,
Ausrede,1,
Ausreise,1,
Aussprache,1,
Baustelle,1,Stelle
Beihilfe,1,
Bekanntgabe,1,
Bezugnahme,1,
Bleibe,1,
Blende,1,
Blindschleiche,1,Schleiche
Bote,1,
Bremse,1,
Dreingabe,1,
Dusche,1,
Einbuße,1,
Einflussnahme,1,
Eingabe,1,
Einnahme,1,
Einsprache,1,
Ende,1,
Entnahme,1,
Entwicklungshilfe,1,Hilfe
Ernte,1,
Festnahme,1,
Folge,1,
Fräse,1,
Fuge,1,
Fülle,1,
Funke,1,
Fürsorge,1,
Gabe,1,
Gatte,1,
Gemenge,1,
Geschäftsstelle,1,Stelle
Glaube,1,
Haltestelle,1,Stelle
Hausaufgabe,1,Aufgabe
Herausgabe,1,
Heuschrecke,1,Schrecke
Hingabe,1,
Hinrunde,1,
Inanspruchnahme,1,
Inbetriebnahme,1,
Inkaufnahme,1,
Insasse,1,
Interwette,1,Wette
Kenntnisnahme,1,
Lache,1,
Lade,1,
Langeweile,1,
Lehne,1,
Lehre,1,
Liebe,1,
Liste,1,
Mache,1,
Mailingliste,1,Liste
Maßnahme,1,
Menge,1,
Miterbe,1,
Mithilfe,1,
Mitnahme,1,
Mühle,1,
Münze,1,
Nacherbe,1,
Nachfolge,1,
Nachhilfe,1,
Nachkomme,1,
Nächstenliebe,1,Liebe
Nebenstelle,1,
Neige,1,
Note,1,
Obergrenze,1,Grenze
Oberstufe,1,Stufe
Pauschalreise,1,Reise
Pfeife,1,
Pflege,1,
Preisliste,1,Liste
Presse,1,
Prise,1,
Probe,1,
Pumpe,1,
Quelle,1,
Rache,1,
Ramme,1,
Rampe,1,
Rede,1,
Reihe,1,
Reise,1,
Reue,1,
Rille,1,
Rinne,1,
Rippe,1,
Robbe,1,
Rolle,1,
Rückblende,1,Blende
Rückleuchte,1,Leuchte
Rückreise,1,Reise
Ruhe,1,
Säge,1,
Schere,1,
Schleife,1,
Schleppe,1,
Schleuse,1,
Schliere,1,
Schranke,1,
Schraube,1,
Schublade,1,Lade
Schule,1,
Schütze,1,
Schwebe,1,
Schwelle,1,
Schwemme,1,
Seelsorge,1,
Sehne,1,
Sense,1,
Sorge,1,
Sozialhilfe,1,Hilfe
Speise,1,
Spende,1,
Sperre,1,
Sprache,1,
Spritze,1,
Spucke,1,
Stelle,1,
Stellungnahme,1,
Stelze,1,
Sternwarte,1,
Stiege,1,
Stimme,1,
Strafe,1,
Strebe,1,
Strecke,1,
Stufe,1,
Stütze,1,
Suche,1,
Sünde,1,
Tankstelle,1,Stelle
Taste,1,
Taufe,1,
Teilhabe,1,
Teilnahme,1,
Todesstrafe,1,Strafe
Übernahme,1,
Überwache,1,
Unglaube,1,
Unmenge,1,Menge
Unruhe,1,
Unterwäsche,1,Wäsche
Vergabe,1,
Vorausnahme,1,
Vorerbe,1,
Vorgabe,1,
Vorliebe,1,
Vornahme,1,
Vorsorge,1,
Vorstufe,1,
Wache,1,
Wäsche,1,
Weihe,1,
Weile,1,
Wiedergabe,1,
Wiege,1,
Wille,1,
Windmühle,1,Mühle
Wochenende,1,Ende
Wunde,1,
Würze,1,
Zerreißprobe,1,Probe
Zeuge,1,
Zinke,1,
Zugabe,1,
Zuhilfenahme,1,
Zunahme,1,
Zündfunke,1,
Zusprache,1,
Zweitstimme,1,Stimme
Zwickmühle,1,Mühle
Breite,0,
Abgebildete,0,
abgeordnet,0,
Abgeordnete,0,
Abgesandte,0,
Aborigine,0,
Abwärme,0,
Accessoire,0,
Achse,0,
Adlige,0,
Adresse,0,
Affaire,0,
Affäre,0,
Affe,0,
Affektierte,0,
Afghane,0,
Ägide,0,
Ähnliche,0,
Airline,0,
Akquise,0,
Akt,0,
Aktive,0,
Aktuelle,0,
Ale,0,
Alge,0,
Allee,0,
Alleinstehende,0,
Allgemeine,0,
Alliierte,0,
Alltägliche,0,
Alte,0,
Ältere,0,
Alternative,0,
Ambiente,0,
Amen,0,
Amplitude,0,
Ampulle,0,
Analyse,0,
Androgyne,0,
Androide,0,
Anekdote,0,
Anemone,0,
Angebetete,0,
Angehörige,0,
Angeklagte,0,
Angestellte,0,
Angiologe,0,
Anke,0,
Antenne,0,
Antike,0,
Anwesende,0,
Apache,0,
Apotheke,0,
Appellative,0,
Archäologe,0,
Argumentationsschiene,0,
Arkade,0,
Armee,0,
Ärmste,0,
Arnulfstraße,0,
Arthrose,0,
Asche,0,
Ase,0,
Asiate,0,
Askese,0,
Assassine,0,
