lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Flügel,,Flug,NN,11137,23462,1,1.0,,,
Rätsel,,rätseln,VVINF,11139,282,1,1.0,,,
Würfel,,Wurf,NN,5539,7638,1,1.0,,,
Schlüssel,,Schluss,NN,16231,49831,1,1.0,,,
Bündel,,Bund,NN,1518,32705,1,1.0,,,
Bügel,,bügeln,VVINF,1961,377,1,1.0,,,
Löffel,,löffeln,VVINF,3211,63,1,1.0,,,
Gürtel,,Gurt,NN,3916,2444,1,1.0,,,
Krümel,,krümeln,VVINF,1292,32,1,1.0,,,
Prügel,,prügeln,VVINF,954,505,1,1.0,,,
Zügel,,Zug,NN,2121,60114,1,1.0,,,
Knüppel,,knüppeln,VVINF,1300,47,1,1.0,,,
Brösel,,bröseln,VVINF,184,35,1,1.0,,,
Kürzel,,kürzen,VVINF,1552,2207,1,1.0,,,
Stöckel,,Stock,NN,125,10427,1,1.0,,,
Trödel,,trödeln,VVINF,196,48,1,1.0,,,
Stöpsel,,stöpseln,VVINF,415,55,1,1.0,,,
Rüffel,,rüffeln,VVINF,179,7,1,1.0,,,
Mörtel,,mörteln,VVINF,642,0,1,1.0,,,
Mündel,,Mund,NN,114,23626,1,1.0,,,
Büschel,,Busch,NN,353,4197,1,1.0,,,
Pöbel,,pöbeln,VVINF,972,128,1,1.0,,,
Klöppel,,kloppen,VVINF,214,537,1,1.0,,,
Schlägel,,Schlag,NN,83,17585,1,1.0,,,
Ärmel,,Arm,NN,3010,43182,1,1.0,,,
Wechsel,,wechseln,VVINF,24830,16706,1,1.0,,,
Regel,,regeln,VVINF,100143,5315,1,1.0,,,
Wandel,,wandeln,VVINF,14900,1507,1,1.0,,,
Handel,,handeln,VVINF,28164,15774,1,1.0,,,
Formel,,formen,VVINF,13556,2371,1,1.0,,,
Spiegel,,spiegeln,VVINF,20831,587,1,1.0,,,
Kapsel,,kapseln,VVINF,2927,80,1,1.0,,,
Zweifel,,zweifeln,VVINF,24114,1990,1,1.0,,,
Siegel,,siegeln,VVINF,4108,13,1,1.0,,,
Mittel,,mitteln,VVINF,61214,160,1,1.0,,,
Mangel,,mangeln,VVINF,23947,365,1,1.0,,,
Klingel,,klingeln,VVINF,1274,848,1,1.0,,,
Trommel,,trommeln,VVINF,3186,240,1,1.0,,,
Wurzel,,wurzeln,VVINF,15792,169,1,1.0,,,
Haspel,,haspeln,VVINF,80,9,1,1.0,,,
Kordel,,Kord,NN,432,156,1,1.0,,,
Kurbel,,kurbeln,VVINF,1487,147,1,1.0,,,
Tafel,,tafeln,VVINF,10317,36,1,1.0,,,
Angel,,angeln,VVINF,9318,2403,1,1.0,,,
Doppel,,doppeln,VVINF,6027,50,1,1.0,,,
Zirkel,,zirkeln,VVINF,1835,47,1,1.0,,,
Schmuggel,,schmuggeln,VVINF,276,287,1,1.0,,,
Krempel,,krempeln,VVINF,591,32,1,1.0,,,
Scheffel,,scheffeln,VVINF,593,225,1,1.0,,,
Segel,,segeln,VVINF,6722,1243,1,1.0,,,
Schaukel,,schaukeln,VVINF,1277,413,1,1.0,,,
Titel,,titeln,VVINF,85035,0,1,1.0,,,
Drossel,,drosseln,VVINF,837,485,1,1.0,,,
Deckel,,decken,VVINF,8390,4048,1,1.0,,,
Wirbel,,wirbeln,VVINF,2969,184,1,1.0,,,
Stapel,,stapeln,VVINF,2951,311,1,1.0,,,
Koppel,,koppeln,VVINF,1611,491,1,1.0,,,
Hobel,,hobeln,VVINF,469,63,1,1.0,,,
Hebel,,heben,VVINF,4558,3326,1,1.0,,,
Stempel,,stempeln,VVINF,5367,214,1,1.0,,,
Schwindel,,schwindeln,VVINF,2270,35,1,1.0,,,
Windel,,winden,VVINF,2397,219,1,1.0,,,
Sattel,,satteln,VVINF,7310,113,1,1.0,,,
Pendel,,pendeln,VVINF,1602,416,1,1.0,,,
Wichtel,,wichteln,VVINF,622,0,1,1.0,,,
Staffel,,staffeln,VVINF,17862,137,1,1.0,,,
Kanzel,,kanzeln,VVINF,1473,2,1,1.0,,,
Kreisel,,Kreis,NN,1608,62982,1,1.0,,,
Spachtel,,spachteln,VVINF,671,135,1,1.0,,,
Fiedel,,fiedeln,VVINF,112,0,1,1.0,,,
Schaufel,,schaufeln,VVINF,1627,257,1,1.0,,,
Sprudel,,sprudeln,VVINF,284,157,1,1.0,,,
Jubel,,jubeln,VVINF,2653,940,1,1.0,,,
Speichel,,speicheln,VVINF,1076,24,1,1.0,,,
Kegel,,kegeln,VVINF,2286,99,1,1.0,,,
Gabel,,gabeln,VVINF,3738,32,1,1.0,,,
Schindel,,schinden,VVINF,201,343,1,1.0,,,
Muffel,,Muff,NN,74,308,1,1.0,,,
Frevel,,freveln,VVINF,449,4,1,1.0,,,
Pinsel,,pinseln,VVINF,3675,101,1,1.0,,,
Wachtel,,Wacht,NN,504,453,1,1.0,,,
Schimmel,,schimmeln,VVINF,2394,176,1,1.0,,,
Trampel,,trampeln,VVINF,121,72,1,1.0,,,
Schachtel,,schachteln,VVINF,2589,29,1,1.0,,,
Tadel,,tadeln,VVINF,765,176,1,1.0,,,
Gurgel,,gurgeln,VVINF,487,57,1,1.0,,,
Hantel,,hanteln,VVINF,589,16,1,1.0,,,
Deichsel,,deichseln,VVINF,286,21,1,1.0,,,
Hagel,,hageln,VVINF,1220,75,1,1.0,,,
Nippel,,nippen,VVINF,571,36,1,1.0,,,
Rassel,,rasseln,VVINF,461,77,1,1.0,,,
Bummel,,bummeln,VVINF,1010,449,1,1.0,,,
Kiesel,,Kies,NN,615,2543,1,1.0,,,
Fessel,,fesseln,VVINF,1607,1145,1,1.0,,,
Knebel,,knebeln,VVINF,486,67,1,1.0,,,
Paddel,,paddeln,VVINF,1089,384,1,1.0,,,
Taumel,,taumeln,VVINF,275,108,1,1.0,,,
Zipfel,,zipfeln,VVINF,870,0,1,1.0,,,
Wendel,,wenden,VVINF,818,24445,1,1.0,,,
Wiesel,,wieseln,VVINF,234,5,1,1.0,,,
Kitzel,,kitzeln,VVINF,84,224,1,1.0,,,
Strudel,,strudeln,VVINF,939,7,1,1.0,,,
Greuel,,greueln,VVINF,453,0,1,1.0,,,
Nuckel,,nuckeln,VVINF,59,85,1,1.0,,,
Pummel,,pummeln,VVINF,39,0,1,1.0,,,
Schnorchel,,schnorcheln,VVINF,1083,0,1,1.0,,,
Wickel,,wickeln,VVINF,693,757,1,1.0,,,
Jagel,,jagen,VVINF,81,3321,1,1.0,,,
Rappel,,rappeln,VVINF,141,43,1,1.0,,,
Spitzel,,spitzeln,VVINF,532,26,1,1.0,,,
Rodel,,rodeln,VVINF,455,70,1,1.0,,,
Meißel,,meißeln,VVINF,352,70,1,1.0,,,
Buddel,,buddeln,VVINF,128,295,1,1.0,,,
Griffel,,Griff,NN,354,18147,1,1.0,,,
Wedel,,wedeln,VVINF,973,202,1,1.0,,,
Raspel,,raspeln,VVINF,137,96,1,1.0,,,
Kantel,,kanten,VVINF,50,91,1,1.0,,,
Kringel,,kringeln,VVINF,317,39,1,1.0,,,
Grundel,,Grund,NN,316,215160,1,1.0,,,
Schmirgel,,schmirgeln,VVINF,43,17,1,1.0,,,
Fuchtel,,fuchteln,VVINF,180,31,1,1.0,,,
Achsel,,Achs,NN,1086,0,1,,Achse,NN,
Stängel,,Stang,NN,4,0,1,,Stange,NN,
Steigbügel,,steigbügeln,VVINF,313,0,1,,,,Bügel
Singdrossel,,singdrosseln,VVINF,42,0,1,,,,Drossel
Hinterflügel,,Hinterflug,NN,55,0,1,,,,Flügel
Kotflügel,,Kotflug,NN,1506,0,1,,,,Flügel
Telegabel,,telegabeln,VVINF,77,0,1,,,,Gabel
Vordergabel,,vordergabeln,VVINF,43,0,1,,,,Gabel
Großhandel,,großhandeln,VVINF,1504,0,1,,,,Handel
Einzelhandel,,einzelhandeln,VVINF,5290,0,1,,,,Handel
Fachhandel,,fachhandeln,VVINF,2558,0,1,,,,Handel
Welthandel,,welthandeln,VVINF,602,0,1,,,,Handel
Weinhandel,,weinhandeln,VVINF,212,0,1,,,,Handel
Elektrofachhandel,,elektrofachhandeln,VVINF,33,0,1,,,,Handel
Holzhandel,,holzhandeln,VVINF,126,0,1,,,,Handel
Binnenhandel,,binnenhandeln,VVINF,25,0,1,,,,Handel
Internethandel,,internethandeln,VVINF,208,0,1,,,,Handel
Buchhandel,,buchhandeln,VVINF,2545,0,1,,,,Handel
Lichtkegel,,lichtkegeln,VVINF,400,0,1,,,,Kegel
Zauberkreisel,,Zauberkreis,NN,0,17,1,,,,Kreisel
Eßlöffel,,eßlöffeln,VVINF,293,0,1,,,,Löffel
Schlafmangel,,schlafmangeln,VVINF,303,0,1,,,,Mangel
Färbemittel,,färbemitteln,VVINF,97,0,1,,,,Mittel
Betäubungsmittel,,betäubungsmitteln,VVINF,794,0,1,,,,Mittel
Verhütungsmittel,,verhütungsmitteln,VVINF,545,0,1,,,,Mittel
Übermittel,,übermitteln,VVINF,53,1902,1,,,,Mittel
Drittmittel,,drittmitteln,VVINF,592,0,1,,,,Mittel
Nahrungsmittel,,nahrungsmitteln,VVINF,6541,0,1,,,,Mittel
Arzneimittel,,arzneimitteln,VVINF,6916,0,1,,,,Mittel
Lebensmittel,,lebensmitteln,VVINF,20328,0,1,,,,Mittel
Futtermittel,,futtermitteln,VVINF,1647,0,1,,,,Mittel
Heilmittel,,heilmitteln,VVINF,2191,0,1,,,,Mittel
Pflanzenschutzmittel,,pflanzenschutzmitteln,VVINF,1191,0,1,,,,Mittel
Hilfsmittel,,hilfsmitteln,VVINF,7499,0,1,,,,Mittel
Gegenmittel,,gegenmitteln,VVINF,642,0,1,,,,Mittel
Leuchtmittel,,leuchtmitteln,VVINF,1302,0,1,,,,Mittel
