lemma,true_lemma,merge
Achsel,1,
Achtel,1,
Adel,0,
Adrenalinspiegel,1,Spiegel
Ampel,0,
Amsel,0,
Angel,1,
Angeln,0,
Anhängsel,0,
Anspiel,0,
Apfel,0,
Apostel,0,
Archipel,0,
Ärmel,1,
Artikel,0,
Arzneimittel,1,Mittel
Aschenbrödel,0,
Aschenputtel,0,
Assel,0,
aufspielen,0,
Bammel,0,
Bargel,0,
Barrel,0,
Becquerel,0,
Beipackzettel,0,
Beispiel,0,
Bengel,0,
Benimmregel,1,Regel
Betäubungsmittel,1,Mittel
Betreiberwechsel,1,
Beutel,0,
Bibel,0,
Binnenhandel,1,Handel
Bleuel,0,
Blutegel,0,
Blutzuckerspiegel,1,Spiegel
Bögel,0,
Bommel,0,
Bonusregel,1,Regel
Brettspiel,0,
Brezel,0,
Briegel,0,
Brösel,1,
Brühwürfel,1,Würfel
Buchhandel,1,Handel
Buchtitel,1,Vizetitel
Buckel,1,
Buddel,1,
Büffel,0,
Bügel,1,
Bummel,1,
Bündel,1,
Burgwedel,1,Wedel
Büschel,1,
Colonel,0,
Dackel,0,
Dattel,0,
Debakel,0,
Deckel,1,
Deckmantel,0,
Deichsel,1,
Demel,0,
Desinfektionsmittel,1,Mittel
Dezibel,0,
Diesel,0,
Dinkel,0,
Distel,0,
Doppel,1,
Dreiviertel,1,Viertel
Drittel,1,
Drittmittel,1,Mittel
Drossel,1,
Dschungel,0,
Dunkel,0,
Dünkel,0,
Dusel,1,
Dussel,0,
Egel,0,
Eichel,0,
Eindreiviertel,1,Viertel
Einspiel,0,
Einsprengsel,0,
Einwandererviertel,1,Viertel
Einzel,0,
Einzelhandel,1,Handel
Eispickel,0,
Ekel,0,
Elektrofachhandel,1,Handel
Engel,0,
Enkel,0,
Epistel,0,
Epithel,0,
Erpel,0,
Erspiel,0,
Esel,0,
Eßlöffel,1,Löffel
Exempel,0,
Fabel,0,
Fachhandel,1,Handel
Fackel,0,
Fahrtziel,0,
Färbemittel,1,Mittel
Faszikel,0,
Faustregel,1,Regel
Fehlerteufel,0,
Feldwebel,0,
Fenchel,0,
Ferkel,1,
Fessel,1,
Festspiel,0,
Feuerteufel,0,
Fibel,0,
Fidel,0,
Fiedel,1,
Fimmel,0,
Fingernagel,0,
Fistel,0,
Flegel,0,
Floskel,0,
Flügel,1,
Follikel,0,
Formel,1,
Fortbewegungsmittel,1,Mittel
Freundschaftsspiel,0,
Frevel,1,
Frommel,0,
Fuchtel,1,
Fünftel,0,
Funzel,0,
Furunkel,0,
Fusel,0,
Futtermittel,1,Mittel
Gabel,1,
Gebabbel,0,
Gebrabbel,0,
Gedrängel,0,
Gedribbel,0,
Gedudel,0,
Geduldsspiel,0,
Gefasel,0,
Geflügel,0,
Gefuchtel,0,
Gefummel,0,
Gegenmittel,1,Mittel
Gehampel,0,
Geisel,0,
Geißel,0,
Gel,0,
Gelispel,0,
Gemetzel,0,
Gemurmel,0,
Gemüsezwiebel,0,
Genörgel,0,
Georgel,0,
Gepinsel,0,
Gequengel,0,
Gerangel,0,
Gerappel,0,
Gerinnsel,0,
Geruckel,0,
Gerümpel,0,
Geschaukel,0,
Geschmunzel,0,
Geschnippel,0,
Geschnipsel,0,
Geschwafel,0,
Gesindel,0,
Gestammel,0,
Getrappel,0,
Getrommel,0,
Getuschel,0,
Gewabbel,0,
Gewimmel,0,
Gewinsel,0,
Gewirbel,0,
Gewusel,0,
Giebel,0,
Gipfel,0,
Glaskugel,1,
Gleitgel,0,
Glockenbachviertel,1,
Gockel,0,
Gondel,0,
Gospel,0,
Granatapfel,0,
Graupel,1,
Greuel,1,
Griffel,1,
Großhandel,1,Handel
Grundel,1,
Grundregel,1,Regel
Gurgel,1,
Gürtel,1,
Hagel,1,
Häkelnadel,0,
Hammel,0,
Hammondorgel,1,Orgel
Handel,1,
Händel,0,
Hansel,0,
Hantel,1,
Haspel,1,
Hebel,1,
Heilmittel,1,Mittel
Henkel,0,
Hergetrappel,1,Trappel
Hilfsmittel,1,Mittel
Himmel,0,
Hinterflügel,1,Flügel
Hobel,1,
Holzhandel,1,Handel
Hormonspiegel,1,Spiegel
Hostel,0,
Hotel,0,
Hügel,0,
Hummel,0,
Igel,0,
Infotafel,1,
Inkunabel,0,
Insel,0,
Internethandel,1,Handel
Investitionsziel,0,
Jagel,1,
Jubel,1,
Jungferninsel,0,
Juwel,0,
Juwele,0,
Kabel,0,
Kachel,0,
Kamel,0,
Kammel,0,
Kanarienvogel,0,
Kantel,1,
Kanzel,1,
Kapitel,0,
Kapsel,1,
Karfunkel,0,
Karnevalsartikel,0,
Karnickel,0,
Kartoffel,0,
Kegel,1,
Kennel,0,
Kerbel,0,
Kernel,0,
Kessel,0,
Kiel,0,
Kiesel,1,
Kinderpaddel,1,Paddel
Kinderstempel,1,Stempel
Kittel,0,
Kitzel,1,
Klausel,0,
Klientel,0,
Klimawandel,1,Wandel
Klingel,1,
Klöppel,1,
Knäuel,0,
Knebel,1,
Knöchel,0,
Knödel,0,
Knorpel,0,
Knubbel,0,
Knüppel,1,
Koppel,1,
Kordel,1,
Kotflügel,1,Flügel
Kreisel,1,
Krempel,1,
Kringel,1,
Krümel,1,
Krüppel,0,
Kübel,0,
Kugel,0,
Kümmel,0,
Kumpel,0,
Kuppel,0,
Kurbel,1,
Kurhotel,0,
Kürzel,1,
Label,0,
Lammel,0,
Lastenesel,0,
Lavendel,0,
Lebensmittel,1,Mittel
Lebenswandel,1,Wandel
Leuchtmittel,1,Mittel
Level,0,
Lichtkegel,1,Kegel
Lockmittel,1,Mittel
Löffel,1,
Mädel,0,
Makel,1,
Mandel,0,
Mangel,1,
Mantel,0,
Marmel,0,
Meeresspiegel,1,Spiegel
Meißel,1,
Mel,0,
Menetekel,1,
Milliardstel,1,
Millionstel,1,
Mirakel,0,
Mistel,0,
Mitapostel,0,
Mitbringsel,0,
Mittel,1,
Möbel,0,
Model,0,
Monokel,0,
Morchel,0,
Mörtel,1,
Motel,0,
Mozartkugel,0,
Muffel,1,
Mündel,1,
Murmel,0,
Muschel,0,
Muskel,0,
Nabel,0,
Nachschlüssel,1,Schüssel
Nadel,0,
Nagel,0,
Nahrungsmittel,1,Mittel
Nebel,0,
Nebengipfel,0,
Nebenspiel,0,
Nebenziel,0,
Neigungswinkel,0,
Nessel,0,
Nestel,0,
Nickel,0,
Nippel,1,
Nobel,0,
Notinsel,0,
Nuckel,1,
Nudel,0,
Oberapostel,0,
Oberfeldwebel,0,
Oberschenkel,0,
Oberschnabel,0,
Obertitel,1,Vizetitel
Öffnungsklausel,0,
Onkel,0,
Opel,0,
Orakel,0,
Orgel,1,
Paddel,1,
Paneel,0,
Panel,0,
Pantoffel,0,
Pappel,0,
Parabel,0,
Paradiesvogel,0,
Parkhotel,0,
Partikel,0,
Pechvogel,0,
Pegel,0,
Pendel,1,
Pflanzenschutzmittel,1,Mittel
Pflegeartikel,0,
Pickel,0,
Pinsel,1,
Pixel,0,
Planspiel,0,
Plastikschüssel,1,Schüssel
Pöbel,1,
Popel,0,
Praterinsel,0,
Primel,0,
Promodel,0,
Prügel,1,
Pudel,0,
Pummel,1,
Pustel,0,
Quaddel,0,
Ränkespiel,0,
Rappel,1,
Rapunzel,0,
Raspel,1,
Rassel,1,
Rätsel,1,
Rechtsmittel,1,Mittel
Regel,1,
Reiseziel,0,
Rhythmuswechsel,1,Wechsel
Riegel,0,
Rodel,1,
Romantitel,1,Vizetitel
Rössel,0,
Rötel,0,
Rubel,0,
Rückspiegel,1,Spiegel
Rudel,0,
Rüffel,1,
Rummel,0,
Rüpel,0,
Rüssel,0,
Säbel,0,
Salzwedel,1,Wedel
Sattel,1,
Schachtel,1,
Schädel,0,
Schäkel,0,
Scharmützel,1,
Schaufel,1,
Schaukel,1,
Schauspiel,0,
Scheffel,1,
Scheitel,0,
Schekel,0,
Schemel,0,
Schenkel,0,
Schimmel,1,
Schindel,1,
Schlafmangel,1,
Schlägel,1,
Schlamassel,0,
Schlegel,1,Schlägel
Schlosshotel,0,
Schluessel,1,Schlüssel
Schlüssel,1,Schüssel
Schmirgel,1,
Schmuddel,0,
Schmuggel,1,
Schnabel,0,
Schnipsel,0,
Schnitzel,0,
Schnorchel,1,
Schnörkel,0,
Schüssel,1,
Schutzengel,0,
Schwarzwurzel,1,Wurzel
Schwefel,0,
Schwindel,1,
Schwuchtel,0,
Sechstel,1,
Sechzehntel,1,Zehntel
Segel,1,
Semmel,0,
Senkel,0,
Sessel,1,
Sichel,0,
Siebtel,1,
Siegel,1,
Siel,0,
Sigel,0,
Simpel,0,
Singdrossel,1,Drossel
Skrupel,0,
Sockel,0,
Songtitel,1,Vizetitel
Spachtel,1,
Spaniel,0,
Spargel,0,
Spassvogel,0,
Spatel,1,
Speichel,1,
Spektakel,0,
Spiegel,1,
Spiel,0,
Spielregel,1,Regel
Spindel,0,
Spinnwirtel,0,
Spitzel,1,
Sprengel,0,
Sprudel,1,
Stachel,0,
Stadtviertel,1,Viertel
Staffel,1,
Stängel,1,
Stapel,1,
Stecknadel,0,
Steigbügel,1,Bügel
Stempel,1,
Stengel,0,
Stiefel,0,
Stiel,0,
Stöckel,1,
Stoffwechsel,1,Wechsel
Stoppel,0,
Stöpsel,1,
Streusel,0,
Stricknadel,0,
Striezel,0,
Strobel,0,
Strudel,1,
Stummel,1,
Superteufel,0,
Tabernakel,0,
Tadel,1,
Tafel,1,
Tagesspiegel,1,Spiegel
Tarantel,0,
Taumel,1,
Tausendstel,1,
Techtelmechtel,0,
Tegel,0,
Telegabel,1,Gabel
Telespiel,0,
Tempel,0,
Teufel,0,
Tiegel,0,
Tingeltangel,0,
Titel,1,
Tölpel,0,
Trampel,1,
Triangel,0,
Tripel,0,
Trödel,1,
Trommel,1,
Trottel,0,
Trubel,0,
Trüffel,0,
Tümpel,0,
Tunnel,0,
Überbleibsel,0,
Übermittel,1,Mittel
Ulenspiegel,1,Spiegel
Umsonstwichtel,1,Wichtel
Unterkapitel,0,
Unterschenkel,0,
Untersegel,1,Segel
Urenkel,0,
Urlaubsziel,0,
Urmel,0,
Ururenkel,0,
Vehikel,0,
Verhütungsmittel,1,Mittel
Viertel,1,
Villenviertel,1,Viertel
Vizetitel,1,Vizetitel
Voegel,0,
Vogel,0,
Vokabel,0,
Vollkugel,0,
Vordergabel,1,Gabel
Vorinsel,0,
Vorsegel,1,Segel
Vorspiel,0,
Wachtel,1,
Waffel,0,
Wandel,1,
Waschmittel,1,Mittel
Wasserkessel,0,
Wechsel,1,
Wedel,1,
Weichsel,0,
Weinhandel,1,Handel
Welthandel,1,Handel
Wendel,1,
Werbeartikel,0,
Wertewandel,1,Wandel
Wichtel,1,
Wickel,1,
Wiesel,1,
Wimpel,0,
Windbeutel,0,
Windel,1,
Winkel,0,
Wipfel,0,
Wirbel,1,
Wohnviertel,1,Viertel
Wortwechsel,1,Wechsel
Wundermittel,1,Mittel
Würfel,1,
Wurzel,1,
Yamswurzel,1,Wurzel
Zauberkreisel,1,Kreisel
Zehennagel,0,
Zehntel,1,
Zettel,0,
Ziegel,0,
Ziel,0,
Zimbel,0,
Zingel,0,
Zipfel,1,
Zirkel,1,
Zobel,0,
Zottel,0,
Zügel,1,
Zuviel,0,
Zwanzigstel,1,
Zweidrittel,1,Drittel
Zweifel,1,
Zweitschlüssel,1,Schüssel
Zwickel,0,
Zwiebel,0,
Zwölftel,1,
