lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Amusement,,amusieren,VVINF,100,0,1,,,,Amüsement
Erstengagement,,erstengagieren,VVINF,3,0,1,,,,Engagement
Baumanagement,,baumanagieren,VVINF,106,0,1,,,,Management
Beteiligungsmanagement,,beteiligungsmanagieren,VVINF,48,0,1,,,,Management
Finanzmanagement,,finanzmanagieren,VVINF,242,0,1,,,,Management
Gesundheitsmanagement,,gesundheitsmanagieren,VVINF,669,0,1,,,,Management
Hotelmanagement,,hotelmanagieren,VVINF,56,0,1,,,,Management
Informationsmanagement,,informationsmanagieren,VVINF,421,0,1,,,,Management
Klinikmanagement,,klinikmanagieren,VVINF,8,0,1,,,,Management
Krisenmanagement,,krisenmanagieren,VVINF,649,0,1,,,,Management
Missmanagement,,missmanagieren,VVINF,150,0,1,,,,Management
Produktmanagement,,produktmanagieren,VVINF,347,0,1,,,,Management
Projektmanagement,,projektmanagieren,VVINF,2631,0,1,,,,Management
Qualitätsmanagement,,qualitätsmanagieren,VVINF,2465,0,1,,,,Management
Risikomanagement,,risikomanagieren,VVINF,1373,0,1,,,,Management
Selbstmanagement,,selbstmanagieren,VVINF,356,0,1,,,,Management
Seminarmanagement,,seminarmanagieren,VVINF,3,0,1,,,,Management
Teammanagement,,teammanagieren,VVINF,21,0,1,,,,Management
Vertragsmanagement,,vertragsmanagieren,VVINF,92,0,1,,,,Management
Antielement,,antielieren,VVINF,2,0,0,,,,
Bauelement,,bauelieren,VVINF,1217,0,0,,,,
Deckenelement,,deckenelieren,VVINF,68,0,0,,,,
Dichtelement,,dichtelieren,VVINF,146,0,0,,,,
Einzelelement,,einzelelieren,VVINF,146,0,0,,,,
Holzelement,,holzelieren,VVINF,85,0,0,,,,
Spielelement,,spielelieren,VVINF,228,0,0,,,,
Spurenelement,,spurenelieren,VVINF,1648,0,0,,,,
Stilelement,,stilelieren,VVINF,495,0,0,,,,
Subelement,,subelieren,VVINF,3,0,0,,,,
Unterelement,,unterelieren,VVINF,54,0,0,,,,
Urelement,,urelieren,VVINF,28,0,0,,,,
Management,,managieren,VVINF,22604,0,1,1,,,
Metastatement,,metastatieren,VVINF,1,0,0,,,,
Understatement,,understatieren,VVINF,413,0,0,,,,
Abonnement,,abonnieren,VVINF,2349,3160,1,1,,,
Agreement,,agreieren,VVINF,593,0,0,,,,
Amüsement,,amüsieren,VVINF,186,655,1,1,,,
Appartement,,appartieren,VVINF,3112,0,1,1,,,
Appeasement,,appeasieren,VVINF,88,0,1,1,,,
Arrangement,,arrangieren,VVINF,3436,1028,1,1,,,
Arrondissement,,arrondissieren,VVINF,175,0,1,1,,,
Attachement,,attachieren,VVINF,41,0,1,1,,,
Avertissement,,avertissieren,VVINF,14,0,1,1,,,
Bombardement,,bombardieren,VVINF,543,296,1,1,,,
Departement,,departieren,VVINF,1313,0,1,1,,,
Deplacement,,deplacieren,VVINF,0,0,1,1,,,
Element,,elieren,VVINF,39301,0,0,,,,
Engagement,,engagieren,VVINF,33808,5237,1,1,,,
Etablissement,,etablissieren,VVINF,424,0,1,1,,,
Exkrement,,exkrieren,VVINF,337,0,1,1,,,
Gouvernement,,gouvernieren,VVINF,98,0,1,1,,,
Inkrement,,inkrieren,VVINF,80,0,1,1,,,
Klassement,,klassieren,VVINF,122,0,1,1,,,
Komplement,,komplieren,VVINF,153,0,1,1,,,
Logement,,logieren,VVINF,11,46,1,1,,,
Raffinement,,raffinieren,VVINF,63,15,1,1,,,
Räsonnement,,räsonnieren,VVINF,30,0,1,1,,,
Reglement,,reglieren,VVINF,1159,0,1,1,,,
Renseignement,,renseignieren,VVINF,3,0,1,1,,,
Revirement,,revirieren,VVINF,13,0,1,1,,,
Settlement,,settlieren,VVINF,127,0,0,,,,
Statement,,statieren,VVINF,6644,0,0,,,,
Supplement,,supplieren,VVINF,756,0,1,1,,,
Zement,,zieren,VVINF,1100,301,0,,,,
