lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Nichtabonnent,,nichtabonnieren,VVINF,10,0,1,,,,Abonnent
Erstabsolvent,,erstabsolvieren,VVINF,3,0,1,,,,Absolvent
Doppelagent,,doppelagieren,VVINF,68,0,1,,,,Agent
Multiagent,,multiagieren,VVINF,0,0,1,,,,Agent
Popagent,,popagieren,VVINF,1,0,1,,,,Agent
Superagent,,superagieren,VVINF,41,0,1,,,,Agent
Oberassistent,,oberassistieren,VVINF,67,0,1,,,,Assistent
Rettungsassistent,,rettungsassistieren,VVINF,481,0,1,,,,Assistent
Unterassistent,,unterassistieren,VVINF,8,0,1,,,,Assistent
Vizedirigent,,vizedirigieren,VVINF,21,0,1,,,,Dirigent
Superintendent,,superintendieren,VVINF,909,0,1,1.0,,,
Erstinteressent,,erstinteressieren,VVINF,3,0,1,,,,Interessent
Mitinteressent,,mitinteressieren,VVINF,3,0,1,,,,Interessent
Konkurent,,konkurieren,VVINF,167,0,1,,,,Konkurrent
Mitkonkurrent,,mitkonkurrieren,VVINF,36,0,1,,,,Konkurrent
Rechtskonsulent,,rechtskonsulieren,VVINF,5,0,1,,,,Konsulent
Rekonvaleszent,,rekonvaleszieren,VVINF,89,0,1,1.0,,,
Kassenpatient,,kassenpatiieren,VVINF,416,0,1,,,,Patient
Mitpatient,,mitpatiieren,VVINF,188,0,1,,,,Patient
Bundespräsident,,bundespräsidieren,VVINF,4845,0,1,,,,Präsident
Gegenpräsident,,gegenpräsidieren,VVINF,0,0,1,,,,Präsident
Ministerpräsident,,ministerpräsidieren,VVINF,10827,0,1,,,,Präsident
Oberpräsident,,oberpräsidieren,VVINF,148,0,1,,,,Präsident
Vizepräsident,,vizepräsidieren,VVINF,3422,0,1,,,,Präsident
Koproduzent,,koproduzieren,VVINF,66,1,1,,,,Produzent
Mitproduzent,,mitproduzieren,VVINF,18,9,1,,,,Produzent
Nebenproduzent,,nebenproduzieren,VVINF,0,0,1,,,,Produzent
Personalreferent,,personalreferieren,VVINF,125,0,1,,,,Referent
Mitregent,,mitregieren,VVINF,27,54,1,,,,Regent
Prinzregent,,prinzregieren,VVINF,141,0,1,,,,Regent
Mitrezensent,,mitrezensieren,VVINF,2,0,1,,,,Rezensent
Vorrezensent,,vorrezensieren,VVINF,17,0,1,,,,Rezensent
Mitstudent,,mitstudieren,VVINF,141,0,1,,,,Student
Nichtstudent,,nichtstudieren,VVINF,14,0,1,,,,Student
Werkstudent,,werkstudieren,VVINF,208,0,1,,,,Student
Abiturient,,abituriieren,VVINF,1837,0,1,1.0,,,
Abonnent,,abonnieren,VVINF,2986,3160,1,1.0,,,
Absolvent,,absolvieren,VVINF,5897,4642,1,1.0,,,
Absorbent,,absorbieren,VVINF,9,354,1,1.0,,,
Agent,,agieren,VVINF,5839,3321,1,1.0,,,
Äquivalent,,äquivalieren,VVINF,869,0,1,1.0,,,
Assistent,,assistieren,VVINF,4955,154,1,1.0,,,
Aszendent,,aszendieren,VVINF,442,0,1,1.0,,,
Deszendent,,deszendieren,VVINF,40,0,1,1.0,,,
Dezernent,,dezernieren,VVINF,523,0,1,1.0,,,
Dirigent,,dirigieren,VVINF,3662,367,1,1.0,,,
Disponent,,disponieren,VVINF,381,108,1,1.0,,,
Dissident,,dissidieren,VVINF,483,0,1,1.0,,,
Dozent,,dozieren,VVINF,6693,41,1,1.0,,,
Emittent,,emittieren,VVINF,934,89,1,1.0,,,
Evolvent,,evolvieren,VVINF,2,0,1,1.0,,,
Expedient,,expediieren,VVINF,21,0,1,1.0,,,
Exponent,,exponieren,VVINF,441,48,1,1.0,,,
Gradient,,gradiieren,VVINF,251,0,1,1.0,,,
Importent,,importieren,VVINF,0,1755,1,1.0,,,
Inserent,,inserieren,VVINF,434,412,1,1.0,,,
Inspizient,,inspiziieren,VVINF,40,0,1,1.0,,,
Insurgent,,insurgieren,VVINF,12,0,1,1.0,,,
Interessent,,interessieren,VVINF,12120,17554,1,1.0,,,
Intervent,,intervieren,VVINF,16,0,1,1.0,,,
Koeffizient,,koeffiziieren,VVINF,312,0,1,1.0,,,
Komponent,,komponieren,VVINF,9,607,1,1.0,,,
Konkurrent,,konkurrieren,VVINF,7740,901,1,1.0,,,
Konsulent,,konsulieren,VVINF,24,0,1,1.0,,,
