lemma,true_lemma,merge
Drittanbieter,1,Anbieter
Werbeaufkleber,1,Aufkleber
Vierbeiner,1,Beiner
Sparberater,1,Berater
Steuerberater,1,Berater
Freiberufler,1,Berufler
Urbewohner,1,Bewohner
Mitbürger,1,Bürger
Nichtbürger,1,Bürger
Normalbürger,1,Bürger
Staatsbürger,1,Bürger
Nebendarsteller,1,Darsteller
Ureinwohner,1,Einwohner
Autofahrer,1,Fahrer
Busfahrer,1,Fahrer
Radfahrer,1,Fahrer
Rennfahrer,1,Fahrer
Seefahrer,1,Fahrer
Wallfahrer,1,Fahrer
Billigflieger,1,Flieger
Thronfolger,1,Folger
Nachfrager,1,Frager
Insektenfresser,1,Fresser
Menschenfresser,1,Fresser
Geschäftsführer,1,Führer
Marktführer,1,Führer
Rädelsführer,1,Führer
Reiseführer,1,Führer
Restaurantführer,1,Führer
Mitgesellschafter,1,Gesellschafter
Befehlshaber,1,Haber
Filmliebhaber,1,Haber
Liebhaber,1,Haber
Oberbefehlshaber,1,Haber
Statthalter,1,Halter
Strumpfhalter,1,Halter
Einzelhändler,1,Händler
Fachhändler,1,Händler
Fordhändler,1,Händler
Großhändler,1,Händler
Reifenhändler,1,Händler
Telehandler,1,Händler
Bildhauer,1,Hauer
Fensterheber,1,Heber
Wildhüter,1,Hüter
Nussknacker,1,Knacker
Turbolader,1,Lader
Fahrlehrer,1,Lehrer
Bürgermeister,1,Meister
Oberbürgermeister,1,Meister
Rechenmeister,1,Meister
Schatzmeister,1,Meister
Tonmeister,1,Meister
Vizemeister,1,Meister
Wachtmeister,1,Meister
Waldmeister,1,Meister
Weltmeister,1,Meister
Arbeitnehmer,1,Nehmer
Auftragnehmer,1,Nehmer
Unterordner,1,Ordner
Bürgerrechtler,1,Rechtler
Menschenrechtler,1,Rechtler
Strafrechtler,1,Rechtler
Binnenschiffer,1,Schiffer
Mitschüler,1,Schüler
Zweisitzer,1,Sitzer
Erstspender,1,Spender
Gegenspieler,1,Spieler
Mitspieler,1,Spieler
Schauspieler,1,Spieler
Supersportler,1,Sportler
Gabelstapler,1,Stapler
Hochstapler,1,Stapler
Superstürmer,1,Stürmer
Wiedertäufer,1,Täufer
Kostenträger,1,Träger
Tonträger,1,Träger
Subunternehmer,1,Unternehmer
Spielverderber,1,Verderber
Besserverdiener,1,Verdiener
Wiederverkäufer,1,Verkäufer
Krankenversicherer,1,Versicherer
Rangierverteiler,1,Verteiler
Hauptvertreter,1,Vertreter
Stellvertreter,1,Vertreter
Schlafwandler,1,Wandler
Einzeiler,1,Zeiler
Zweizeiler,1,Zeiler
Korkenzieher,1,Zieher
Beiner,1,
Gabler,1,
Kracher,1,
Lacher,1,
Macher,1,
Tuchmacher,1,
Verursacher,1,
Widersacher,1,
Backpacker,1,
Hacker,1,
Hijacker,1,
Knacker,1,
Zerhacker,1,
Bäcker,1,
Radler,1,
Städter,1,
Erschaffer,1,
Schaffer,1,
Bewirtschafter,1,
Botschafter,1,
Gesellschafter,1,
Gewerkschafter,1,
Kundschafter,1,
Magier,1,
Nagler,1,
Strahler,1,
Zahler,1,
Erzähler,1,
Wähler,1,
Zähler,1,
Nachahmer,1,
Bahner,1,
Eisenbahner,1,
Mahner,1,
Beifahrer,1,
Fahrer,1,
Mitfahrer,1,
Trainer,1,
Makler,1,
Entkalker,1,
Schalker,1,
Abpraller,1,
Baller,1,
Basketballer,1,
Fußballer,1,
Metaller,1,
Schaller,1,
Schwaller,1,
Volleyballer,1,
Holzfäller,1,
Anhalter,1,
Ausschalter,1,
Buchhalter,1,
Falter,1,
Gestalter,1,
Halter,1,
Mitgestalter,1,
Mitveranstalter,1,
Schalter,1,
Veranstalter,1,
Verwalter,1,
Behälter,1,
Zuhälter,1,
Walzer,1,
Wälzer,1,
Hammer,1,
Spammer,1,
Beamter,1,
Lander,1,
Ausländer,1,
Linkshänder,1,
Rechtshänder,1,
Schänder,1,
Ständer,1,
Treuhänder,1,
Pranger,1,
Abgänger,1,
Anfänger,1,
Anhänger,1,
Aufhänger,1,
Einzelgänger,1,
Empfänger,1,
Fänger,1,
Fußgänger,1,
Grenzgänger,1,
Hänger,1,
Kinogänger,1,
Sänger,1,
Spaziergänger,1,
Vorgänger,1,
Banker,1,
Tanker,1,
Spanner,1,
Pflanzer,1,
Schwänzer,1,
Tänzer,1,
Stapler,1,
Rapper,1,
Schnapper,1,
Parlamentarier,1,
Vegetarier,1,
Zuparker,1,
Stärker,1,
Verstärker,1,
Erbarmer,1,
Farmer,1,
Schwärmer,1,
Pfarrer,1,
Parser,1,
Starter,1,
Anwärter,1,
Wärter,1,
Anfasser,1,
Anlasser,1,
Aufpasser,1,
Erblasser,1,
Hasser,1,
Verfasser,1,
Laster,1,
Ausstatter,1,
Bestatter,1,
Besatzer,1,
Kratzer,1,
Patzer,1,
Platzer,1,
Schwätzer,1,
Hubschrauber,1,
Schnauber,1,
Schrauber,1,
Tragschrauber,1,
Urlauber,1,
Räuber,1,
Laufer,1,
Staufer,1,
Ausläufer,1,
Käufer,1,
Läufer,1,
Mitläufer,1,
Säufer,1,
Verkäufer,1,
Vorläufer,1,
Sauger,1,
Säuger,1,
Pauker,1,
Träumer,1,
Maurer,1,
Mauser,1,
Schnauzer,1,
Anbauer,1,
Bauer,1,
Umbauer,1,
Eroberer,1,
Zauberer,1,
Anbeter,1,
Abweichler,1,
Buchler,1,
Heuchler,1,
Schnorchler,1,
Sprachler,1,
Teichler,1,
Tischler,1,
Rechner,1,
Unterzeichner,1,
Zeichner,1,
Dreiachser,1,
Fuchser,1,
Wichser,1,
Armleuchter,1,
Ausrichter,1,
Beleuchter,1,
Beobachter,1,
Betrachter,1,
Dichter,1,
Fechter,1,
Frachter,1,
Gutachter,1,
Leuchter,1,
Oberrichter,1,
Pächter,1,
Richter,1,
Schiedsrichter,1,
Schlächter,1,
Sichter,1,
Trichter,1,
Umrichter,1,
Unterrichter,1,
Verächter,1,
Verdichter,1,
Verfechter,1,
Wächter,1,
Züchter,1,
Entwickler,1,
Ruckler,1,
Streckler,1,
Wickler,1,
Glöckner,1,
Trockner,1,
Knackser,1,
Siedeler,1,
Einwanderer,1,
Federer,1,
Förderer,1,
Herausforderer,1,
Hinderer,1,
Plünderer,1,
Ruderer,1,
Wanderer,1,
Zuwanderer,1,
Prediger,1,
Verteidiger,1,
Staedtler,1,
Breaker,1,
Beamer,1,
Hebler,1,
Nebler,1,
Triebler,1,
Vertriebler,1,
Krebser,1,
Abstecher,1,
Brecher,1,
Einbrecher,1,
Einsprecher,1,
Fürsprecher,1,
Lautsprecher,1,
Riecher,1,
Sprecher,1,
Stecher,1,
Verbrecher,1,
Zecher,1,
Decker,1,
Entdecker,1,
