lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Nebenakteur,,nebenaktieren,VVINF,6,0,1,,,,Akteur
Obercharmeur,,obercharmieren,VVINF,0,0,1,,,,Charmeur
Intercoiffeur,,intercoiffieren,VVINF,2,0,1,,,,Coiffeur
Superfriseur,,superfrisieren,VVINF,0,0,1,,,,Friseur
Gegengouverneur,,gegengouvernieren,VVINF,0,0,1,,,,Gouverneur
Vizegouverneur,,vizegouvernieren,VVINF,13,0,1,,,,Gouverneur
Motorimporteur,,motorimportieren,VVINF,0,0,1,,,,Importeur
Bauingenieur,,bauingeniieren,VVINF,753,0,1,,,,Ingenieur
Maschinenbauingenieur,,maschinenbauingeniieren,VVINF,98,0,1,,,,Ingenieur
Oberingenieur,,oberingeniieren,VVINF,49,0,1,,,,Ingenieur
Umweltingenieur,,umweltingeniieren,VVINF,40,0,1,,,,Ingenieur
Oberkommandeur,,oberkommandieren,VVINF,6,0,1,,,,Kommandeur
Mitkonstrukteur,,mitkonstruktieren,VVINF,1,0,1,,,,Konstrukteur
Oberkontrolleur,,oberkontrollieren,VVINF,3,0,1,,,,Kontrolleur
Elektromonteur,,elektromontieren,VVINF,37,0,1,,,,Monteur
Obermonteur,,obermontieren,VVINF,9,0,1,,,,Monteur
Chefredakteur,,chefredaktieren,VVINF,2851,0,1,,,,Redakteur
Eredakteur,,eredaktieren,VVINF,0,0,1,,,,Redakteur
Koredakteur,,koredaktieren,VVINF,0,0,1,,,,Redakteur
Musikredakteur,,musikredaktieren,VVINF,75,0,1,,,,Redakteur
Zeitungsredakteur,,zeitungsredaktieren,VVINF,43,0,1,,,,Redakteur
Grandseigneur,,grandseignieren,VVINF,81,0,1,,,,Seigneur
Monseigneur,,monseignieren,VVINF,6,0,1,,,,Seigneur
Affineur,,affinieren,VVINF,9,0,1,1.0,,,
Akteur,,aktieren,VVINF,13310,0,1,1.0,,,
Ambassadeur,,ambassadieren,VVINF,21,0,1,1.0,,,
