lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Abhaengigkeit,,abhaengig,ADJ.,42,0,1,,,,Abhängigkeit
Aehnlichkeit,,aehnlich,ADJ.,78,0,1,,,,Ähnlichkeit
Aufmerksamheit,,aufmerksame,ADJ.,2,0,1,,,,Aufmerksamkeit
Nichtbekanntheit,,nichtbekannt,ADJ.,0,6,1,,,,Bekanntheit
Nichtbenutzbarkeit,,nichtbenutzbar,ADJ.,2,0,1,,,,Benutzbarkeit
Beruehmtheit,,beruehmt,ADJ.,7,173,1,,,,Berühmtheit
Obereinheit,,oberein,ADJ.,0,0,1,,,,Einheit
Nichterreichbarkeit,,nichterreichbar,ADJ.,53,1,1,,,,Erreichbarkeit
Empfindungsfähigkeit,,empfindungsfähig,ADJ.,45,0,1,,,,Fähigkeit
Faelligkeit,,faellig,ADJ.,5,0,1,,,,Fälligkeit
Pressefreiheit,,pressefrei,ADJ.,1560,1,1,,,,Freiheit
Anfahrgelegenheit,,anfahrgelegen,ADJ.,0,0,1,,,,Gelegenheit
Sitzgelegenheit,,sitzgelegen,ADJ.,1028,0,1,,,,Gelegenheit
Reisegeschwindigkeit,,reisegeschwind,ADJ.,219,0,1,,,,Geschwindigkeit
Oberhoheit,,oberho,ADJ.,208,0,1,,,,Hoheit
Pilzkrankheit,,pilzkrank,ADJ.,179,0,1,,,,Krankheit
Auswahlmöglichkeit,,auswahlmöglich,ADJ.,816,0,1,,,,Möglichkeit
Moeglichkeit,,moeglich,ADJ.,0,0,1,,,,Möglichkeit
Unterkunftsmöglichkeit,,unterkunftsmöglich,ADJ.,170,0,1,,,,Möglichkeit
Gegenöffentlichkeit,,gegenöffentlich,ADJ.,198,0,1,,,,Öffentlichkeit
Oeffentlichkeit,,oeffentlich,ADJ.,204,0,1,,,,Öffentlichkeit
Rechtstaatlichkeit,,rechtstaatlich,ADJ.,89,119,1,,,,Rechtsstaatlichkeit
Schoenheit,,schoen,ADJ.,89,0,1,,,,Schönheit
Schlagregensicherheit,,schlagregensicher,ADJ.,2,3,1,,,,Sicherheit
Erwerbstätigkeit,,erwerbstätig,ADJ.,1843,1023,1,,,,Tätigkeit
Konzerttätigkeit,,konzerttätig,ADJ.,130,0,1,,,,Tätigkeit
Nebentätigkeit,,nebentätig,ADJ.,1090,0,1,,,,Tätigkeit
Unberechbarkeit,,unberechbar,ADJ.,0,4,1,,,,Unberechenbarkeit
Unmuendigkeit,,unmuendig,ADJ.,0,0,1,,,,Unmündigkeit
Unregelmaessigkeit,,unregelmaessig,ADJ.,6,0,1,,,,Unregelmäßigkeit
Unregelmässigkeit,,unregelmässig,ADJ.,104,419,1,,,,Unregelmäßigkeit
Untaetigkeit,,untaetig,ADJ.,2,0,1,,,,Untätigkeit
Nichtunterlegenheit,,nichtunterlegen,ADJ.,15,0,1,,,,Unterlegenheit
Vollstaendigkeit,,vollstaendig,ADJ.,23,0,1,,,,Vollständigkeit
Nichtwiederholbarkeit,,nichtwiederholbar,ADJ.,0,1,1,,,,Wiederholbarkeit
Urwirklichkeit,,urwirklich,ADJ.,5,0,1,,,,Wirklichkeit
Publikumswirksamkeit,,publikumswirksam,ADJ.,16,286,1,,,,Wirksamkeit
Angewohnheit,,angewohn,ADJ.,1115,0,1,,angewöhnt,ADJ.,
Anstaendigkeit,Anständigkeit,anstaendig,ADJ.,75,0,1,,anständig,ADJ.,
Bosheit,,bose,ADJ.,739,0,1,,böse,ADJ.,
Frömmigkeit,,frömm,ADJ.,1151,0,1,,fromm,ADJ.,
Gerechtigkeit,,gerechtig,ADJ.,13144,0,1,,gerecht,ADJ.,
Geschwindigkeit,,geschwindig,ADJ.,23142,0,1,,geschwind,ADJ.,
Gewohnheit,,gewohn,ADJ.,5017,0,1,,gewohnt,ADJ.,
Hoheit,,ho,ADJ.,1142,0,1,,hoch,ADJ.,
Kleinigkeit,,kleinig,ADJ.,7922,0,1,,klein,ADJ.,
Luftdichtigkeit,,luftdichtig,ADJ.,47,0,1,,luftdicht,ADJ.,
Müdigkeit,,müdig,ADJ.,3294,0,1,,müde,ADJ.,
Neuigkeit,,neuig,ADJ.,9898,0,1,,neu,ADJ.,
Nichtabgeschlossenheit,,nichtabgeschlossen,ADJ.,1,3,1,,abgeschlossen,ADJ.,
Nichtabstreitbarkeit,,nichtabstreitbar,ADJ.,3,0,1,,abstreitbar,ADJ.,
Nichterweislichkeit,,nichterweislich,ADJ.,5,0,1,,erweislich,ADJ.,
Nichtzurechenbarkeit,,nichtzurechenbar,ADJ.,0,0,1,,zurechenbar,ADJ.,
Reinigkeit,,reinig,ADJ.,7,0,1,,rein,ADJ.,
Undichtigkeit,,undichtig,ADJ.,538,4,1,,undicht,ADJ.,
Vielheit,,viel,ADJ.,288,0,1,,viel,ADV,
Wenigkeit,,wenig,ADJ.,932,0,1,,wenig,ADV|PI.*,
Mehrheit,,mehr,ADJ.,24776,0,1,,mehr,ADV|PI.*,
Dreiheit,,drei,ADJ.,109,0,1,,drei,CARD,
Einheit,,ein,ADJ.,34410,0,1,,eins,CARD,
Christenheit,,christen,ADJ.,1038,0,1,,Christ,NN,
Einzelheit,,einzel,ADJ.,7101,0,1,,Einzel,NN,
Gottheit,,gott,ADJ.,2733,0,1,,Gott,NN,
Kindheit,,kind,ADJ.,11711,0,1,,Kind,NN,
Menschheit,,mensch,ADJ.,15363,0,1,,Mensch,NN,
Staatigkeit,,staatig,ADJ.,0,0,1,,Staat,NN,
Torheit,,tor,ADJ.,404,0,1,,Tor,NN,
Urgottheit,,urgott,ADJ.,10,0,1,,Gott,NN,
Zwistigkeit,,zwist,ADJ.,143,0,1,,Zwist,NN,
Abartigkeit,,abartig,ADJ.,98,1155,1,1,,,
Abartigkeit,,abart,ADJ.,98,0,1,,,,
Abgeklärtheit,,abgeklärt,ADJ.,153,253,1,1,,,
Abgeklärtheit,,abgeklärte,ADJ.,153,0,1,,,,
Abgeschiedenheit,,abgeschieden,ADJ.,684,459,1,1,,,
Abgeschiedenheit,,abgeschiedend,ADJ.,684,0,1,,,,
Abgeschiedenheit,,abgeschiedene,ADJ.,684,0,1,,,,
Abgeschlagenheit,,abgeschlagen,ADJ.,261,507,1,1,,,
Abgeschlagenheit,,abgeschlagend,ADJ.,261,0,1,,,,
Abgeschlagenheit,,abgeschlagene,ADJ.,261,0,1,,,,
Abgrenzbarkeit,,abgrenzbar,ADJ.,16,267,1,1,,,
Abhaengigkeit,,abhaeng,ADJ.,42,0,1,,,,
Abhängigkeit,,abhängig,ADJ.,11075,24063,1,1,,,
Abhängigkeit,,abhäng,ADJ.,11075,0,1,,,,
Abscheulichkeit,,abscheulich,ADJ.,78,912,1,1,,,
Absetzbarkeit,,absetzbar,ADJ.,237,1147,1,1,,,
Absichtlichkeit,,absichtlich,ADJ.,17,5217,1,1,,,
Absolutheit,,absolut,ADJ.,142,94105,1,1,,,
Absolutheit,,absolute,ADJ.,142,0,1,,,,
Absonderlichkeit,,absonderlich,ADJ.,90,324,1,1,,,
Abwegigkeit,,abwegig,ADJ.,15,1857,1,1,,,
Abwegigkeit,,abweg,ADJ.,15,0,1,,,,
Abwesenheit,,abwesend,ADJ.,4500,1321,1,1,,,
Abwesenheit,,abwesen,ADJ.,4500,0,1,,,,
Abwesenheit,,abwesene,ADJ.,4500,0,1,,,,
Achtlosigkeit,,achtlosig,ADJ.,31,0,1,1,,,
Achtlosigkeit,,achtlos,ADJ.,31,643,1,,,,
Achtsamkeit,,achtsam,ADJ.,1203,1095,1,1,,,
Ähnlichkeit,,ähnlich,ADJ.,5510,109792,1,1,,,
Ahnungslosigkeit,,ahnungslos,ADJ.,334,2185,1,1,,,
Ahnungslosigkeit,,ahnungslosig,ADJ.,334,0,1,,,,
Aktualisierbarkeit,,aktualisierbar,ADJ.,5,38,1,1,,,
Albernheit,,albern,ADJ.,255,3654,1,1,,,
Albernheit,,alberne,ADJ.,255,0,1,,,,
Allgegenwärtigkeit,,allgegenwärtig,ADJ.,77,3006,1,1,,,
Allgegenwärtigkeit,,allgegenwärt,ADJ.,77,0,1,,,,
Allgemeingültigkeit,,allgemeingültig,ADJ.,259,1485,1,1,,,
Allgemeingültigkeit,,allgemeingült,ADJ.,259,0,1,,,,
Allgemeinheit,,allgemein,ADJ.,4080,102206,1,1,,,
Allgemeinheit,,allgemeine,ADJ.,4080,0,1,,,,
Alltäglichkeit,,alltäglich,ADJ.,289,10916,1,1,,,
Alltagstauglichkeit,,alltagstauglich,ADJ.,353,910,1,1,,,
Alternativlosigkeit,,alternativlos,ADJ.,87,670,1,1,,,
Alternativlosigkeit,,alternativlosig,ADJ.,87,0,1,,,,
Andersartigkeit,,andersartig,ADJ.,395,559,1,1,,,
Andersartigkeit,,andersart,ADJ.,395,0,1,,,,
Anfahrgelegenheit,,anfahrgelegend,ADJ.,0,0,1,,,,
Anfahrgelegenheit,,anfahrgelegene,ADJ.,0,0,1,,,,
Anfälligkeit,,anfällig,ADJ.,712,3658,1,1,,,
Anfälligkeit,,anfäll,ADJ.,712,0,1,,,,
Anfechtbarkeit,,anfechtbar,ADJ.,84,482,1,1,,,
Angehörigkeit,,angehörig,ADJ.,27,452,1,1,,,
Angehörigkeit,,angehör,ADJ.,27,0,1,,,,
Angelegenheit,,angelegen,ADJ.,15805,5,1,1,,,
Angelegenheit,,angelegend,ADJ.,15805,0,1,,,,
Angelegenheit,,angelegene,ADJ.,15805,0,1,,,,
Angemessenheit,,angemessen,ADJ.,755,19928,1,1,,,
Angemessenheit,,angemessend,ADJ.,755,0,1,,,,
Angemessenheit,,angemessene,ADJ.,755,0,1,,,,
Angeschlagenheit,,angeschlagen,ADJ.,3,2244,1,1,,,
Angeschlagenheit,,angeschlagend,ADJ.,3,0,1,,,,
Angeschlagenheit,,angeschlagene,ADJ.,3,0,1,,,,
Angewiesenheit,,angewiesen,ADJ.,29,5288,1,1,,,
