lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Antiallergik,,antiallergisch,ADJ.,27,100,1,1,,,
Umweltanalytik,,umweltanalytisch,ADJ.,97,5,1,,,,Analytik
Nordatlantik,,nordatlantisch,ADJ.,465,133,1,,,,Atlantik
Südatlantik,,südatlantisch,ADJ.,98,6,1,,,,Atlantik
Transatlantik,,transatlantisch,ADJ.,22,724,1,,,,Atlantik
Hydrodynamik,,hydrodynamisch,ADJ.,52,155,1,,,,Dynamik
Unterhaltungselektronik,,unterhaltungselektronisch,ADJ.,1074,1,1,,,,Elektronik
Wirtschaftsethik,,wirtschaftsethisch,ADJ.,233,53,1,,,,Ethik
Superheuristik,,superheuristisch,ADJ.,0,0,1,,,,Heuristik
Geoinformatik,,geoinformatisch,ADJ.,198,0,1,,,,Informatik
Wirtschaftsinformatik,,wirtschaftsinformatisch,ADJ.,1040,0,1,,,,Informatik
Nichtkatholik,,nichtkatholisch,ADJ.,47,49,1,,,,Katholik
Neoklassik,,neoklassisch,ADJ.,90,166,1,,,,Klassik
Poliklinik,,poliklinisch,ADJ.,639,19,1,,,,Klinik
Frauenklinik,,frauenklinisch,ADJ.,387,1,1,,,,Klinik
Nervenklinik,,nervenklinisch,ADJ.,113,0,1,,,,Klinik
Kinderklinik,,kinderklinisch,ADJ.,758,0,1,,,,Klinik
Vorklinik,,vorklinisch,ADJ.,64,85,1,,,,Klinik
Metakritik,,metakritisch,ADJ.,34,2,1,,,,Kritik
Telekritik,,telekritisch,ADJ.,0,0,1,,,,Kritik
Mechanik,,mechanisch,ADJ.,2870,10703,1,1,,,
Hypermotorik,,hypermotorisch,ADJ.,1,1,1,,,,Motorik
Filmmusik,,filmmusisch,ADJ.,1399,0,1,,,,Musik
Schallplattenmusik,,schallplattenmusisch,ADJ.,3,0,1,,,,Musik
Festlichentagenneuermusik,,festlichentagenneuermusisch,ADJ.,0,0,1,,,,Musik
Chormusik,,chormusisch,ADJ.,339,0,1,,,,Musik
Blasmusik,,blasmusisch,ADJ.,781,0,1,,,,Musik
Weltmusik,,weltmusisch,ADJ.,430,0,1,,,,Musik
Massenpanik,,massenpanisch,ADJ.,167,0,1,,,,Panik
Torschlusspanik,,torschlusspanisch,ADJ.,96,0,1,,,,Panik
Fotovoltaik,,fotovoltaisch,ADJ.,200,13,1,,,,Photovoltaik
Quantenphysik,,quantenphysisch,ADJ.,673,2,1,,,,Physik
Astrophysik,,astrophysisch,ADJ.,392,4,1,,,,Physik
Metapoetik,,metapoetisch,ADJ.,0,1,1,,,,Poetik
Drogenpolitik,,drogenpolitisch,ADJ.,397,73,1,,,,Politik
Entwicklungspolitik,,entwicklungspolitisch,ADJ.,809,850,1,,,,Politik
Geldpolitik,,geldpolitisch,ADJ.,844,335,1,,,,Politik
Kommunalpolitik,,kommunalpolitisch,ADJ.,1573,1138,1,,,,Politik
Medienpolitik,,medienpolitisch,ADJ.,268,206,1,,,,Politik
Preispolitik,,preispolitisch,ADJ.,547,24,1,,,,Politik
Sparpolitik,,sparpolitisch,ADJ.,318,2,1,,,,Politik
Transferpolitik,,transferpolitisch,ADJ.,280,1,1,,,,Politik
Ausländerproblematik,,ausländerproblematisch,ADJ.,7,0,1,,,,Problematik
Alpenrepublik,,alpenrepublisch,ADJ.,167,0,1,,,,Republik
Bundesrepublik,,bundesrepublisch,ADJ.,17320,0,1,,,,Republik
Unterrubrik,,unterrubrisch,ADJ.,169,0,1,,,,Rubrik
Multisensorik,,multisensorisch,ADJ.,11,37,1,,,,Sensorik
Zytostatik,,zytostatisch,ADJ.,170,25,1,,,,Statik
Antriebstechnik,,antriebstechnisch,ADJ.,544,13,1,,,,Technik
Befestigungstechnik,,befestigungstechnisch,ADJ.,99,2,1,,,,Technik
Bildtechnik,,bildtechnisch,ADJ.,32,46,1,,,,Technik
Drucktechnik,,drucktechnisch,ADJ.,437,147,1,,,,Technik
Flocktechnik,,flocktechnisch,ADJ.,2,1,1,,,,Technik
Fluidtechnik,,fluidtechnisch,ADJ.,27,4,1,,,,Technik
Gentechnik,,gentechnisch,ADJ.,3441,3398,1,,,,Technik
Holzbrandtechnik,,holzbrandtechnisch,ADJ.,0,0,1,,,,Technik
Medizintechnik,,medizintechnisch,ADJ.,1803,264,1,,,,Technik
Militärtechnik,,militärtechnisch,ADJ.,80,35,1,,,,Technik
Orthopädieschuhtechnik,,orthopädieschuhtechnisch,ADJ.,21,0,1,,,,Technik
Schweisstechnik,,schweisstechnisch,ADJ.,22,2,1,,,,Technik
Schwimmbadtechnik,,schwimmbadtechnisch,ADJ.,60,0,1,,,,Technik
Supertechnik,,supertechnisch,ADJ.,5,1,1,,,,Technik
Tötungstechnik,,tötungstechnisch,ADJ.,3,0,1,,,,Technik
Leichtathletik,,leichtathletisch,ADJ.,1662,104,1,,,,Thermik
Bustouristik,,bustouristisch,ADJ.,38,1,1,,,,Touristik
Protouristik,,protouristisch,ADJ.,0,0,1,,,,Touristik
Radtouristik,,radtouristisch,ADJ.,17,20,1,,,,Touristik
Didaktik,,didaktisch,ADJ.,1775,3655,1,1,,,
Praktik,,praktisch,ADJ.,3270,67261,1,1,,,
Taktik,,taktisch,ADJ.,6327,7399,1,1,,,
Heraldik,,heraldisch,ADJ.,256,306,1,1,,,
Atlantik,,atlantisch,ADJ.,2843,932,1,1,,,
Semantik,,semantisch,ADJ.,892,2036,1,1,,,
Romantik,,romantisch,ADJ.,3361,11062,1,1,,,
Graphik,,graphisch,ADJ.,1832,4240,1,1,,,
Klassik,,klassisch,ADJ.,3695,48154,1,1,,,
Stochastik,,stochastisch,ADJ.,249,280,1,1,,,
Scholastik,,scholastisch,ADJ.,140,143,1,1,,,
Plastik,,plastisch,ADJ.,5143,3484,1,1,,,
Gymnastik,,gymnastisch,ADJ.,1737,168,1,1,,,
Spastik,,spastisch,ADJ.,215,205,1,1,,,
Phantastik,,phantastisch,ADJ.,351,4617,1,1,,,
Isopathik,,isopathisch,ADJ.,2,21,1,1,,,
Hydraulik,,hydraulisch,ADJ.,729,2181,1,1,,,
Nautik,,nautisch,ADJ.,52,397,1,1,,,
Akrobatik,,akrobatisch,ADJ.,668,587,1,1,,,
Diabolik,,diabolisch,ADJ.,27,374,1,1,,,
Symbolik,,symbolisch,ADJ.,1562,6364,1,1,,,
Robotik,,robotisch,ADJ.,422,35,1,1,,,
Autotechnik,,autotechnisch,ADJ.,68,7,1,1,,,
Technik,,technisch,ADJ.,60849,86663,1,1,,,
Hektik,,hektisch,ADJ.,2780,4512,1,1,,,
Dialektik,,dialektisch,ADJ.,1344,986,1,1,,,
Forensik,,forensisch,ADJ.,159,659,1,1,,,
Ornamentik,,ornamentisch,ADJ.,182,0,1,1,,,
Epik,,episch,ADJ.,131,2316,1,1,,,
Skeptik,,skeptisch,ADJ.,9,7469,1,1,,,
Thermik,,thermisch,ADJ.,905,3987,1,1,,,
Gestik,,gestisch,ADJ.,1362,185,1,1,,,
Domestik,,domestisch,ADJ.,20,4,1,1,,,
Ethik,,ethisch,ADJ.,6770,7747,1,1,,,
Metrik,,metrisch,ADJ.,567,726,1,1,,,
Hermeneutik,,hermeneutisch,ADJ.,618,449,1,1,,,
Organik,,organisch,ADJ.,48,7791,1,1,,,
Eugenik,,eugenisch,ADJ.,252,151,1,1,,,
Apologetik,,apologetisch,ADJ.,88,150,1,1,,,
Energetik,,energetisch,ADJ.,85,6251,1,1,,,
Pädagogik,,pädagogisch,ADJ.,4487,14613,1,1,,,
Demagogik,,demagogisch,ADJ.,4,259,1,1,,,
Gotik,,gotisch,ADJ.,578,2280,1,1,,,
Metamechanik,,metamechanisch,ADJ.,0,0,1,1,,,
Prothetik,,prothetisch,ADJ.,153,0,1,1,,,
Ästhetik,,ästhetisch,ADJ.,4165,8081,1,1,,,
Methodik,,methodisch,ADJ.,2287,5086,1,1,,,
Alkoholik,,alkoholisch,ADJ.,166,1580,1,1,,,
Katholik,,katholisch,ADJ.,4236,26878,1,1,,,
Symphonik,,symphonisch,ADJ.,22,446,1,1,,,
Metaphorik,,metaphorisch,ADJ.,192,818,1,1,,,
Metaphysik,,metaphysisch,ADJ.,1377,1089,1,1,,,
Physik,,physisch,ADJ.,11207,10458,1,1,,,
Periodik,,periodisch,ADJ.,212,1778,1,1,,,
Ionik,,ionisch,ADJ.,1,527,1,1,,,
Biotik,,biotisch,ADJ.,13,138,1,1,,,
Probiotik,,probiotisch,ADJ.,200,217,1,1,,,
Semiotik,,semiotisch,ADJ.,206,201,1,1,,,
Ekliptik,,ekliptisch,ADJ.,191,5,1,1,,,
Judaistik,,judaistisch,ADJ.,90,24,1,1,,,
Arabistik,,arabistisch,ADJ.,72,1,1,1,,,
Logistik,,logistisch,ADJ.,5533,2286,1,1,,,
Syllogistik,,syllogistisch,ADJ.,19,8,1,1,,,
Sophistik,,sophistisch,ADJ.,49,84,1,1,,,
Journalistik,,journalistisch,ADJ.,298,3874,1,1,,,
