lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Nichtakademiker,,nichtakademisch,ADJ.,30,41,1,,,,Akademiker
Antialkoholiker,,antialkoholisch,ADJ.,41,39,1,,,,Alkoholiker
Nichtallergiker,,nichtallergisch,ADJ.,7,12,1,,,,Allergiker
Nichtdiabetiker,,nichtdiabetisch,ADJ.,33,3,1,,,,Diabetiker
Nichtelektroniker,,nichtelektronisch,ADJ.,4,8,1,,,,Elektroniker
Sicherheitsfanatiker,,sicherheitsfanatisch,ADJ.,49,3,1,,,,Fanatiker
Fussballfanatiker,,fussballfanatisch,ADJ.,2,0,1,,,,Fanatiker
Architekturhistoriker,,architekturhistorisch,ADJ.,21,31,1,,,,Historiker
Nichthistoriker,,nichthistorisch,ADJ.,3,1,1,,,,Historiker
Superinformatiker,,superinformatisch,ADJ.,0,0,1,,,,Informatiker
Filmklassiker,,filmklassisch,ADJ.,207,0,1,,,,Klassiker
Antikomiker,,antikomisch,ADJ.,0,0,1,,,,Komiker
Telekomiker,,telekomisch,ADJ.,102,0,1,,,,Komiker
Theaterkritiker,,theaterkritisch,ADJ.,102,0,1,,,,Kritiker
Nichtmathematiker,,nichtmathematisch,ADJ.,13,10,1,,,,Mathematiker
Automechaniker,,automechanisch,ADJ.,202,0,1,,,,Mechaniker
Lithiker,,lithisch,ADJ.,0,1,1,,,,Megalithiker
Nichtmusiker,,nichtmusisch,ADJ.,17,1,1,,,,Musiker
Mitmusiker,,mitmusisch,ADJ.,179,0,1,,,,Musiker
Augenoptiker,,augenoptisch,ADJ.,289,22,1,,,,Optiker
Nichtphysiker,,nichtphysisch,ADJ.,10,23,1,,,,Physiker
Astrophysiker,,astrophysisch,ADJ.,243,4,1,,,,Physiker
Mitphysiker,,mitphysisch,ADJ.,0,0,1,,,,Physiker
Tierheilpraktiker,,tierheilpraktisch,ADJ.,294,4,1,,,,Praktiker
Baustatiker,,baustatisch,ADJ.,17,8,1,,,,Statiker
Nichttaktiker,,nichttaktisch,ADJ.,0,0,1,,,,Taktiker
Nichttechniker,,nichttechnisch,ADJ.,19,124,1,,,,Techniker
Werbetechniker,,werbetechnisch,ADJ.,27,75,1,,,,Techniker
Supertechniker,,supertechnisch,ADJ.,15,1,1,,,,Techniker
Verschwörungstheoretiker,,verschwörungstheoretisch,ADJ.,741,22,1,,,,Theoretiker
Hypertoniker,,hypertonisch,ADJ.,32,9,1,1.0,,,
Politiker,,politisch,ADJ.,30152,115251,1,1.0,,,
Techniker,,technisch,ADJ.,6410,86663,1,1.0,,,
Praktiker,,praktisch,ADJ.,2282,67261,1,1.0,,,
Historiker,,historisch,ADJ.,5286,56550,1,1.0,,,
Automatiker,,automatisch,ADJ.,20,53148,1,1.0,,,
Klassiker,,klassisch,ADJ.,12640,48154,1,1.0,,,
Kritiker,,kritisch,ADJ.,9735,38331,1,1.0,,,
Elektroniker,,elektronisch,ADJ.,518,31613,1,1.0,,,
Komiker,,komisch,ADJ.,939,29205,1,1.0,,,
Theoretiker,,theoretisch,ADJ.,1059,26371,1,1.0,,,
Optiker,,optisch,ADJ.,1616,23976,1,1.0,,,
Elektriker,,elektrisch,ADJ.,1347,20508,1,1.0,,,
Logiker,,logisch,ADJ.,116,18963,1,1.0,,,
Dynamiker,,dynamisch,ADJ.,19,14754,1,1.0,,,
Chemiker,,chemisch,ADJ.,1961,14177,1,1.0,,,
Systematiker,,systematisch,ADJ.,54,14050,1,1.0,,,
Dramatiker,,dramatisch,ADJ.,728,13096,1,1.0,,,
Statistiker,,statistisch,ADJ.,547,12607,1,1.0,,,
Chroniker,,chronisch,ADJ.,17,12406,1,1.0,,,
Romantiker,,romantisch,ADJ.,780,11062,1,1.0,,,
Mechaniker,,mechanisch,ADJ.,1812,10703,1,1.0,,,
Physiker,,physisch,ADJ.,4045,10458,1,1.0,,,
Kliniker,,klinisch,ADJ.,181,10256,1,1.0,,,
Akademiker,,akademisch,ADJ.,1989,8935,1,1.0,,,
Genetiker,,genetisch,ADJ.,258,8837,1,1.0,,,
Authentiker,,authentisch,ADJ.,0,8490,1,1.0,,,
Ästhetiker,,ästhetisch,ADJ.,27,8081,1,1.0,,,
Empiriker,,empirisch,ADJ.,37,7958,1,1.0,,,
Mathematiker,,mathematisch,ADJ.,2461,7792,1,1.0,,,
Organiker,,organisch,ADJ.,3,7791,1,1.0,,,
Ethiker,,ethisch,ADJ.,133,7747,1,1.0,,,
Skeptiker,,skeptisch,ADJ.,1258,7469,1,1.0,,,
Taktiker,,taktisch,ADJ.,276,7399,1,1.0,,,
Grafiker,,grafisch,ADJ.,1475,7100,1,1.0,,,
Tragiker,,tragisch,ADJ.,24,7072,1,1.0,,,
Thematiker,,thematisch,ADJ.,4,6821,1,1.0,,,
Akustiker,,akustisch,ADJ.,93,6621,1,1.0,,,
Symboliker,,symbolisch,ADJ.,0,6364,1,1.0,,,
Energetiker,,energetisch,ADJ.,10,6251,1,1.0,,,
Statiker,,statisch,ADJ.,380,5816,1,1.0,,,
Erotiker,,erotisch,ADJ.,4,4879,1,1.0,,,
Hektiker,,hektisch,ADJ.,41,4512,1,1.0,,,
Graphiker,,graphisch,ADJ.,226,4240,1,1.0,,,
Ironiker,,ironisch,ADJ.,43,4229,1,1.0,,,
