lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Farbexperiment,,farbexperieren,VVINF,10,0,1,,,,Experiment
Gedankenexperiment,,gedankenexperieren,VVINF,342,0,1,,,,Experiment
Heimexperiment,,heimexperieren,VVINF,1,0,1,,,,Experiment
Nebenexperiment,,nebenexperieren,VVINF,0,0,1,,,,Experiment
Sprachexperiment,,sprachexperieren,VVINF,22,0,1,,,,Experiment
Vorexperiment,,vorexperieren,VVINF,4,0,1,,,,Experiment
Gegenkompliment,,gegenkomplieren,VVINF,0,0,1,,,,Kompliment
Riesenkompliment,,riesenkomplieren,VVINF,71,0,1,,,,Kompliment
Infanterieregiment,,infanterieregieren,VVINF,155,0,1,,,,Regiment
Oberregiment,,oberregieren,VVINF,0,0,1,,,,Regiment
Panzerregiment,,panzerregieren,VVINF,45,0,1,,,,Regiment
Metasediment,,metasedieren,VVINF,1,0,1,,,,Sediment
Grundsortiment,,grundsortieren,VVINF,19,0,1,,,,Sortiment
Lebensmittelsortiment,,lebensmittelsortieren,VVINF,7,0,1,,,,Sortiment
Nebensortiment,,nebensortieren,VVINF,4,0,1,,,,Sortiment
Produktsortiment,,produktsortieren,VVINF,354,0,1,,,,Sortiment
Standardsortiment,,standardsortieren,VVINF,74,0,1,,,,Sortiment
Untersortiment,,untersortieren,VVINF,1,0,1,,,,Sortiment
Vollsortiment,,vollsortieren,VVINF,88,0,1,,,,Sortiment
Warensortiment,,warensortieren,VVINF,127,0,1,,,,Sortiment
Assortiment,,assortieren,VVINF,4,0,1,1.0,,,
Experiment,,experieren,VVINF,14797,0,1,1.0,,,
Kompliment,,komplieren,VVINF,5097,0,1,1.0,,,
Regiment,,regieren,VVINF,2558,1714,1,1.0,,,
Ressentiment,,ressentieren,VVINF,903,0,1,1.0,,,
Rudiment,,rudieren,VVINF,100,0,1,1.0,,,
Sediment,,sedieren,VVINF,1030,0,1,1.0,,,
Sentiment,,sentieren,VVINF,150,0,1,1.0,,,
Sortiment,,sortieren,VVINF,10981,1819,1,1.0,,,
Aliment,,alieren,VVINF,168,0,0,,,,
Piment,,pieren,VVINF,116,0,0,,,,
