lemma,true_lemma,merge
Abolitionismus,,
Absentismus,,
Absolutismus,,
Agnostizismus,,
Akademismus,,
Aktionismus,,
Aktivismus,,
Aktualismus,,
Alarmismus,,
Albinismus,,
Alkoholismus,,
Alpinismus,,
Altersrassismus,,Rassismus
Altruismus,,
Amerikanismus,,
Amoralismus,,
Anachronismus,,
Analphabetismus,,
Anarchismus,,
Anglizismus,,
Animalismus,,
Animismus,,
Antagonismus,,
Antibolschewismus,,Bolschewismus
Antifaschismus,,Faschismus
Antifeminismus,,Feminismus
Antiglobalismus,,Globalismus
Antiimperialismus,,Imperialismus
Antiintellektualismus,,Intellektualismus
Antiisraelismus,,Israelismus
Antijudaismus,,Judaismus
Antikapitalismus,,Kapitalismus
Antiklerikalismus,,Klerikalismus
Antikolonialismus,,Kolonialismus
Antikommunismus,,Kommunismus
Antikonformismus,,Konformismus
Antiliberalismus,,Liberalismus
Antimarxismus,,Marxismus
Antimaterialismus,,Materialismus
Antimodernismus,,Modernismus
Antimonarchismus,,Monarchismus
Antinationalismus,,Nationalismus
Antinaturalismus,,Naturalismus
Antinomismus,,Nomismus
Antiparlamentarismus,,Parlamentarismus
Antirassismus,,Rassismus
Antirealismus,,Realismus
Antisemitismus,,Semitismus
Antisexismus,,Sexismus
Antiterrorismus,,Terrorismus
Antitheismus,,Theismus
Antitotalitarismus,,Totalitarismus
Antizionismus,,Zionismus
Aphorismus,,
Archaismus,,
Aristokratismus,,
Ästhetizismus,,
Astigmatismus,,
Atavismus,,
Atheismus,,
Atomismus,,
Attizismus,,
Autismus,,
Automatismus,,
Avantgardismus,,
Barbarismus,,
Behaviorismus,,
Bellizismus,,
Biblizismus,,
Biertourismus,,
Biismus,,
Bilateralismus,,
Binarismus,,
Binnentourismus,,Tourismus
Bolschewismus,,
Bonapartismus,,
Botulismus,,
Brutalismus,,
Buddhismus,,
Bürokratismus,,
Calvinismus,,
Chaotismus,,
Chartismus,,
Chauvinismus,,
Chemismus,,
Dadaismus,,
Darwinismus,,
Defaitismus,,
Deismus,,
Dekonstruktivismus,,
Demokratismus,,
Deskriptivismus,,
Despotismus,,
Destruktivismus,,
Determinismus,,
Dezentralismus,,
Dilettantismus,,
Dimorphismus,,
Dirigismus,,
Divisionismus,,
Dogmatismus,,
Dualismus,,
Dynamismus,,
Egoismus,,
Eklektizismus,,
Elementarismus,,
Empirismus,,
Energetismus,,
Epikureismus,,
Equilibrismus,,
Eskapismus,,
Essayismus,,
Essentialismus,,
Etatismus,,
Euphemismus,,
Evolutionismus,,
Exhibitionismus,,
Existentialismus,,
Existenzialismus,,
Exorzismus,,
Exotismus,,
Expansionismus,,
Experimentalismus,,
Expressionismus,,
Exterminismus,,
Extremismus,,
Fanatismus,,
Faschismus,,
Fatalismus,,
Fauvismus,,
Federmechanismus,,Mechanismus
Feminismus,,
Fetischismus,,
Feudalismus,,
Feuilletonismus,,
Föderalismus,,
Folklorismus,,
Fordismus,,
Formalismus,,
Fundamentalismus,,
Funktionalismus,,
Futurismus,,
Gaullismus,,
Generalismus,,
Gerismus,,
Gigantismus,,
Globalismus,,
Gnostizismus,,
Grafismus,,
Häppchenjournalismus,,Journalismus
Hedonismus,,
Hellenismus,,
Hermaphroditismus,,
Hermetismus,,
Heroismus,,
Heterismus,,
Hinduismus,,
Historismus,,
Historizismus,,
Holismus,,
Hooliganismus,,
Hospitalismus,,
Humanismus,,
Hyperaktionismus,,
Hyperandrogenismus,,
Hyperkapitalismus,,Kapitalismus
Hypnotismus,,
Hypogonadismus,,
Idealismus,,
Idiotismus,,
Illusionismus,,
Immunismus,,
Imperialismus,,
Impressionismus,,
Indeterminismus,,
Individualismus,,
Industrialismus,,
Instruktivismus,,
Instrumentalismus,,
Intellektualismus,,
Intentionalismus,,
Interaktionismus,,
Interkonfessionalismus,,
Internationalismus,,
Intersubjektivismus,,
Interventionismus,,
Ionalismus,,
Ionismus,,
Irrationalismus,,
Islamismus,,
Ismen,,
Isolationismus,,
Isomorphismus,,
Israelismus,,
itarismus,,
Jainismus,,
Jesuitismus,,
Journalismus,,
Journalistismus,,
Judaismus,,
Kannibalismus,,
Kapitalismus,,
Katechismus,,
Katholizismus,,
Kemalismus,,
Keynesianismus,,
Klassizismus,,
Kleinorganismus,,
Klerikalismus,,
Klientelismus,,
Kognitivismus,,
Kollektivismus,,
Kolonialismus,,
Kommunalismus,,
Kommunismus,,
Konfessionalismus,,
Konformismus,,
Konfuzianismus,,
Konservatismus,,
Konservativismus,,
Konstitutionalismus,,
Konstruktionismus,,
Konstruktivismus,,
Konsumismus,,
Kontextualismus,,
Konversationalismus,,
Konzeptualismus,,
Korporatismus,,
Korporativismus,,
Kotextualismus,,
Kreationismus,,
Kretinismus,,
Kritizismus,,
Kubismus,,
Kulturalismus,,
Laizismus,,
Lamaismus,,
Legalismus,,
Leninismus,,
Liberalismus,,
Linksfaschismus,,
Lobbyismus,,
Lokalismus,,
Lyrismus,,
Machiavellismus,,
Magnetismus,,
Manierismus,,
Manismus,,
Maoismus,,
Marxismus,,
Maskulinismus,,
Masochismus,,
Materialismus,,
Maximalismus,,
Mechanismus,,
Menschewismus,,
Merkantilismus,,
Mesmerismus,,
Messianismus,,
Metabolismus,,
Metakonfuzianismus,,
Metamagnetismus,,
Meteorismus,,
Methodismus,,
Militarismus,,
Minimalismus,,
Ministerialismus,,
Mobilismus,,
Modernismus,,
Monarchismus,,
Monetarismus,,
Mongolismus,,
Monolithismus,,
Monopolismus,,
Monotheismus,,
Moralismus,,
Morphismus,,
Multikulturalismus,,
Multilateralismus,,
Mystizismus,,
Nachfaschismus,,
Nationalismus,,
Nationalsozialismus,,
Nativismus,,
Naturalismus,,
Naturismus,,
Nazismus,,
Negativismus,,
Neodarwinismus,,
Neofaschismus,,
Neoklassizismus,,
Neokolonialismus,,
Neologismus,,
Neonazismus,,
Nepotismus,,
Neukantianismus,,
Neuthomismus,,
Neutralismus,,
Nichtkapitalismus,,
Nihilismus,,
Nominalismus,,
Nonkonformismus,,
Normalismus,,
Objektivismus,,
Obskurantismus,,
Oekologismus,,
Okkultismus,,
Ökologismus,,
Opportunismus,,
Optimismus,,
Ordoliberalismus,,
Organismus,,
Orientalismus,,
Paganismus,,
Panafrikanismus,,
Panoptismus,,
Panpsychismus,,
Pantheismus,,
Parallelismus,,
Parasitismus,,
Parlamentarismus,,
Partikularismus,,
Paternalismus,,
Patriarchalismus,,
Patriotismus,,
Pauperismus,,
Pazifismus,,
Perfektionismus,,
Peronismus,,
Pessimismus,,
Petrarkismus,,
Philosemitismus,,
Physiokratismus,,
Physiologismus,,
Phytismus,,
Pietismus,,
Platonismus,,
Pluralismus,,
Pointillismus,,
Politismus,,
Polymorphismus,,
Polytheismus,,
Populismus,,
Positivismus,,
Pragmatismus,,
Praktizismus,,
Preismechanismus,,
Primitivismus,,
Privatismus,,
Produktivismus,,
Professionalismus,,
Protektionismus,,
Protestantismus,,
Protonationalismus,,
Provinzialismus,,
Psychismus,,
Psychologismus,,
Purismus,,
Puritanismus,,
Quietismus,,
Radikalismus,,
Rassismus,,
Rationalismus,,
Reaktionismus,,
Realismus,,
Rechtsradikalismus,,
Reduktionismus,,
Reformismus,,
Regionalismus,,
Relativismus,,
Republikanismus,,
Revanchismus,,
Revisionismus,,
Rheumatismus,,
Rigorismus,,
Ritualismus,,
Romantismus,,
Royalismus,,
Sadismus,,
Sadomasochismus,,
Satanismus,,
Schamanismus,,
Schematismus,,
Schintoismus,,
Semitismus,,
Sensationalismus,,
Sensualismus,,
Separatismus,,
Sexismus,,
Shintoismus,,
Sikhismus,,
Simulationismus,,
Situationalismus,,
Situationismus,,
Skeptizismus,,
Skitourismus,,
Snobismus,,
Solidarismus,,
Solipsismus,,
Somnambulismus,,
Sophismus,,
Sozialismus,,
Soziologismus,,
Spinozismus,,
Spiritismus,,
Spiritualismus,,
Stalinismus,,
Stoizismus,,
Strukturalismus,,
Strukturalistismus,,
Subimperialismus,,Imperialismus
Subjektivismus,,
Subkulturalismus,,
Sufismus,,
Supermodernismus,,
Superorganismus,,
Supranaturalismus,,
Surrealismus,,
Syllogismus,,
Symbolismus,,
Syndikalismus,,
Synergismus,,
Synkretismus,,
Szientismus,,
Taoismus,,
Technizismus,,
Terrorismus,,
Theismus,,
Thermalismus,,
Totalitarismus,,
Totemismus,,
Tourismus,,
Traditionalismus,,
Transhumanismus,,
Transnationalismus,,
Transsexualismus,,
Transvestismus,,
Transvestitismus,,
Trophismus,,
Tropismus,,
Trotzkismus,,
Unilateralismus,,
Unionismus,,
Unitarismus,,
Universalismus,,
Universismus,,
Unrealismus,,
Urbanismus,,
Urkommunismus,,Kommunismus
Utilitarismus,,
Vaginismus,,
Vampirismus,,
Vandalismus,,
Veganismus,,
Vegetarismus,,
Verismus,,
Voluntarismus,,
Voyeurismus,,
Vulgarismus,,
Vulkanismus,,
Zapatismus,,
Zarismus,,
Zentralismus,,
Zentrismus,,
Zionismus,,
Zynismus,,
