lemma,true_lemma,merge
Umweltaktivist,1,Aktivist
Interbrigadist,1,Brigadist
Proevolutionist,1,Evolutionist
Antifaschist,1,Faschist
Neofaschist,1,Faschist
Nichtfaschist,1,Faschist
Multiinstrumentalist,1,Instrumentalist
Antijudaist,1,Judaist
Nichtjurist,1,Jurist
Nichtkarnevalist,1,Karnevalist
Antikommunist,1,Kommunist
Nichtkommunist,1,Kommunist
Nonkonformist,1,Konformist
Drittligist,1,Ligist
Erstligist,1,Ligist
Oberligist,1,Ligist
Sechstligist,1,Ligist
Viertligist,1,Ligist
Nichtlinguist,1,Linguist
Obermaschinist,1,Machinist
Baumaschinist,1,Maschinist
Antimilitarist,1,Militarist
Antimonarchist,1,Monarchist
Obermoralist,1,Moralist
Supernationalist,1,Nationalist
Ultranationalist,1,Nationalist
Supranaturalist,1,Naturalist
Nichtpianist,1,Pianist
Bereitschaftspolizist,1,Polizist
Superpolizist,1,Polizist
Kneipenterrorist,1,Terrorist
Amoralist,1,
Afrikanist,1,
Amerikanist,1,
Anarchist,1,
Akademist,1,
Alchemist,1,
Anästhesist,1,
Anglist,1,
Alchimist,1,
Alpinist,1,
Aktivist,1,
Altist,1,
Adventist,1,
Alkoholist,1,
Abolitionist,1,
Akkordeonist,1,
Aktionist,1,
Anabaptist,1,
Alarmist,1,
Altruist,1,
Arabist,1,
Brigadist,1,
Sadist,1,
Spartakist,1,
Antiimperialist,1,
Antikapitalist,1,
Dualist,1,
Existentialist,1,
Existenzialist,1,
Experimentalist,1,
Fatalist,1,
Filialist,1,
Finalist,1,
Fundamentalist,1,
Funktionalist,1,
Generalist,1,
Idealist,1,
Immoralist,1,
Imperialist,1,
Individualist,1,
Instrumentalist,1,
Internationalist,1,
Ionalist,1,
Journalist,1,
Kabbalist,1,
Kapitalist,1,
Karnevalist,1,
Kemalist,1,
Kolonialist,1,
Konfessionalist,1,
Konzeptualist,1,
Kriminalist,1,
Kulturalist,1,
Legalist,1,
Liberalist,1,
Lokalist,1,
Loyalist,1,
Materialist,1,
Moralist,1,
Nationalist,1,
Nationalsozialist,1,
Naturalist,1,
Orientalist,1,
Personalist,1,
Pluralist,1,
Professionalist,1,
Prozessualist,1,
Radikalist,1,
Rationalist,1,
Realist,1,
Regionalist,1,
Royalist,1,
Sozialist,1,
Spezalist,1,
Spezialist,1,
Spiritualist,1,
Strukturalist,1,
Surrealist,1,
Syndikalist,1,
Traditionalist,1,
Universalist,1,
Zentralist,1,
Bigamist,1,
Islamist,1,
Polygamist,1,
Arkanist,1,
Germanist,1,
Humanist,1,
Organist,1,
Ozeanist,1,
Pianist,1,
Romanist,1,
Satanist,1,
Schamanist,1,
Sopranist,1,
Maoist,1,
Taoist,1,
Papist,1,
Elementarist,1,
Havarist,1,
Militarist,1,
Seminarist,1,
Voluntarist,1,
Batist,1,
Etatist,1,
Klimatist,1,
Pragmatist,1,
Separatist,1,
Statist,1,
Zapatist,1,
Porträtist,1,
Slawist,1,
Essayist,1,
Nazist,1,
Biist,1,
Sublist,1,
Oboist,1,
Obrist,1,
Hobbyist,1,
Lobbyist,1,
Bratschist,1,
Faschist,1,
Fetischist,1,
Masochist,1,
Monarchist,1,
Putschist,1,
Revanchist,1,
Sadomasochist,1,
Dadaist,1,
Judaist,1,
Buddhist,1,
Hinduist,1,
Evangelist,1,
Philatelist,1,
Chemist,1,
Extremist,1,
Jansenist,1,
Artillerist,1,
Galerist,1,
Infanterist,1,
Karrierist,1,
Kavallerist,1,
Lagerist,1,
Regenerist,1,
Siegerist,1,
Pietist,1,
Bolschewist,1,
Sexist,1,
Egoist,1,
Linguist,1,
Antitheist,1,
Atheist,1,
Monotheist,1,
Pantheist,1,
Polytheist,1,
Theist,1,
Pazifist,1,
Ligist,1,
Zweitligist,1,
Automobilist,1,
Merkantilist,1,
Mobilist,1,
Nihilist,1,
Stabilist,1,
Stilist,1,
Zivilist,1,
Legitimist,1,
Optimist,1,
Pantomimist,1,
Pessimist,1,
Antifeminist,1,
Antileninist,1,
Calvinist,1,
Chauvinist,1,
Darwinist,1,
Determinist,1,
Exterminist,1,
Feminist,1,
Kalvinist,1,
Leninist,1,
Maschinist,1,
Morphinist,1,
Stalinist,1,
Violinist,1,
Empirist,1,
Defaitist,1,
Kommanditist,1,
Spiritist,1,
Dekonstruktivist,1,
Kollektivist,1,
Konstruktivist,1,
Multiaktivist,1,
Negativist,1,
Objektivist,1,
Positivist,1,
Relativist,1,
Bellizist,1,
Eklektizist,1,
Laizist,1,
Polizist,1,
Publizist,1,
Kiste,1,
Reteleist,1,
Liste,1,
Aquarellist,1,
Ballist,1,
Cellist,1,
Machiavellist,1,
Psalmist,1,
Okkultist,1,
Gambist,1,
Kolumnist,1,
Girondist,1,
Propagandist,1,
Bestenlist,1,
Außenrist,1,
Innenrist,1,
Dentist,1,
Methodist,1,
Parodist,1,
Biologist,1,
Drogist,1,
Elektrologist,1,
Ideologist,1,
Phytologist,1,
Technologist,1,
Monopolist,1,
Oligopolist,1,
Solist,1,
Symbolist,1,
Atomist,1,
Physiognomist,1,
Thomist,1,
Antagonist,1,
Antirevisionist,1,
Antizionist,1,
Cartoonist,1,
Chronist,1,
Desillusionist,1,
Evolutionist,1,
Exhibitionist,1,
Expansionist,1,
Expressionist,1,
Feuilletonist,1,
Harmonist,1,
Hedonist,1,
Illusionist,1,
Impressionist,1,
Ionist,1,
