lemma,true_lemma,merge
Abnormität,1,
Absurdität,1,
Admiralität,1,
Affektivität,1,
Affinität,1,
Aggressivität,1,
Agilität,1,
Aktivität,1,
Aktualität,1,
Ambiguität,1,
Amoralität,1,
Animosität,1,
Annuität,1,
Anonymität,1,
Antiquität,1,
Attraktivität,1,
Authentizität,1,
Automobilität,1,
Autorität,1,
Banalität,1,
Bestialität,1,
Bildqualität,1,Qualität
Bonität,1,
Brutalität,1,
Diskontinuität,1,
Diversität,1,
Effektivität,1,
Egalität,1,
Elastizität,1,
Elektrizität,1,
Entität,1,
Eventualität,1,
Exklusivität,1,
Expressivität,1,
Extremität,1,
Exzentrizität,1,
Familiarität,1,
Fatalität,1,
Fernuniversität,1,
Fertilität,1,
Festivität,1,
Flexibilität,1,
Formalität,1,
Fragilität,1,
Frivolität,1,
Funktionalität,1,
Gegenaktivität,1,
Gegenuniversität,1,
Generalität,1,
Generosität,1,
Genialität,1,
Gravität,1,
Heterogenität,1,
Homogenität,1,
Humanität,1,
Humboldtuniversität,1,Universität
Hyperaktivität,1,
Hyperrealität,1,
Idealität,1,
Identität,1,
Illegalität,1,
Illegitimität,1,
Illiquidität,1,
Illoyalität,1,
Immobilität,1,
Immunität,1,
Impulsivität,1,
Inaktivität,1,
Individualität,1,
Infantilität,1,
Inferiorität,1,
Inflexibilität,1,
Instabilität,1,
Integrität,1,
Intensität,1,
Intentionalität,1,
Internationalität,1,
Intimität,1,
Invalidität,1,
Irregularität,1,
Kalamität,1,
Kapazität,1,
Kausalität,1,
Kollegialität,1,
Kommunität,1,
Kompatibilität,1,
Komplexität,1,
Konformität,1,
Kontinuität,1,
Konvertibilität,1,
Kreativität,1,
Kriminalität,1,
Kuriosität,1,
Labilität,1,
Lebensqualität,1,Qualität
Legalität,1,
Legitimität,1,
Liberalität,1,
Linearität,1,
Liquidität,1,
Lokalität,1,
Loyalität,1,
Majorität,1,
Mentalität,1,
Minorität,1,
Mobilität,1,
Modalität,1,
Modernität,1,
Monstrosität,1,
Monumentalität,1,
Moralität,1,
Morbidität,1,
Mortalität,1,
Multifunktionalität,1,Funktionalität
Multipolarität,1,Polarität
Musikalität,1,
Naivität,1,
Nationalität,1,
Nehmerqualität,1,Qualität
Nervosität,1,
Neutralität,1,
Nichtidentität,1,Identität
Nichtlinearität,1,Linearität
Nichtlokalität,1,Lokalität
Normalität,1,
Novität,1,
Nullität,1,
Objektivität,1,
Obskurität,1,
Obszönität,1,
Offensivqualität,1,Qualität
Opportunität,1,
Originalität,1,
Parallelität,1,
Parität,1,
Passivität,1,
Pathogenität,1,
Perfidität,1,
Personalität,1,
Perversität,1,
Plastizität,1,
Plausibilität,1,
Pluralität,1,
Polarität,1,
Popularität,1,
Potentialität,1,
Primitivität,1,
Priorität,1,
Produktivität,1,
Professionalität,1,
Promiskuität,1,
Proportionalität,1,
Prosperität,1,
Publizität,1,
Qualität,1,
Quantität,1,
Radikalität,1,
Radioaktivität,1,Aktivität
Rarität,1,
Rationalität,1,
Reaktivität,1,
Realität,1,
Rekursivität,1,
Relativität,1,
Religiosität,1,
Rentabilität,1,
Respektabilität,1,
Reziprozität,1,
Rigidität,1,
Rigorosität,1,
Rivalität,1,
Selektivität,1,
Sensibilität,1,
Sensitivität,1,
Sentimentalität,1,
Seriosität,1,
Servicequalität,1,Qualität
Sexualität,1,
Simplizität,1,
Singularität,1,
Skurrilität,1,
Solidarität,1,
Solidität,1,
Souveränität,1,
Speicherkapazität,1,Kapazität
Spezialität,1,
Spezifität,1,
Spiritualität,1,
Spontaneität,1,
Stabilität,1,
Sterilität,1,
Subjektivität,1,
Subsidiarität,1,
Subtilität,1,
Superqualität,1,Qualität
Territorialität,1,
Tonalität,1,
Tonqualität,1,Qualität
Totalität,1,
Transnationalität,1,
Transsexualität,1,
Trinität,1,
Trivialität,1,
Überaktivität,1,
Uniformität,1,
Universalität,1,
Universität,1,
Unprofessionalität,1,
Urbanität,1,
Validität,1,
Variabilität,1,
Virtuosität,1,
Viskosität,1,
Vitalität,1,
Volatilität,1,
Vulgarität,1,
Wasserqualität,1,Qualität
