lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Nichtrequisiteur,,nichtrequisieren,VVINF,0,0,1,,,,Requisiteur
Oberrequisiteur,,oberrequisieren,VVINF,0,0,1,,,,Requisiteur
Drittspediteur,,drittspedieren,VVINF,0,0,1,,,,Spediteur
Erstspediteur,,erstspedieren,VVINF,2,0,1,,,,Spediteur
Exspediteur,,exspedieren,VVINF,0,0,1,,,,Spediteur
Hofspediteur,,hofspedieren,VVINF,2,0,1,,,,Spediteur
Mitspediteur,,mitspedieren,VVINF,0,0,1,,,,Spediteur
Oberspediteur,,oberspedieren,VVINF,0,0,1,,,,Spediteur
Rahmenvertragsspediteur,,rahmenvertragsspedieren,VVINF,0,0,1,,,,Spediteur
Subspediteur,,subspedieren,VVINF,0,0,1,,,,Spediteur
Unterspediteur,,unterspedieren,VVINF,0,0,1,,,,Spediteur
Viehspediteur,,viehspedieren,VVINF,2,0,1,,,,Spediteur
Akquisiteur,,akquisieren,VVINF,21,0,1,1.0,,,
Auditeur,,audieren,VVINF,8,0,1,1.0,,,
Definiteur,,definieren,VVINF,0,5980,1,1.0,,,
Dispositeur,,disposieren,VVINF,0,0,1,1.0,,,
Kompositeur,,komposieren,VVINF,6,0,1,1.0,,,
Moniteur,,monieren,VVINF,37,80,1,1.0,,,
Oberauditeur,,oberaudieren,VVINF,0,0,1,1.0,,,
Oppositeur,,opposieren,VVINF,1,0,1,1.0,,,
Repetiteur,,repetieren,VVINF,1,28,1,1.0,,,
Requisiteur,,requisieren,VVINF,52,0,1,1.0,,,
Spediteur,,spedieren,VVINF,697,0,1,1.0,,,
