lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Begriffsdefinition,,begriffsdefinieren,VVINF,197,0,1,,,,Definition
Neudefinition,,neudefinieren,VVINF,214,0,1,,,,Definition
Urdefinition,,urdefinieren,VVINF,1,0,1,,,,Definition
Nachdisposition,,nachdisponieren,VVINF,1,0,1,,,,Disposition
Prädisposition,,prädisponieren,VVINF,137,0,1,,,,Disposition
Reedition,,reedieren,VVINF,8,0,1,,,,Edition
Einmalinvestition,,einmalinvestieren,VVINF,4,0,1,,,,Investition
Erstinvestition,,erstinvestieren,VVINF,25,0,1,,,,Investition
Fehlinvestition,,fehlinvestieren,VVINF,298,0,1,,,,Investition
Unterinvestition,,unterinvestieren,VVINF,4,0,1,,,,Investition
Vorabinvestition,,vorabinvestieren,VVINF,3,0,1,,,,Investition
Desinvestition,,desinvestieren,VVINF,27,0,1,,,,Investition
Nachinvestition,,nachinvestieren,VVINF,1,0,1,,,,Investition
Metakognition,,metakognieren,VVINF,29,0,1,,,,Kognition
Bildkomposition,,bildkomponieren,VVINF,267,0,1,,,,Komposition
Dekomposition,,dekomponieren,VVINF,26,1,1,,,,Komposition
Rahmenkondition,,rahmenkondieren,VVINF,5,0,1,,,,Kondition
Sonderkondition,,sonderkondieren,VVINF,586,0,1,,,,Kondition
Superkondition,,superkondieren,VVINF,5,0,1,,,,Kondition
Submunition,,submunieren,VVINF,9,0,1,,,,Munition
Gegenposition,,gegenposieren,VVINF,259,0,1,,,,Position
Metaposition,,metaposieren,VVINF,6,0,1,,,,Position
Schlüsselposition,,schlüsselposieren,VVINF,400,0,1,,,,Position
Sitzposition,,sitzposieren,VVINF,1127,0,1,,,,Position
Startposition,,startposieren,VVINF,360,0,1,,,,Position
Superposition,,superposieren,VVINF,63,0,1,,,,Position
Unterposition,,unterposieren,VVINF,20,0,1,,,,Position
Kontraposition,,kontraposieren,VVINF,10,0,1,,,,Position
Reposition,,reposieren,VVINF,74,0,1,,,,Position
Korrepetition,,korrepetieren,VVINF,17,0,1,,,,Repetition
Gegentradition,,gegentradieren,VVINF,1,0,1,,,,Tradition
Urtradition,,urtradieren,VVINF,4,0,1,,,,Tradition
Position,,posieren,VVINF,48856,117,1,1,,,
Akquisition,,akquisieren,VVINF,901,0,1,1,,,
Apposition,,apponieren,VVINF,26,0,1,1,,,
Deposition,,deponieren,VVINF,89,316,1,1,,,
