lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Bierzeltgarnitur,,bierzeltgarnieren,VVINF,54,0,1,,,,Garnitur
Couchgarnitur,,couchgarnieren,VVINF,127,0,1,,,,Garnitur
Drittgarnitur,,drittgarnieren,VVINF,2,0,1,,,,Garnitur
Erstgarnitur,,erstgarnieren,VVINF,5,0,1,,,,Garnitur
Ledergarnitur,,ledergarnieren,VVINF,37,0,1,,,,Garnitur
Polstergarnitur,,polstergarnieren,VVINF,50,0,1,,,,Garnitur
Sitzgarnitur,,sitzgarnieren,VVINF,89,0,1,,,,Garnitur
Tischgarnitur,,tischgarnieren,VVINF,10,0,1,,,,Garnitur
Untergarnitur,,untergarnieren,VVINF,0,0,1,,,,Garnitur
Wechselgarnitur,,wechselgarnieren,VVINF,5,0,1,,,,Garnitur
Zweitgarnitur,,zweitgarnieren,VVINF,1,0,1,,,,Garnitur
Nachpolitur,,nachpolieren,VVINF,1,0,1,,,,Politur
Schellackpolitur,,schellackpolieren,VVINF,6,0,1,,,,Politur
Möbelpolitur,,möbelpolieren,VVINF,23,0,1,,,,Politur
Hologrammpolitur,,hologrammpolieren,VVINF,0,0,1,,,,Politur
Autopolitur,,autopolieren,VVINF,156,0,1,,,,Politur
Superpolitur,,superpolieren,VVINF,1,0,1,,,,Politur
Vorpolitur,,vorpolieren,VVINF,1,0,1,,,,Politur
Glanzpolitur,,glanzpolieren,VVINF,1,0,1,,,,Politur
Hochglanzpolitur,,hochglanzpolieren,VVINF,25,0,1,,,,Politur
Garnitur,,garnieren,VVINF,799,163,1,1.0,,,
Politur,,polieren,VVINF,626,571,1,1.0,,,
Positur,,posieren,VVINF,60,117,1,1.0,,,
Investitur,,investieren,VVINF,40,9088,1,1.0,,,
Expositur,,exposieren,VVINF,37,0,1,1.0,,,
Abitur,,abieren,VVINF,7319,0,0,,,,
Zentralabitur,,zentralabieren,VVINF,229,0,0,,,,
Auditur,,audieren,VVINF,0,0,0,,,,
Fachabitur,,fachabieren,VVINF,269,0,0,,,,
Fioritur,,fiorieren,VVINF,2,0,0,,,,
Puddingabitur,,puddingabieren,VVINF,1,0,0,,,,
Vorabitur,,vorabieren,VVINF,1,0,0,,,,
Lachpartitur,,lachpartieren,VVINF,0,0,0,,,,
Partitur,,partieren,VVINF,1208,0,0,,,,
Studienpartitur,,studienpartieren,VVINF,7,0,0,,,,
