lemma,true_lemma,merge
Regierungspräsidium,1,Präsidium
Lehramtsstudium,1,Studium
Hauptstudium,1,Studium
Erststudium,1,Studium
Fernstudium,1,Studium
Zweitstudium,1,Studium
Atomium,1,
Außenministerium,1,Ministerium
Ministerium,1,
Staatsministerium,1,Ministerium
Planetarium,1,
Studium,1,
Präludium,0,
Präsidium,0,
Privilegium,0,
Laboratorium,0,
Aluminium,0,
Examinatorium,0,
Sammelsurium,0,
Ammonium,0,
Amphibium,0,
Anfangsstadium,0,
Antependium,0,
Antihelium,0,
Baptisterium,0,
Aquarium,0,
Arbitrium,0,
Archivalium,0,
Astrolabium,0,
Atrium,0,
Auditorium,0,
Auspizium,0,
Bakterie,0,
Bakterium,0,
Barium,0,
Benefizium,0,
Beryllium,0,
Bestiarium,0,
Obligatorium,0,
Breviarium,0,
Brimborium,0,
Cadmium,0,
Calcium,0,
Cäsium,0,
Chlamydium,0,
Delirium,0,
Deuterium,0,
Diarium,0,
Dilithium,0,
Dinatrium,0,
Direktorium,0,
Dormitorium,0,
Elysium,0,
Emporium,0,
Nebenkriterium,0,
Repetitorium,0,
Equilibrium,0,
Evangelium,0,
Exerzitium,0,
Wirtschaftsimperium,0,
Gallium,0,
Gaudium,0,
Geranium,0,
Germanium,0,
Glossarium,0,
Gremium,0,
Gymnasium,0,
Harmonium,0,
Helium,0,
Herbarium,0,
Hypermedium,0,
Imperium,0,
Indium,0,
Intermedium,0,
Internodium,0,
Iridium,0,
Kadmium,0,
Kalium,0,
Kalzium,0,
Kambrium,0,
Deklinatorium,0,
Kollegium,0,
Kolloquium,0,
Kompendium,0,
Konsortium,0,
konsortium,0,
Krematorium,0,
Kriterium,0,
kriterium,0,
Schrankstipendium,0,
Kuratorium,0,
Lapidarium,0,
Klimakterium,0,
Listerium,0,
Lithium,0,
Magnesium,0,
Martyrium,0,
Ambulatorium,0,
Medium,0,
medium,0,
Millenium,0,
Millennium,0,
Bundesjustizministerium,0,
Monasterium,0,
Moratorium,0,
Morphium,0,
Multimedium,0,
Mysterium,0,
Natrium,0,
Odium,0,
Offertorium,0,
Wohnrefugium,0,
Vokabularium,0,
Polysilizium,0,
Konsistorium,0,
Oberkonsistorium,0,
Opium,0,
Oratorium,0,
Ordinarium,0,
Vorsymposium,0,
Ovarium,0,
Palladium,0,
Pallium,0,
Pandämonium,0,
Plasmodium,0,
Plutonium,0,
Podium,0,
Proszenium,0,
Provisorium,0,
Hauptkriterium,0,
Radium,0,
Refektorium,0,
Refugium,0,
Presbyterium,0,
Rhodium,0,
Darmbakterium,0,
Progymnasium,0,
Rosarium,0,
Rubidium,0,
Instrumentarium,0,
Sanatorium,0,
Sanktuarium,0,
Scandium,0,
Sensorium,0,
Konservatorium,0,
Observatorium,0,
Silentium,0,
Silicium,0,
Silizium,0,
Solarium,0,
Spermium,0,
Stadium,0,
Stipendium,0,
Strontium,0,
Studie,0,
Symposium,0,
Szenarium,0,
Telemedium,0,
Terrarium,0,
Territorium,0,
Thallium,0,
Thorium,0,
Mitochondrium,0,
Nichtordinarium,0,
Trifolium,0,
Trivium,0,
Tutorium,0,
Urmysterium,0,
Valium,0,
Vanadium,0,
Vorstadium,0,
Yttrium,0,
Zirkonium,0,
