lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Frühling,,früh,ADJ.,10603,129502,1,1.0,,,
Säugling,,saugen,VVINF,3490,1344,1,1.0,,,
Emporkömmling,,emporkommen,VVINF,143,0,1,1.0,,,
Schädling,,schaden,VVINF,2444,6060,1,1.0,,,
Schützling,,schützen,VVINF,2423,20350,1,1.0,,,
Flüchtling,,flüchten,VVINF,9990,1822,1,1.0,,,
Abkömmling,,abkommen,VVINF,695,143,1,1.0,,,
Ankömmling,,ankommen,VVINF,182,4522,1,1.0,,,
Jüngling,,jung,ADJ.,1828,186168,1,1.0,,,
Häftling,,haften,VVINF,3165,921,1,1.0,,,
Prüfling,,prüfen,VVINF,1241,15946,1,1.0,,,
Bückling,,bücken,VVINF,82,255,1,1.0,,,
Täufling,,taufen,VVINF,198,794,1,1.0,,,
Schönling,,schön,ADJ.,176,368159,1,1.0,,,
Schwächling,,schwach,ADJ.,267,37460,1,1.0,,,
Sträfling,,strafen,VVINF,181,474,1,1.0,,,
Nachkömmling,,nachkommen,VVINF,67,1956,1,1.0,,,
Wüstling,,wüst,ADJ.,57,2176,1,1.0,,,
Grünling,,grün,ADJ.,2,57992,1,1.0,,,
Spätling,,spät,ADJ.,17,230357,1,1.0,,,
Lehrling,,lehren,VVINF,2500,1930,1,1.0,,,
Schmetterling,,schmettern,VVINF,4111,89,1,1.0,,,
Finsterling,,finster,ADJ.,87,3906,1,1.0,,,
Feigling,,feige,ADJ.,717,2367,1,1.0,,,
Mehrling,,mehren,VVINF,60,381,1,1.0,,,
Widerling,,widern,VVINF,69,2,1,1.0,,,
Liebling,,lieben,VVINF,5630,7821,1,1.0,,,
Neuling,,neu,ADJ.,5172,1048374,1,1.0,,,
Bratling,,braten,VVINF,50,698,1,1.0,,,
Findling,,finden,VVINF,548,128108,1,1.0,,,
Rohling,,roh,ADJ.,1884,5484,1,1.0,,,
Breitling,,breit,ADJ.,244,64248,1,1.0,,,
Pressling,,pressen,VVINF,58,899,1,1.0,,,
Steckling,,stecken,VVINF,555,9131,1,1.0,,,
Erstling,,erst,ADJ.,630,632526,1,1.0,,,
Keimling,,keimen,VVINF,368,253,1,1.0,,,
Greifling,,greifen,VVINF,32,8198,1,1.0,,,
Eindringling,,eindringen,VVINF,1329,1721,1,1.0,,,
Frischling,,frisch,ADJ.,539,49723,1,1.0,,,
Mischling,,mischen,VVINF,1391,2602,1,1.0,,,
Wildling,,wild,ADJ.,69,25667,1,1.0,,,
Weichling,,weich,ADJ.,45,23131,1,1.0,,,
Firmling,,firm,ADJ.,158,1669,1,1.0,,,
Naivling,,naiv,ADJ.,54,6369,1,1.0,,,
Fremdling,,fremd,ADJ.,343,31752,1,1.0,,,
Fiesling,,fies,ADJ.,240,5537,1,1.0,,,
Setzling,,setzen,VVINF,243,39193,1,1.0,,,
Pflegling,,pflegen,VVINF,244,5790,1,1.0,,,
Stichling,,stichen,VVINF,143,0,1,1.0,,,
Weidling,,weiden,VVINF,15,214,1,1.0,,,
Primitivling,,primitiv,ADJ.,23,3021,1,1.0,,,
Weißling,,weiß,ADJ.,14,76630,1,1.0,,,
Schwindling,,schwinden,VVINF,15,435,1,1.0,,,
Impfling,,impfen,VVINF,39,1563,1,1.0,,,
Perversling,,pervers,ADJ.,24,2313,1,1.0,,,
Sonderling,,sondern,VVINF,290,175,1,1.0,,,
Däumling,,däumen,VVINF,91,0,1,,Daumen,NN,
Ehrgeizling,,ehrgeizen,VVINF,22,0,1,,Ehrgeiz,NN,
Erdling,,erden,VVINF,109,362,1,,Erde,NN,
Fäustling,,fäusten,VVINF,80,0,1,,Faust,NN,
Günstling,,gunst,ADJ.,221,0,1,,Gunst,NN,
Haarling,,haaren,VVINF,63,246,1,,Haar,NN,
Häuptling,,haupt,ADJ.,1441,0,1,,Haupt,NN,
Höfling,,hof,ADJ.,269,0,1,,Hof,NN,
Kammerling,,kammeren,VVINF,2,0,1,,Kammer,NN,
Lüstling,,lüsten,VVINF,30,0,1,,Lust,NN,
Nestling,,nesten,VVINF,105,0,1,,Nest,NN,
Ritterling,,ritteren,VVINF,12,0,1,,Ritter,NN,
Römling,,römen,VVINF,8,0,1,,Rom,N.,
Sämling,,sämen,VVINF,1,0,1,,Samen,NN,
Schößling,,schoßen,VVINF,43,0,1,,schießen,VVINF,
Schreiberling,,schreiberen,VVINF,731,0,1,,Schreiber,NN,
Silberling,,silberen,VVINF,706,0,1,,Silber,NN,
Sprössling,,sprossen,VVINF,1055,0,1,,sprießen,VVINF,
Winzling,,winz,ADJ.,345,0,1,,winzig,VVINF,
Witzling,,witzen,VVINF,9,0,1,,Witz,NN,
Zögling,,zogen,VVINF,564,0,1,,ziehen,VVINF,
Neuankömmling,,neuankommen,VVINF,954,0,1,,,,Ankömmling
Ankoemmling,,ankoemmen,VVINF,0,0,1,,,,Ankömmling
Oberfiesling,,oberfies,ADJ.,5,8,1,,,,Fiesling
Binnenflüchtling,,binnenflüchten,VVINF,34,0,1,,,,Flüchtling
Steuerflüchtling,,steuerflüchten,VVINF,75,0,1,,,,Flüchtling
Wirtschaftsflüchtling,,wirtschaftsflüchten,VVINF,117,0,1,,,,Flüchtling
Vorfrühling,,vorfrüh,ADJ.,63,0,1,,,,Frühling
Mithäftling,,mithaften,VVINF,59,15,1,,,,Häftling
Oberhäuptling,,oberhaupt,ADJ.,26,0,1,,,,Häuptling
Erstimpfling,,erstimpfen,VVINF,11,0,1,,,,Impfling
Zauberlehrling,,zauberlehren,VVINF,336,0,1,,,,Lehrling
Mitlehrling,,mitlehrn,VVINF,3,0,1,,,,Lehrling
Fussballiebling,,fussballieb,ADJ.,0,0,1,,,,Liebling
Führerscheinneuling,,fuhrerscheinneu,ADJ.,78,0,1,,,,Neuling
Kubaneuling,,kubaneu,ADJ.,0,0,1,,,,Neuling
Wurzelschößling,,wurzelschoßen,VVINF,8,0,1,,,,Schößling
Mitschreiberling,,mitschreibern,VVINF,1,0,1,,,,Schreiberling
Vorschreiberling,,vorschreibern,VVINF,2,0,1,,,,Schreiberling
Wuestling,,wuest,ADJ.,0,0,1,,,,Wüstling
Binnenflüchtling,,binnenflücht,ADJ.,34,0,1,,,,
Binnenflüchtling,,binnenflucht,ADJ.,34,0,1,,,,
Binnenflüchtling,,binnenfluchten,VVINF,34,0,1,,,,
Steuerflüchtling,,steuerflücht,ADJ.,75,0,1,,,,
Steuerflüchtling,,steuerflucht,ADJ.,75,0,1,,,,
Steuerflüchtling,,steuerfluchten,VVINF,75,0,1,,,,
Wirtschaftsflüchtling,,wirtschaftsflücht,ADJ.,117,0,1,,,,
Wirtschaftsflüchtling,,wirtschaftsflucht,ADJ.,117,0,1,,,,
Wirtschaftsflüchtling,,wirtschaftsfluchten,VVINF,117,0,1,,,,
Mithäftling,,mithäft,ADJ.,59,0,1,,,,
Mithäftling,,mithaft,ADJ.,59,0,1,,,,
Mithäftling,,mithäften,VVINF,59,0,1,,,,
Oberhäuptling,,oberhäupt,ADJ.,26,0,1,,,,
Oberhäuptling,,oberhäupten,VVINF,26,0,1,,,,
Oberhäuptling,,oberhaupten,VVINF,26,0,1,,,,
Führerscheinneuling,,führerscheinneu,ADJ.,78,0,1,,,,
Führerscheinneuling,,führerscheinneuen,VVINF,78,0,1,,,,
Führerscheinneuling,,fuhrerscheinneuen,VVINF,78,0,1,,,,
Frühling,,fruh,ADJ.,10603,0,1,,,,
Frühling,,frühen,VVINF,10603,0,1,,,,
Frühling,,fruhen,VVINF,10603,0,1,,,,
Säugling,,säug,ADJ.,3490,0,1,,,,
Säugling,,saug,ADJ.,3490,0,1,,,,
Säugling,,säugen,VVINF,3490,45,1,,,,
Emporkömmling,,emporkömm,ADJ.,143,0,1,,,,
Emporkömmling,,emporkomm,ADJ.,143,0,1,,,,
Emporkömmling,,emporkömmen,VVINF,143,0,1,,,,
Schädling,,schäd,ADJ.,2444,0,1,,,,
Schädling,,schad,ADJ.,2444,0,1,,,,
Schädling,,schäden,VVINF,2444,0,1,,,,
Schützling,,schütz,ADJ.,2423,0,1,,,,
Schützling,,schutz,ADJ.,2423,0,1,,,,
Schützling,,schutzen,VVINF,2423,0,1,,,,
Flüchtling,,flücht,ADJ.,9990,0,1,,,,
Flüchtling,,flucht,ADJ.,9990,0,1,,,,
Flüchtling,,fluchten,VVINF,9990,0,1,,,,
Abkömmling,,abkömm,ADJ.,695,0,1,,,,
Abkömmling,,abkomm,ADJ.,695,0,1,,,,
Abkömmling,,abkömmen,VVINF,695,0,1,,,,
Ankömmling,,ankömm,ADJ.,182,0,1,,,,
Ankömmling,,ankomm,ADJ.,182,0,1,,,,
Ankömmling,,ankömmen,VVINF,182,0,1,,,,
Jüngling,,jüng,ADJ.,1828,0,1,,,,
Jüngling,,jüngen,VVINF,1828,0,1,,,,
Jüngling,,jungen,VVINF,1828,0,1,,,,
Sprössling,,spröss,ADJ.,1055,0,1,,,,
Sprössling,,spross,ADJ.,1055,0,1,,,,
Sprössling,,sprössen,VVINF,1055,0,1,,,,
Häuptling,,häupt,ADJ.,1441,0,1,,,,
Häuptling,,häupten,VVINF,1441,0,1,,,,
Häuptling,,haupten,VVINF,1441,0,1,,,,
Häftling,,häft,ADJ.,3165,0,1,,,,
Häftling,,haft,ADJ.,3165,0,1,,,,
Häftling,,häften,VVINF,3165,0,1,,,,
Prüfling,,prüf,ADJ.,1241,0,1,,,,
Prüfling,,pruf,ADJ.,1241,0,1,,,,
Prüfling,,prufen,VVINF,1241,0,1,,,,
Höfling,,höf,ADJ.,269,0,1,,,,
Höfling,,höfen,VVINF,269,0,1,,,,
Höfling,,hofen,VVINF,269,0,1,,,,
Günstling,,günst,ADJ.,221,0,1,,,,
Günstling,,günsten,VVINF,221,0,1,,,,
Günstling,,gunsten,VVINF,221,0,1,,,,
Zögling,,zög,ADJ.,564,0,1,,,,
Zögling,,zog,ADJ.,564,0,1,,,,
Zögling,,zögen,VVINF,564,0,1,,,,
Schößling,,schöß,ADJ.,43,0,1,,,,
Schößling,,schoß,ADJ.,43,0,1,,,,
Schößling,,schößen,VVINF,43,0,1,,,,
Bückling,,bück,ADJ.,82,0,1,,,,
Bückling,,buck,ADJ.,82,0,1,,,,
Bückling,,bucken,VVINF,82,0,1,,,,
Täufling,,täuf,ADJ.,198,0,1,,,,
Täufling,,tauf,ADJ.,198,0,1,,,,
Täufling,,täufen,VVINF,198,0,1,,,,
Schönling,,schon,ADJ.,176,0,1,,,,
Schönling,,schönen,VVINF,176,0,1,,,,
Schönling,,schonen,VVINF,176,2096,1,,,,
Schwächling,,schwäch,ADJ.,267,0,1,,,,
Schwächling,,schwächen,VVINF,267,1247,1,,,,
Schwächling,,schwachen,VVINF,267,0,1,,,,
Sämling,,säm,ADJ.,1,0,1,,,,
Sämling,,sam,ADJ.,1,0,1,,,,
Sämling,,samen,VVINF,1,0,1,,,,
Sträfling,,sträf,ADJ.,181,0,1,,,,
Sträfling,,straf,ADJ.,181,0,1,,,,
Sträfling,,sträfen,VVINF,181,0,1,,,,
Nachkömmling,,nachkömm,ADJ.,67,0,1,,,,
Nachkömmling,,nachkomm,ADJ.,67,0,1,,,,
Nachkömmling,,nachkömmen,VVINF,67,0,1,,,,
Wüstling,,wust,ADJ.,57,0,1,,,,
Wüstling,,wüsten,VVINF,57,0,1,,,,
Wüstling,,wusten,VVINF,57,0,1,,,,
Römling,,röm,ADJ.,8,0,1,,,,
Römling,,rom,ADJ.,8,0,1,,,,
Römling,,romen,VVINF,8,0,1,,,,
Däumling,,däum,ADJ.,91,0,1,,,,
Däumling,,daum,ADJ.,91,0,1,,,,
Däumling,,daumen,VVINF,91,0,1,,,,
Fäustling,,fäust,ADJ.,80,0,1,,,,
Fäustling,,faust,ADJ.,80,0,1,,,,
Fäustling,,fausten,VVINF,80,0,1,,,,
Vorfrühling,,vorfruh,ADJ.,63,0,1,,,,
Vorfrühling,,vorfrühen,VVINF,63,0,1,,,,
Vorfrühling,,vorfruhen,VVINF,63,0,1,,,,
Grünling,,grun,ADJ.,2,0,1,,,,
Grünling,,grünen,VVINF,2,175,1,,,,
Grünling,,grunen,VVINF,2,0,1,,,,
Lüstling,,lüst,ADJ.,30,0,1,,,,
Lüstling,,lust,ADJ.,30,0,1,,,,
Lüstling,,lusten,VVINF,30,0,1,,,,
Spätling,,spat,ADJ.,17,0,1,,,,
Spätling,,späten,VVINF,17,0,1,,,,
Spätling,,spaten,VVINF,17,0,1,,,,
Neuankömmling,,neuankömm,ADJ.,954,0,1,,,,
Neuankömmling,,neuankomm,ADJ.,954,0,1,,,,
Neuankömmling,,neuankömmen,VVINF,954,0,1,,,,
Wurzelschößling,,wurzelschöß,ADJ.,8,0,1,,,,
Wurzelschößling,,wurzelschoß,ADJ.,8,0,1,,,,
Wurzelschößling,,wurzelschößen,VVINF,8,0,1,,,,
Zauberlehrling,,zauberlehr,ADJ.,336,0,1,,,,
Zauberlehrling,,zauberlehrn,VVINF,336,0,1,,,,
Mitlehrling,,mitlehr,ADJ.,3,0,1,,,,
Mitlehrling,,mitlehren,VVINF,3,0,1,,,,
Mitschreiberling,,mitschreiber,ADJ.,1,0,1,,,,
Mitschreiberling,,mitschreiberen,VVINF,1,0,1,,,,
Lehrling,,lehr,ADJ.,2500,0,1,,,,
Lehrling,,lehrn,VVINF,2500,0,1,,,,
Zwilling,,zwil,ADJ.,3863,0,0,,,,
Zwilling,,zwilen,VVINF,3863,0,0,,,,
Zwilling,,zwiln,VVINF,3863,0,0,,,,
Schmetterling,,schmetter,ADJ.,4111,0,1,,,,
Schmetterling,,schmetteren,VVINF,4111,0,1,,,,
Controlling,,control,ADJ.,2577,0,0,,,,
Controlling,,controlen,VVINF,2577,0,0,,,,
Controlling,,controln,VVINF,2577,0,0,,,,
Finsterling,,finsteren,VVINF,87,0,1,,,,
Finsterling,,finstern,VVINF,87,0,1,,,,
Feigling,,feig,ADJ.,717,113,1,,,,
Feigling,,feigen,VVINF,717,0,1,,,,
Silberling,,silber,ADJ.,706,0,1,,,,
Silberling,,silbern,VVINF,706,0,1,,,,
Sonderling,,sonder,ADJ.,290,0,1,,,,
Sonderling,,sonderen,VVINF,290,0,1,,,,
Schreiberling,,schreiber,ADJ.,731,0,1,,,,
Schreiberling,,schreibern,VVINF,731,0,1,,,,
Kammerling,,kammer,ADJ.,2,0,1,,,,
Kammerling,,kammern,VVINF,2,0,1,,,,
Haarling,,haar,ADJ.,63,0,1,,,,
Haarling,,haarn,VVINF,63,0,1,,,,
Mehrling,,mehr,ADJ.,60,0,1,,,,
Mehrling,,mehrn,VVINF,60,0,1,,,,
Ritterling,,ritter,ADJ.,12,0,1,,,,
Ritterling,,rittern,VVINF,12,0,1,,,,
Widerling,,wider,ADJ.,69,0,1,,,,
Widerling,,wideren,VVINF,69,0,1,,,,
Vorschreiberling,,vorschreiber,ADJ.,2,0,1,,,,
Vorschreiberling,,vorschreiberen,VVINF,2,0,1,,,,
Vierling,,vier,ADJ.,152,0,0,,,,
Vierling,,vieren,VVINF,152,0,0,,,,
Vierling,,viern,VVINF,152,0,0,,,,
Porling,,por,ADJ.,12,0,0,,,,
Porling,,poren,VVINF,12,0,0,,,,
Porling,,porn,VVINF,12,0,0,,,,
Schilling,,schil,ADJ.,484,0,0,,,,
Schilling,,schilen,VVINF,484,0,0,,,,
Schilling,,schiln,VVINF,484,0,0,,,,
Sperling,,sper,ADJ.,452,0,0,,,,
Sperling,,speren,VVINF,452,0,0,,,,
Sperling,,spern,VVINF,452,0,0,,,,
Curling,,cur,ADJ.,91,0,0,,,,
Curling,,curen,VVINF,91,0,0,,,,
Curling,,curn,VVINF,91,0,0,,,,
Sterling,,ster,ADJ.,183,0,0,,,,
Sterling,,steren,VVINF,183,0,0,,,,
Sterling,,stern,VVINF,183,0,0,,,,
Shilling,,shil,ADJ.,63,0,0,,,,
Shilling,,shilen,VVINF,63,0,0,,,,
Shilling,,shiln,VVINF,63,0,0,,,,
Engerling,,enger,ADJ.,86,0,0,,,,
Engerling,,engeren,VVINF,86,0,0,,,,
Engerling,,engern,VVINF,86,0,0,,,,
Billing,,bil,ADJ.,343,0,0,,,,
Billing,,bilen,VVINF,343,0,0,,,,
Billing,,biln,VVINF,343,0,0,,,,
Pfifferling,,pfiffer,ADJ.,452,0,0,,,,
