lemma,true_lemma,merge
Tackling,0,
Saibling,0,
Multisampling,0,
Sampling,0,
Supersampling,0,
Handling,0,
Billing,0,
Bowling,0,
Curling,0,
Recycling,0,
Darling,0,
Scheduling,0,
Perversling,0,
Prowrestling,0,
Wrestling,0,
Feeling,0,
Jazzfeeling,0,
Urlaubsfeeling,0,
Pfifferling,0,
Egerling,0,
Engerling,0,
Fingerling,0,
Gilling,0,
Herling,0,
Mitscherling,0,
Schilling,0,
Shilling,0,
Dribbling,0,
Speierling,0,
Vierling,0,
Riesling,0,
Tintling,0,
Mailing,0,
Printmailing,0,
Erstimpfling,0,
Impfling,0,
Profiling,0,
Peeling,0,
Sperling,0,
Pooling,0,
Porling,0,
Reling,0,
Presslin,0,
Drilling,0,
Parasailing,0,
Styling,0,
Sterling,0,
Quisling,0,
Haarling,1,
Schwächling,1,
Häftling,1,
Mithäftling,1,Häftling
Naivling,1,
Täufling,1,
Säugling,1,
Däumling,1,
Mitschreiberling,1,Schreiberling
Schreiberling,1,
Silberling,1,
Vorschreiberling,1,
Binnenflüchtling,1,Flüchtling
Flüchtling,1,
Steuerflüchtling,1,Flüchtling
Wirtschaftsflüchtling,1,Flüchtling
Sonderling,1,
Widerling,1,
Steckling,1,
Lehrling,1,
Mehrling,1,
Mitlehrling,1,Lehrling
Zauberlehrling,1,Lehrling
Weidling,1,
Greifling,1,
Feigling,1,
Keimling,1,
Weißling,1,
Breitling,1,
Ehrgeizling,1,
Fremdling,1,
Ankoemmling,1,Ankömmling
Erdling,1,
Pressling,1,
Nestling,1,
Wuestling,1,Wüstling
Setzling,1,
Schädling,1,
Höfling,1,
Schönling,1,
Schößling,1,
Wurzelschößling,1,
Stichling,1,
Weichling,1,
Fussballiebling,1,Liebling
Liebling,1,
Fiesling,1,
Oberfiesling,1,Fiesling
Wildling,1,
Findling,1,
Schwindling,1,
Eindringling,1,
Winzling,1,
Firmling,1,
Witzling,1,
Pflegling,1,
Kammerling,1,
Führerscheinneuling,1,Neuling
Kubaneuling,1,Neuling
Neuling,1,
Günstling,1,
Abkömmling,1,
Ankömmling,1,
Emporkömmling,1,
Nachkömmling,1,
Neuankömmling,1,
Sprössling,1,
Spätling,1,
Sträfling,1,
Bratling,1,
Rohling,1,
Controlling,1,
Römling,1,
Erstling,1,
Prüfling,1,
Frühling,1,
Vorfrühling,1,
Grünling,1,
Sämling,1,
Frischling,1,
Mischling,1,
Finsterling,1,
Ritterling,1,
Schmetterling,1,
Primitivling,1,
Bückling,1,
Jüngling,1,
Häuptling,1,
Oberhäuptling,1,Häuptling
Fäustling,1,
Lüstling,1,
Wüstling,1,
Schützling,1,
Zwilling,1,
Zögling,1,
