lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Beduerfnis,,beduerfen,VVINF,0,0,1,,,,Bedürfnis
Entscheidungsbefugnis,,entscheidungsbefugen,VVINF,245,0,1,,,,Befugnis
Agrarbündnis,,agrarbünd,ADJ.,20,0,1,,,,Bündnis
Linksbündnis,,linksbünd,ADJ.,98,0,1,,,,Bündnis
Militärbündnis,,militarbünd,ADJ.,141,0,1,,,,Bündnis
Medienereignis,,medienereignen,VVINF,127,0,1,,,,Ereignis
Urereignis,,urereignen,VVINF,10,0,1,,,,Ereignis
Forschungsergebnis,,forschungsergeben,VVINF,3395,0,1,,,,Ergebnis
Nebenergebnis,,nebenergeben,VVINF,8,0,1,,,,Ergebnis
Suchergebnis,,suchergeben,VVINF,3210,0,1,,,,Ergebnis
Testergebnis,,testergeben,VVINF,1691,0,1,,,,Ergebnis
Wahlergebnis,,wahlergeben,VVINF,1986,0,1,,,,Ergebnis
Zwischenergebnis,,zwischenergeben,VVINF,638,0,1,,,,Ergebnis
Erlebnis,,erleben,VVINF,26709,24689,1,1,,,
Gruppenerlebnis,,gruppenerleben,VVINF,61,0,1,,,,Erlebnis
Hörerlebnis,,hörerleben,VVINF,283,0,1,,,,Erlebnis
Musikerlebnis,,musikerleben,VVINF,110,0,1,,,,Erlebnis
Naturerlebnis,,naturerleben,VVINF,874,0,1,,,,Erlebnis
Schlüsselerlebnis,,schlüsselerleben,VVINF,255,0,1,,,,Erlebnis
Spielerlebnis,,spielerleben,VVINF,401,0,1,,,,Erlebnis
Zeitersparnis,,zeitersparen,VVINF,657,0,1,,,,Ersparnis
Sachkenntnis,,sachkennen,VVINF,866,0,1,,,,Kenntnis
Unkenntnis,,unkennen,VVINF,1585,0,1,,,,Kenntnis
Vorkenntnis,,vorkennen,VVINF,2564,0,1,,,,Kenntnis
Arbeitsverhältnis,,arbeitsverhalten,VVINF,7836,0,1,,,,Verhältnis
Binnenverhältnis,,binnenverhalten,VVINF,13,0,1,,,,Verhältnis
Eigentumsverhältnis,,eigentumsverhalten,VVINF,394,0,1,,,,Verhältnis
Lichtverhältnis,,lichtverhalten,VVINF,1243,0,1,,,,Verhältnis
Lohnverhältnis,,lohnverhalten,VVINF,32,0,1,,,,Verhältnis
Missverhältnis,,missverhalten,VVINF,704,0,1,,,,Verhältnis
Einverständnis,,einverstehen,VVINF,3095,2,1,,,,Verständnis
Grundverständnis,,grundverstehen,VVINF,359,0,1,,,,Verständnis
Islamverständnis,,islamverstehen,VVINF,6,0,1,,,,Verständnis
Spielverständnis,,spielverstehen,VVINF,177,0,1,,,,Verständnis
Unverständnis,,unverstehen,VVINF,2055,0,1,,,,Verständnis
Inhaltsverzeichnis,,inhaltsverzeichnen,VVINF,2756,0,1,,,,Verzeichnis
Unterverzeichnis,,unterverzeichnen,VVINF,776,0,1,,,,Verzeichnis
Zwischenzeugnis,,zwischenzeugen,VVINF,204,0,1,,,,Zeugnis
Adonis,,ado,ADJ.,312,0,0,,,,
Adonis,,adoen,VVINF,312,0,0,,,,
Agrarbündnis,,agrarbünden,VVINF,20,0,1,,,,
Anerkenntnis,,anerkennen,VVINF,243,2276,1,1,,,
Anerkenntnis,,anerkenn,ADJ.,243,0,1,,,,
Arbeitsverhältnis,,arbeitsverhalt,ADJ.,7836,0,1,,,,
Ärgernis,,ärgern,VVINF,1500,3315,1,1,,,
Ärgernis,,ärger,ADJ.,1500,0,1,,,,
Ärgernis,,ärgeren,VVINF,1500,0,1,,,,
Armanis,,arma,ADJ.,7,0,0,,,,
Armanis,,armaen,VVINF,7,0,0,,,,
Bedrängnis,,bedrängen,VVINF,1513,250,1,1,,,
Bedrängnis,,bedräng,ADJ.,1513,0,1,,,,
Bedrängnis,,bedrängnen,VVINF,1513,0,1,,,,
Beduerfnis,,beduerf,ADJ.,0,0,1,,,,
Bedürfnis,,bedürfen,VVINF,31794,485,1,1,,,
Bedürfnis,,bedürf,ADJ.,31794,0,1,,,,
Befugnis,,befugen,VVINF,2639,0,1,1,,,
Befugnis,,befug,ADJ.,2639,0,1,,,,
Befugnis,,befugnen,VVINF,2639,0,1,,,,
Begängnis,,begang,ADJ.,6,0,1,,begangen,ADJ.,
Begängnis,,begangen,VVINF,6,0,1,,,,
Begängnis,,begangnen,VVINF,6,0,1,,,,
Begräbnis,,begraben,VVINF,809,548,1,1,,,
Begräbnis,,begrab,ADJ.,809,0,1,,,,
Behältnis,,behalten,VVINF,775,17614,1,1,,,
Behältnis,,behalt,ADJ.,775,0,1,,,,
Bekenntnis,,bekennen,VVINF,4653,1702,1,1,,,
Bekenntnis,,bekenn,ADJ.,4653,0,1,,,,
Beschwernis,,beschweren,VVINF,63,3111,1,1,,,
Beschwernis,,beschwer,ADJ.,63,0,1,,,,
Beschwernis,,beschwern,VVINF,63,0,1,,,,
