lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Zufallsbekanntschaft,,zufallsbekannt,ADJ.,40,0,1,,,,Bekanntschaft
Hiobsbotschaft,,Hiobsbot,NN,521,0,1,,,,Botschaft
Ehrenbürgerschaft,,Ehrenbürger,NN,108,587,1,,,,Bürgerschaft
Staatsbürgerschaft,,Staatsbürger,NN,1750,2327,1,,,,Bürgerschaft
Buergschaft,,Buerge,NN,0,0,1,,,,Bürgschaft
Fahreigenschaft,,fahreigen,ADJ.,618,0,1,,,,Eigenschaft
Charaktereigenschaft,,charaktereigen,ADJ.,853,0,1,,,,Eigenschaft
Mietergemeinschaft,,mietergemein,ADJ.,54,0,1,,,,Gemeinschaft
Risikogemeinschaft,,risikogemein,ADJ.,6,0,1,,,,Gemeinschaft
Berufsgenossenschaft,,Berufsgenosse,NN,1429,29,1,,,,Genossenschaft
Fondsgesellschaft,,Fondsgeselle,NN,619,0,1,,,,Gesellschaft
Parallelgesellschaft,,Parallelgeselle,NN,374,0,1,,,,Gesellschaft
Sklavenhaltergesellschaft,,Sklavenhaltergeselle,NN,39,0,1,,,,Gesellschaft
Fluggesellschaft,,Fluggeselle,NN,3653,0,1,,,,Gesellschaft
Urgesellschaft,,Urgeselle,NN,30,0,1,,,,Gesellschaft
Verwaltungsgesellschaft,,Verwaltungsgeselle,NN,484,0,1,,,,Gesellschaft
Aktiengesellschaft,,Aktiengeselle,NN,2366,0,1,,,,Gesellschaft
Wohlstandsgesellschaft,,Wohlstandsgeselle,NN,187,0,1,,,,Gesellschaft
Obergesellschaft,,Obergeselle,NN,29,2,1,,,,Gesellschaft
Tochtergesellschaft,,Tochtergeselle,NN,2202,0,1,,,,Gesellschaft
Graphiteschaft,,Graphite,NN,0,0,1,,,,Graphitschaft
Vorherrschaft,,Vorherr,NN,1124,6,1,,,,Herrschaft
Naziherrschaft,,Naziherr,NN,125,0,1,,,,Herrschaft
Weltherrschaft,,Weltherr,NN,904,0,1,,,,Herrschaft
Volksherrschaft,,Volksherr,NN,75,4,1,,,,Herrschaft
Oberherrschaft,,Oberherr,NN,91,37,1,,,,Herrschaft
Havellandschaft,,Havelland,NN,10,493,1,,,,Landschaft
