lemma,true_lemma,merge,r
Penisschaft,0,,enisschaft
enschaft,0,,enschaft
Schaft,0,,Schaft
Gabelschaft,1,,abelschaft
Teilhaberschaft,1,,aberschaft
Inhaberschaft,1,,aberschaft
Trägerschaft,1,,ägerschaft
Gesandtschaft,1,,andtschaft
Verwandtschaft,1,,andtschaft
Mannaschaft,1,,annaschaft
Bekanntschaft,1,,anntschaft
Zufallsbekanntschaft,1,Bekanntschaft,anntschaft
Apparatschaft,1,,aratschaft
Patenschaft,1,,atenschaft
Vaterschaft,1,,aterschaft
Täterschaft,1,,äterschaft
Frauenschaft,1,,auenschaft
Bauerschaft,1,,auerschaft
Zuschauerschaft,1,,auerschaft
Sklavenschaft,1,,avenschaft
Backschaft,1,,Backschaft
Barschaft,1,,Barschaft
Botschaft,1,,Botschaft
Bürgschaft,1,,Bürgschaft
Machenschaft,1,,chenschaft
Knochenschaft,1,,chenschaft
Rechenschaft,1,,chenschaft
Burschenschaft,1,,chenschaft
Mandantschaft,1,,dantschaft
Präsidentschaft,1,,dentschaft
Hundertschaft,1,,dertschaft
Schuldnerschaft,1,,dnerschaft
Dorfschaft,1,,Dorfschaft
Auftraggeberschaft,1,,eberschaft
Urheberschaft,1,,eberschaft
Herausgeberschaft,1,,eberschaft
Arbeitgeberschaft,1,,eberschaft
Knechtschaft,1,,echtschaft
Mitgliederschaft,1,,ederschaft
Stiefelschaft,1,,efelschaft
Liegenschaft,1,,egenschaft
Kollegenschaft,1,,egenschaft
Pflegerschaft,1,,egerschaft
Anliegerschaft,1,,egerschaft
Feindschaft,1,,eindschaft
Belegschaft,1,,elegschaft
Spielerschaft,1,,elerschaft
Dienerschaft,1,,enerschaft
Kameradschaft,1,,eradschaft
Gerätschaft,1,,erätschaft
Erbschaft,1,,Erbschaft
Leserschaft,1,,eserschaft
Verweserschaft,1,,eserschaft
Freundschaft,1,,eundschaft
Wojewodschaft,1,,ewodschaft
Fachschaft,1,,Fachschaft
Pflegschaft,1,,flegschaft
Gefolgschaft,1,,folgschaft
Gastschaft,1,,Gastschaft
Regentschaft,1,,gentschaft
Dirigentschaft,1,,gentschaft
Gegnerschaft,1,,gnerschaft
Grafschaft,1,,Grafschaft
Nachbarschaft,1,,hbarschaft
Heerschaft,1,Herrschaft,Heerschaft
Oberherrschaft,1,,herrschaft
Herrschaft,1,,Herrschaft
Volksherrschaft,1,Herrschaft,herrschaft
Weltherrschaft,1,Herrschaft,herrschaft
Vorherrschaft,1,Herrschaft,herrschaft
Naziherrschaft,1,Herrschaft,herrschaft
Graphiteschaft,1,,hiteschaft
Wählerschaft,1,,hlerschaft
Arbeitnehmerschaft,1,,hmerschaft
Einwohnerschaft,1,,hnerschaft
Holzschaft,1,,Holzschaft
Radfahrerschaft,1,,hrerschaft
Führerschaft,1,,hrerschaft
Marktführerschaft,1,,hrerschaft
Lehrerschaft,1,,hrerschaft
Leidenschaft,1,,idenschaft
Mitleidenschaft,1,,idenschaft
Eigenschaft,1,Eigenschaft,igenschaft
Charaktereigenschaft,1,,igenschaft
Fahreigenschaft,1,Eigenschaft,igenschaft
Akademikerschaft,1,,ikerschaft
Arbeiterschaft,1,,iterschaft
Mitarbeiterschaft,1,,iterschaft
Leiterschaft,1,,iterschaft
Woiwodschaft,1,,iwodschaft
Komplizenschaft,1,,izenschaft
Kindschaft,1,,Kindschaft
Architektenschaft,1,,ktenschaft
Kundschaft,1,,Kundschaft
Havellandschaft,1,Landschaft,landschaft
Seelenlandschaft,1,Landschaft,landschaft
Wiesenlandschaft,1,Landschaft,landschaft
Kraterlandschaft,1,Landschaft,landschaft
Landschaft,1,,Landschaft
Urlandschaft,1,Landschaft,landschaft
Nachfolgerschaft,1,,lgerschaft
Pilgerschaft,1,,lgerschaft
Liebschaft,1,,Liebschaft
Ehrenmitgliedschaft,1,Mitgliedschaft,liedschaft
Mitgliedschaft,1,,liedschaft
Nichtmitgliedschaft,1,Mitgliedschaft,liedschaft
Zwangsmitgliedschaft,1,Mitgliedschaft,liedschaft
Fussballnationalmannschaft,1,Mannschaft,mannschaft
Damenmannschaft,1,Mannschaft,mannschaft
Hintermannschaft,1,Mannschaft,mannschaft
Mannschaft,1,,Mannschaft
Obmannschaft,1,Mannschaft,mannschaft
Auswärtsmannschaft,1,Mannschaft,mannschaft
Kaufmannschaft,1,Mannschaft,mannschaft
Gemeinschaft,1,,meinschaft
Mietergemeinschaft,1,Gemeinschaft,meinschaft
Risikogemeinschaft,1,Gemeinschaft,meinschaft
Imkerschaft,1,,mkerschaft
Nachkommenschaft,1,,mmenschaft
Beamtenschaft,1,,mtenschaft
Vormundschaft,1,,mundschaft
Knappschaft,1,,nappschaft
Pfadfinderschaft,1,,nderschaft
Wanderschaft,1,,nderschaft
Gefangenschaft,1,,ngenschaft
Jungenschaft,1,,ngenschaft
Errungenschaft,1,,ngenschaft
Anhängerschaft,1,,ngerschaft
Schwangerschaft,1,,ngerschaft
Kennerschaft,1,,nnerschaft
Studentenschaft,1,,ntenschaft
Urologenschaft,1,,ogenschaft
Professorenschaft,1,,orenschaft
Pastorenschaft,1,,orenschaft
Autorenschaft,1,,orenschaft
Hörerschaft,1,,örerschaft
Zuhörerschaft,1,,örerschaft
Ortschaft,1,,Ortschaft
Idiotenschaft,1,,otenschaft
Graphitschaft,1,,phitschaft
Papierschaft,1,,pierschaft
Raumschaft,1,,Raumschaft
Brautschaft,1,,rautschaft
Bereitschaft,1,,reitschaft
Hilfsbereitschaft,1,,reitschaft
Konfliktbereitschaft,1,,reitschaft
Freudschaft,1,,reudschaft
Organschaft,1,,rganschaft
Bürgerschaft,1,,rgerschaft
Ehrenbürgerschaft,1,Bürgerschaft,rgerschaft
Staatsbürgerschaft,1,Bürgerschaft,rgerschaft
Handwerkerschaft,1,,rkerschaft
Turnerschaft,1,,rnerschaft
Körperschaft,1,,rperschaft
Herrenschaft,1,,rrenschaft
Ärzteschaft,1,,rzteschaft
Hiobsbotschaft,1,Botschaft,sbotschaft
Seilschaft,1,,Seilschaft
Aktiengesellschaft,1,Gesellschaft,sellschaft
Fluggesellschaft,1,Gesellschaft,sellschaft
Fondsgesellschaft,1,Gesellschaft,sellschaft
Gesellschaft,1,,sellschaft
Obergesellschaft,1,Gesellschaft,sellschaft
Parallelgesellschaft,1,Gesellschaft,sellschaft
Sklavenhaltergesellschaft,1,Gesellschaft,sellschaft
Tochtergesellschaft,1,Gesellschaft,sellschaft
Urgesellschaft,1,Gesellschaft,sellschaft
Verwaltungsgesellschaft,1,Gesellschaft,sellschaft
Wohlstandsgesellschaft,1,Gesellschaft,sellschaft
Tausendschaft,1,,sendschaft
Sippschaft,1,,Sippschaft
Sohnschaft,1,,Sohnschaft
Hinterlassenschaft,1,,ssenschaft
Diakonissenschaft,1,,ssenschaft
Berufsgenossenschaft,1,Genossenschaft,ssenschaft
Genossenschaft,1,,ssenschaft
Erziehungswissenschaft,1,Wissenschaft,ssenschaft
Fachwissenschaft,1,Wissenschaft,ssenschaft
Kulturwissenschaft,1,Wissenschaft,ssenschaft
Naturwissenschaft,1,Wissenschaft,ssenschaft
Verhaltenswissenschaft,1,Wissenschaft,ssenschaft
Wissenschaft,1,,ssenschaft
Meisterschaft,1,,sterschaft
Vizemeisterschaft,1,Meisterschaft,sterschaft
Weltmeisterschaft,1,Meisterschaft,sterschaft
Priesterschaft,1,,sterschaft
Stadtschaft,1,,tadtschaft
Talschaft,1,,Talschaft
Vorstandschaft,1,,tandschaft
Standschaft,1,,tandschaft
Elternschaft,1,,ternschaft
Schwesternschaft,1,,ternschaft
Partnerschaft,1,,tnerschaft
Mutterschaft,1,,tterschaft
Ritterschaft,1,,tterschaft
Judenschaft,1,,udenschaft
Bruderschaft,1,,uderschaft
Buergschaft,1,Bürgschaft,uergschaft
Bauernschaft,1,,uernschaft
Zeugenschaft,1,,ugenschaft
Schülerschaft,1,,ülerschaft
Userschaft,1,,Userschaft
Autorschaft,1,,utorschaft
Anwaltschaft,1,,waltschaft
Staatsanwaltschaft,1,,waltschaft
Anwartschaft,1,,wartschaft
Gewerkschaft,1,,werkschaft
Sozialwirtschaft,1,Wirtschaft,wirtschaft
Planwirtschaft,1,Wirtschaft,wirtschaft
Binnenwirtschaft,1,Wirtschaft,wirtschaft
Marktwirtschaft,1,Wirtschaft,wirtschaft
Umweltwirtschaft,1,Wirtschaft,wirtschaft
Weltwirtschaft,1,Wirtschaft,wirtschaft
Landwirtschaft,1,Wirtschaft,wirtschaft
Misswirtschaft,1,Wirtschaft,wirtschaft
Absatzwirtschaft,1,Wirtschaft,wirtschaft
Wirtschaft,1,,Wirtschaft
Kanzlerschaft,1,,zlerschaft
