lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base,query_by_hand,query_pos,merge
Urabstimmung,,urabstimmen,VVINF,316,0,1,,,,Abstimmung
Abwechselung,,abwechselen,VVINF,292,0,1,,,,Abwechslung
Nachstartanhebung,,nachstartanheben,VVINF,0,0,1,,,,Anhebung
Einbauanleitung,,einbauanleiten,VVINF,278,0,1,,,,Anleitung
Kartieranleitung,,kartieranleiten,VVINF,12,0,1,,,,Anleitung
Spielanleitung,,spielanleiten,VVINF,365,0,1,,,,Anleitung
Weltanschauung,,weltanschauen,VVINF,2636,0,1,,,,Anschauung
Fahranweisung,,fahranweisen,VVINF,24,0,1,,,,Anweisung
Pflegeausbildung,,pflegeausbilden,VVINF,61,0,1,,,,Ausbildung
Auskoppelung,,auskoppeeln,VVINF,13,0,1,,,,Auskopplung
Tauchausrüstung,,tauchausrüsten,VVINF,119,0,1,,,,Ausrüstung
Nebenaussendung,,nebenaussenden,VVINF,2,0,1,,,,Aussendung
Äusserung,,äussern,VVINF,1071,0,1,,,,Äußerung
Erstausstattung,,erstausstatten,VVINF,322,0,1,,,,Ausstattung
Austellung,,austellen,VVINF,349,0,1,,,,Ausstellung
Kunstgewerbeausstellung,,kunstgewerbeausstellen,VVINF,3,0,1,,,,Ausstellung
Wanderausstellung,,wanderausstellen,VVINF,933,0,1,,,,Ausstellung
Erstausstrahlung,,erstausstrahlen,VVINF,532,0,1,,,,Ausstrahlung
Auswechselung,,auswechseeln,VVINF,163,0,1,,,,Auswechslung
Nichtbeachtung,,nichtbeachten,VVINF,588,0,1,,,,Beachtung
Wohnbebauung,,wohnbebauen,VVINF,653,0,1,,,,Bebauung
Selbstbefriedigung,,selbstbefriedigen,VVINF,381,0,1,,,,Befriedigung
Erstbegehung,,erstbegehen,VVINF,65,0,1,,,,Begehung
Begruessung,,begruessen,VVINF,18,0,1,,,,Begrüßung
Unterbekleidung,,unterbekleiden,VVINF,26,0,1,,,,Bekleidung
Landebeleuchtung,,landebeleuchten,VVINF,0,0,1,,,,Beleuchtung
Nichtbenennung,,nichtbenennen,VVINF,1,0,1,,,,Benennung
Erstberatung,,erstberaten,VVINF,397,0,1,,,,Beratung
Pflegeberatung,,pflegeberaten,VVINF,82,0,1,,,,Beratung
Erstberufung,,erstberufen,VVINF,16,0,1,,,,Berufung
Nichtberufung,,nichtberufen,VVINF,0,0,1,,,,Berufung
Kurzbeschreibung,,kurzbeschreiben,VVINF,3648,0,1,,,,Beschreibung
Besiedelung,,besiedeeln,VVINF,441,0,1,,,,Besiedlung
