lemma,true_lemma,merge
Abänderung,1,
Abarbeitung,1,
Abbildung,1,
Abbuchung,1,
Abdankung,1,
Abdeckung,1,
Abdichtung,1,
Abdunklung,1,
Abfertigung,1,
Abfindung,1,
Abformung,1,
Abgrenzung,1,
Abhandlung,1,
Abhebung,1,
Abholung,1,
Abholzung,1,
Abkoppelung,1,
Abkühlung,1,
Abkürzung,1,
Ablagerung,1,
Ablegung,1,
Ablehnung,1,
Ableitung,1,
Ablenkung,1,
Ablesung,1,
Ablösung,1,
Abmachung,1,
Abmahnung,1,
Abmessung,1,
Abmischung,1,
Abneigung,1,
Abnickveranstaltung,1,Veranstaltung
Abordnung,1,
Abpackung,1,
Abrechnung,1,
Abrechung,1,
Abschaffung,1,
Abschaltung,1,
Abschätzung,1,
Abschiebung,1,
Abschlagmarkierung,1,Markierung
Abschottung,1,
Abschreckung,1,
Abschreibung,1,
Abschwächung,1,
Absendung,1,
Absenkung,1,
Absetzung,1,
Absicherung,1,
Absonderung,1,
Abspaltung,1,
Abspannung,1,
Absprung,0,
Abstammung,1,
Abstellung,1,
Abstimmung,1,
Abstoßung,1,
Abstufung,1,
Abtastung,1,
Abteilung,1,
Abtötung,1,
Abtragung,1,
Abtreibung,1,
Abtretung,1,
Abwägung,1,
Abwanderung,1,
Abwandlung,1,
Abwechselung,1,
Abwechslung,1,
Abweichung,1,
Abwendung,1,
Abwertung,1,
Abwicklung,1,
Abzinsung,1,
Abzweigung,1,
Achtung,1,
Ahndung,1,
Ahnung,1,
Akkreditierung,1,
Aktivierung,1,
Aktualisierung,1,
Akzentuierung,1,
Alarmierung,1,
Alterssicherung,1,Sicherung
Altersversorgung,1,Versorgung
Alterung,1,
Amerikanisierung,1,
Anbahnung,1,
Anbetung,1,
Anbindung,1,
Anbringung,1,
Änderung,1,
Andeutung,1,
Androhung,1,
Aneignung,1,
Aneinanderkettung,1,
Anerbietung,1,
Anerkennung,1,
Anfechtung,1,
Anfeindung,1,
Anfertigung,1,
Anforderung,1,
Angleichung,1,
Anhäufung,1,
Anhebung,1,
Anhörung,1,
Anknüpfung,1,
Ankopplung,1,
Ankündigung,1,
Anlehnung,1,
Anleitung,1,
Anmaßung,1,
Anmeldebestätigung,1,Bestätigung
Anmeldung,1,
Anmerkung,1,
Annäherung,1,
Anordnung,1,
Anpaarung,1,
Anpassung,1,
Anpreisung,1,
Anrechnung,1,
Anregung,1,
Anreicherung,1,
Anrufeinrichtung,1,Einrichtung
Anrufung,1,
Ansammlung,1,
Ansaugung,1,
Anschaffung,1,
Anschauung,1,
Anschuldigung,1,
Ansehung,1,
Ansetzung,1,
Ansiedlung,1,
Anspannung,1,
Anspielung,1,
Ansteckung,1,
Anstellung,1,
Ansteuerung,1,
Anstiftung,1,
Anstrengung,1,
Anströmung,1,
Anweisung,1,
Anwendung,1,
Anziehung,1,
Archivierung,1,
Arisierung,1,
Atmung,1,
Aufarbeitung,1,
Aufbereitung,1,
Aufbesserung,1,
Aufbewahrung,1,
Aufdeckung,1,
Auferstehung,1,
Auffassung,1,
Auffindung,1,
Aufforderung,1,
Auffrischung,1,
Aufführung,1,
Aufhängung,1,
Aufhebung,1,
Aufheizung,1,
Aufhellung,1,
Aufklärung,1,
Aufladung,1,
Auflassung,1,
Auflehnung,1,
Auflistung,1,
Auflösung,1,
Aufmachung,1,
Aufmunterung,1,
Aufopferung,1,
Aufrechnung,1,
Aufregung,1,
Aufreizung,1,
Aufrüstung,1,
Aufsammlung,1,
Aufschwung,0,
Aufspaltung,1,
Aufspeicherung,1,
Aufstellung,1,
Aufstockung,1,
Aufteilung,1,
Auftrennung,1,
Aufwärtsentwicklung,1,
Aufwendung,1,
Aufwertung,1,
Aufzählung,1,
Aufzeichnung,1,
Ausarbeitung,1,
Ausatmung,1,
Ausbauplanung,1,Planung
Ausbeutung,1,
Ausbezahlung,1,
Ausbildung,1,
Ausblendung,1,
Ausbreitung,1,
Ausbuchtung,1,
Ausdehnung,1,
Auseinandersetzung,1,
Ausfachung,1,
Ausfertigung,1,
Ausformung,1,
Ausführung,1,
Ausgestaltung,1,
Ausgrabung,1,
Ausgrenzung,1,
Aushändigung,1,
Aushandlung,1,
Aushöhlung,1,
Auskoppelung,1,
Auskopplung,1,
Ausladung,1,
Auslassung,1,
Auslastung,1,
Auslaugung,1,
Auslegung,1,
Ausleuchtung,1,
Auslieferung,1,
Auslosung,1,
Auslösung,1,
Ausmalung,1,
Ausnutzung,1,
Ausprägung,1,
Ausrechnung,1,
Ausrichtung,1,
Ausrottung,1,
Ausrüstung,1,
Ausscheidung,1,
Ausschilderung,1,
Ausschließung,1,
Ausschreibung,1,
Ausschreitung,1,
Ausschüttung,1,
Ausschweifung,1,
Aussendung,1,
Äusserung,1,
Äußerung,1,
Aussetzung,1,
Aussöhnung,1,
Aussparung,1,
Aussperrung,1,
Ausstattung,1,
Ausstellung,1,
Ausstrahlung,1,
Austellung,1,Ausstellung
Austragung,1,
Austreibung,1,
Ausübung,1,
Auswechselung,1,
Auswechslung,1,
Ausweitung,1,
Auswertung,1,
Auswirkung,1,
Auszahlung,1,
Auszeichnung,1,
Auszierung,1,
Authentifizierung,1,
Authorisierung,1,
Automatisierung,1,
Barbarisierung,1,
Beachtung,1,
Beanspruchung,1,
Beanstandung,1,
Beantragung,1,
Beantwortung,1,
Bearbeitung,1,
Beatmung,1,
Beaufsichtigung,1,
Beauftragung,1,
Bebauung,1,
Bebilderung,1,
Bedeckung,1,
Bedeutung,1,
Bedienung,1,
Bedingung,1,
Bedrohung,1,
Bedruckung,1,
Beeinflussung,1,
Beeinträchtigung,1,
Beendigung,1,
Beerdigung,1,
Befähigung,1,
Befestigung,1,
Beflockung,1,
Befolgung,1,
Beförderung,1,
Befragung,1,
Befreiung,1,
Befriedigung,1,
Befristung,1,
Befruchtung,1,
Befürchtung,1,
Begabung,1,
Begegnung,1,
Begehung,1,
Begeisterung,1,
Begleichung,1,
Begleiterscheinung,1,Erscheinung
Begleitung,1,
Begnadigung,1,
Begrenzung,1,
