morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-and,http://www.geotron.de/Messverfahren/M_Allgemeines.htm,ed2f6fd4fb564b39b18f2aa79d931a36b76e,8,Rissrand,Rissrand,Riss_Rand,Riss,Rand
-and,http://www.lovelybooks.de/autor/Ian-McEwan/Der-Zementgarten-41696792-w,3200923dd87ffac45277a504af957a42c936,42,Materialbeständen,Materialbestand,Material_Bestand,Material,Bestand
-and,http://www.dalmatiner-treff.de/Dalmatiner/Ausbildg.htm,76e0fbf4eec9eed2c0754d16437396a2b70a,145,Stachelhalsband,Stachelhalsband,Stachel_Hals_Band,Stachel,Band
-and,http://www.amadeu-antonio-stiftung.de/aktuelles/symposium.print.html,523b330eb2bf2b1d38dd231e24acf12098ee,11,Ländern,Land,_,,
-and,http://www.luftfahrtnetz.de/index.php/staatsbesuche/2002/putin-in-weimar.html,3b2b326ac2ae4b311d3f8f957b31782f5735,75,Länder,Land,_,,
-and,http://www.martialartsboard.de/archive/index.php?t-1954.html,5eeaee7d6cc1b2c412cd5837a03057012e6e,86,Laendern,Land,_,,
-and,http://portal.dielinke-in-sachsen.de/home/2394/0/0/leitfragen-programmdebatte.html?scid=5704%26suche=1,391ea42c3183a1714beaf6c89fb5d87054b6,7,Kreisverbänden,Kreisverband,Kreis_Verband,Kreis,Verband
-and,http://www.vaud.ch/de/testimonials/philippe-michiels,cbdede530a7532bca4f582f7b98d2e69fe13,15,Ländern,Land,_,,
-and,http://www.traum-vom-haus.de/immobilien/0031,e0e831874096fef736d7c883afe5b6edb255,7,Lande,Land,_,,
-and,http://www.weltumrundung.de/reisen/ecualind2003/ecualind2003kap1.htm,f89f447d9c66459f4a8f67e153cc8d778c4a,50,Unterhaltungszustand,Unterhaltungszustand,Unterhaltung_+s_Zustand,Unterhaltung,Zustand
-and,http://www.untersuchungsaemter-bw.de/karlsruhe/eua/am/2004_poppers.htm,ae4fffc0261d89ceffa851b13d9f38c7a700,5,Atemstillstand,Atemstillstand,Atem_Stillstand,Atem,Stillstand
-and,http://www.ippnw.de/soziale-verantwortung/gesundheitspolitik/artikel/cc4d89e976314b259d11e19b476a805e/eine-frage-auf-leben-und-tod.html,1eade78189c41432278814019c8ca6db690d,47,Land,Land,_,,
-and,http://www.niels-stensen-kliniken.de/marienhospital-osnabrueck/kliniken/kliniken/chirurgie-allgemein-und-visceralchirurgie/patienteninfo.html,ab33e613cb6bb91ecf2ad6bbe3b90efe567c,27,Hodenhochstand,Hodenhochstand,Hoden_hoch_Stand,Hoden,Stand
-and,http://www.piratenpartei-tirol.at/index.php/forum/5-piraten-tirol/8490-captain-jack-ruft-nach-uns.html?start=18,46afc79d090257a746b58cedd24f391d379b,31,Tourismus-Verband,Tourismus-Verband,Tourismus_--_Verband,Tourismus,Verband
-and,http://www.staytuned.at/sig/0023/32891.html,7183d862d37e5216595f8921f61ef6d45541,7,Länder,Land,_,,
-and,http://www.book-on-demand.de/messenachlese2011.html,2c809d7742421e692ed6eb81b992ccdbf70b,18,Ländern,Land,_,,
-and,http://www.vbe.de/presse/vbe-landespresse/nordrhein-westfalen/archiv/2011/nrw-pd28-11.html,814778357c2f48191a1f3a4f636852592913,4,Landes,Land,_,,
-and,http://www.uni-bamberg.de/kommunikation/news/artikel/wege-zur-m,5d2baf357ca902e00fbb70ab4d509b844064,57,Land,Land,_,,
-and,http://www.ioff.de/archive/index.php/t-258572-p-8.html,e7baa81f6b38200f19b57526221833a73965,587,Land,Land,_,,
-and,http://www.kochmobil.de/plaintext/warenkunde/obst/cashewnuss.html,95f2e571783e02664d973a64ae578c4c35f1,1,Anbauländern,Anbauland,Anbau_Land,Anbau,Land
-and,http://www.engagiert.in.nrw.de/arbeitshilfen/grundlagen/index.php,010426d1333c911694ee37fef60c1572b10a,148,Jugendverbänden,Jugendverband,Jugend_Verband,Jugend,Verband
-and,http://www.gew.de/Serie_Laenger_gemeinsam_Lernen.html,cabaf0eab38aacd1348e59336e9288660578,14,Land,Land,_,,
-and,http://www.gartenlinksammlung.de/Gartenpfade/andalusien_cordoba_ronda_sevilla_granada.html,86c6bde31fa28772e4d90740e6a31052fdf8,28,Bergland,Bergland,Berg_Land,Berg,Land
-and,http://www.madrid-reise.de/festivals-veranstaltungen,9f8720f9c3a2244a73433753a826e4203c48,5,Landes,Land,_,,
-and,http://forum.scifinews.de/lofiversion/index.php/t3466.html,876d18f8b82ddc379d3e0c663111e013218b,34,Land,Land,_,,
-and,http://www.andrebrie.de/europa_1999-2009/pds/disput/02-2006.htm,c62236a28debda8bd87bd0567e9e6acd017c,2,Sozialverbände,Sozialverband,sozial_Verband,sozial,Verband
-and,http://www.kfz-bw.de/presse/aktuelle-meldungen/statements/jahrespressekonferenz-15-maerz-2011-in-berlin/wilhelm-huelsdonk.html,fd18fe69e2a4d7a342b286b48da72ea07238,20,Land,Land,_,,
-and,http://www.kunststoff-magazin.de/Strategie/Strategie---Kommentar-zur-Euromold.htm,6e8ecbae7ce72a1f1d0b353130abd2a68f9e,31,Ländern,Land,_,,
-and,http://mhhmohr.cadae.de/aufsatz_die_ersten_kindergaerten_in_der_gemeinde_vettelschoss/aufsatz_die_ersten_kindergaerten_in_der_gemeinde_v.html,090c825bb447fa74aa38f4615e3cb7d61522,25,Lande,Land,_,,
-and,"http://rafa.foren-city.de/topic,3538,20,-christen-eindeutig-unterlegen.html",a23d318f9025330c73dfaffd2c8c83d68266,31,Diskussionsgegenstand,Diskussionsgegenstand,Diskussion_+s_Gegenstand,Diskussion,Gegenstand
-and,http://depriforum.phpbb8.de/archive/t51s100.html,62a0f311cc3c16122ecfec21f70046f0093a,54,Land,Land,_,,
-and,http://www.kevag-telekom.de/News-Ansicht.126+B6JmNIYXNoPWQxZWU4OGE3MjcmdHhfdHRuZXdzW2JhY2tQaWRdPTEzJnR4X3R0bmV3c1t0dF9uZXdzXT05NA__.0.html,89153cf77d9df493b440f0fc3218a96d10fd,12,Kreisverbände,Kreisverband,Kreis_Verband,Kreis,Verband
-and,http://www.r-l-x.de/forum/archive/index.php/t-47814.html,18e476d3d7b64de2c8c5b7607497cfa71d4e,5,Lederbändern,Lederband,Leder_Band,Leder,Band
-and,http://www.antbo.de/kataloge/a0323/seite-2.html,5a0b6eb9b7a24ee0cbab9e6f021377dd9a55,189,Festeinband,Festeinband,fest_Einband,fest,Einband
-and,http://cgi.wfg-gk.de/mystik21a.html,84c929729f137475b04cadf967c0e89f26ba,1,Land,Land,_,,
-and,http://www.recht-harmonisch.de/html/portrait_tb.html,7b486c11b2d8f88fde9b2241352f294c9539,51,Land,Land,_,,
-and,http://www.msj.de/index.php?id=290,0bd3cd17e1a8d780254938929f95f6ea170c,1,Kraftaufwand,Kraftaufwand,Kraft_Aufwand,Kraft,Aufwand
-and,http://www.infopool-bau.de/tr/trgs517/4.htm,7843e738aa00f8cd0d92995e24bbbf476933,31,Betriebszuständen,Betriebszustand,Betrieb_+s_Zustand,Betrieb,Zustand
-and,http://www.blockhaus-finnholz.de/blockhaus_technik/lexikon,93b0569314211dc2c8d6095e82dece2382d3,143,Blockbohlenwand,Blockbohlenwand,Block_Bohle_+n_Wand,Block,Wand
-and,http://www.das-parlament.de/2011/07-08/PolitischesBuch/33415939.html,6834557e460b1b8386cc54693aa249a2a834,10,Länder,Land,_,,
-and,http://www.umweltundaktiv.de/umweltschutz/zur-glaubwurdigkeit-unserer-politiker,539d71d5016570059abb82d53f03f9a8227c,17,Länder,Land,_,,
-and,http://www.kuehnle-online.de/literatur/schiller/werke/histor/30krieg/05.htm,a9a18c0e4f4b3643183c3506b2f07f587b6f,381,Feuerbrand,Feuerbrand,Feuer_Brand,Feuer,Brand
-and,http://www.adipositasverband-international.de/apforum/index.php?page=Thread%26threadID=31183%26pageNo=2%26s=cd37b8415507bdc36ef8dbe7d9ef7f5849c73acf,476541c361f65aabd169b728a09aacec7524,186,Magenbandes,Magenband,Magen_Band,Magen,Band
