morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ant,http://www.prozion.de/texte/text-03.html,b7eef7821f540fca1028ef4d317f2a7613df,57,Demonstranten,Demonstrant,_,,
-ant,http://www.deutsches-afrikakorps.de/alt/html/inter/w30.htm,f912b0966d15f881aa0628b876ef0604a872,7,Generalleutnant,Generalleutnant,General_Leutnant,General,Leutnant
-ant,http://www.woschod.de/2010/02/13/dresden-13-februar-nazis-erfolgreich-blockiert,751cd670bd15c597796d6e1a854f812102a5,90,Demonstranten,Demonstrant,_,,
-ant,http://www.sinojobs.de/stellenanzeigen-details/2388/praktikanten-im-vertrieb-mw-%e2%80%93-buro-frankfurtmain-at-fortuna-industries-gmbh,262b85f4c240fc0d426eccbdfb79fd1dd2e6,7,Praktikanten,Praktikant,_,,
-ant,http://iasl.uni-muenchen.de/links/NAPG.html,ac29ea37269dc1f2f40c30a071e065570e76,281,Datenlieferant,Datenlieferant,Datum_-um_+en_Lieferant,Datum,Lieferant
-ant,http://www.stefan-loose.de/updates/asien/myanmar-birma/kategorie/ngwe-saung-beach,902df7251de0e2c02350b3e7c4d51c5f31ac,40,Restaurant,Restaurant,_,,
-ant,http://www.ruhrbarone.de/nacktscanner-wir-sollten-etwas-fur-unsere-wurde-tun,bb2a7d54dd63f233dd66d050ae9d55a0e31f,2,Sympathisant,Sympathisant,_,,
-ant,http://www.trekzone.de/dt/archiv/im/im13.htm,b68dc3c7121cfa531dedf3f28d0626e8ce65,138,Quanten,Quant|Quantum,_,,
-ant,http://breaking-news.de/blog/2010/10/27/kiel211-auftakt-im-bandidos-prozess-das-unkooperativ-kartell-der-rocker-haelt,4564764092a10db645aa611c0cebe86603a4,46,Schnellrestaurant,Schnellrestaurant,schnell_Restaurant,schnell,Restaurant
-ant,http://www.kanzlei-dr-dohr.de/pages/d/aktuelles.php,b4fe49a55f8c7bba63cfbc78a9b7cfeb91af,3,Anwaltsmandanten,Anwaltsmandant,Anwalt_+s_Mandant,Anwalt,Mandant
-ant,http://www.turns-to-ashes.de/ams.34.html,212891919544023a4191dc3462a034dadeba,52,Restaurant,Restaurant,_,,
