morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-anz,http://www.fdp-lingen.de/presse.php?id=31751%26presse_y=2010%26printversion=1,ef7acd6c2c7e01711e908fb1783fb697af22,5,Bausubstanz,Bausubstanz,Bau_Substanz,Bau,Substanz
-anz,http://www.report-psychologie.de/thema-des-monats/archiv/artikel/psychotherapeutische-versorgung-von-menschen-mit-behinderung,e2660ce46f0d3fc9f3045a84ac56e49f5576,3,Relevanz,Relevanz,_,,
-anz,http://www.kinderumweltgesundheit.de/index2/themen/themen_laerm_lit.html,9889c2300efd312a1135357c70b3204a2e78,11,Akzeptanz,Akzeptanz,_,,
-anz,http://www.ashtor2012.de/aktuelle-botschaften-neu/november-2010/die-arkturianer-30-11,6984528f987df3b463c27b3ab01f30932c99,167,Resonanz,Resonanz,_,,
-anz,http://www.wifa.uni-leipzig.de/isb/veranstaltungen/hot-spots-der-stadtentwicklung-ss2010.html,69f4b7d6f3fc18f30465291b19251b36262c,3,Varianz,Varianz,_,,
-anz,http://www.nlp-trainings-tille.de/nlp/lexikon/rapport-396.html,17fba37691bdc830d8d17320bbb9ce2089c1,1,Resonanz,Resonanz,_,,
-anz,http://www.usc-muenster.de/spielbetrieb/newsarchiv/aktuelles/artikel/vielleicht-haben-die-sich-verzockt,52643b2d5789735c159056eee956f28b71ac,3,Allianz,Allianz,_,,
-anz,http://www.lsg.musin.de/geschichte/geschichte/usa/gesellschaftsstruktur_und_gesell.htm,ee598dcef4fae0893601a7276aad25d29b50,329,Toleranz,Toleranz,_,,
-anz,http://ema.bonn.de/reli/welt/Homepage/Buddhismus%20-%20Dalai%20Lama.htm,c2334b54ecb09036809a119830b18905713f,7,Toleranz,Toleranz,_,,
-anz,http://www.moebelmarkt.de/nachrichten/nachricht/einrichtungspartnerring-startet-mit-eigener-kuechenproduktion-durch-35951.html,8cc7ad22f64c51685dd9606adca23c85affc,21,Halbjahresbilanz,Halbjahresbilanz,Halbjahr_(e)_+s_Bilanz,Halbjahr,Bilanz
-anz,http://www.hfm-wuerzburg.de/lehrkraefte/busch/aktuelles.html,4f3d38642e0ad2523b56826332463dbc0940,14,Relevanz,Relevanz,_,,
-anz,http://birma-somali.de/Informatives.html,483b890406e1f2be51f7e7d0661be1996af2,7,Dominanz,Dominanz,_,,
-anz,http://www.scienceblogs.de/arte-fakten/2010/05/wider-die-idealwissenschaft.php,5a104bf37e8bf8dbab81b77a4efdab27ae79,77,Akzeptanz,Akzeptanz,_,,
-anz,http://www.rowane.de/html/body_vado_mori.htm,115eacca5da6fec2d26812bf0b54eb1be8eb,5,Totentanz,Totentanz,tot_+en_Tanz,tot,Tanz
-anz,http://www.der206cc.de/forum/archive/index.php/t-2659.html,f1823918210789d8ec8bdb8762cf237537c2,28,Gerichtsinstanz,Gerichtsinstanz,Gericht_+s_Instanz,Gericht,Instanz
-anz,http://www.aachen.de/DE/wirtschaft_technologie/aktuelles/Archiv/index.html,c146ae5018b863ba91303a44606a5a1dea91,132,Zwischenbilanz,Zwischenbilanz,zwischen_Bilanz,zwischen,Bilanz
-anz,http://www.svschottjenaerglas-schach.de/141.0.html,efe1751be5803f8ab6fa42df996853939c92,406,Resonanz,Resonanz,_,,
-anz,http://www.esoterikforum.at/forum/showthread.php?s=3f000d1cf58291db540cf77a8e7eeb44%26t=191139%26page=5,90f495780787eae11ee4d30f283b1f634085,38,Toleranz,Toleranz,_,,
-anz,http://www.fes.de/archiv/adsd_neu/inhalt/nachlass/nachlass_l/ludwig-ad.htm,1740d856cce1a52fb99e6bf81d83c2c4cca7,22,Konkordanz,Konkordanz,_,,
-anz,http://www.links-lang.de/presse/252.htm,8371c0e94632c9e8667201e481ba63b2f4b0,14,Intoleranz,Intoleranz,_,,
-anz,http://www.tierrechts-foren.de/archive/index.php/thread-5583-2.html,ebfb17fcdbc8bb8deae2eff01fdb886dc1fa,8,Hirnsubstanz,Hirnsubstanz,Hirn_Substanz,Hirn,Substanz
-anz,http://www.itr.tu-clausthal.de/forschung/motorpruefstaende-rnt,199bfec33fbb07682d07a5366709571c269b,14,Resonanzen,Resonanz,_,,
-anz,http://www.dogs-magazin.de/forum/archive/index.html/t-3120.html,1298123a73bbba92d719eeeb9da85a3d3746,470,Resonanz,Resonanz,_,,
-anz,http://www.xborgforum.de/archive/index.php/t-131.html,b962a29d606c1dcf72be297fe1fe5cd5f99e,25,Toleranz,Toleranz,_,,
-anz,http://www.leipziger-messe.de/Pressemitteilungen/9700,1d314d83ebd679bd4829eb80f8116d6f6ce8,29,Resonanz,Resonanz,_,,
-anz,http://library.fes.de/fulltext/stabsabteilung/00491002.htm,d494e7b89f8b051b24f51e77f964e3aed5f4,15,Dominanz,Dominanz,_,,
-anz,http://edoc.hu-berlin.de/dissertationen/schuster-adrian-2002-12-20/HTML/chapter2.html,a7e8e1122349f45d5a8dc63c62f48ebf802d,171,Referenzsubstanz,Referenzsubstanz,Referenz_Substanz,Referenz,Substanz
-anz,http://www.aporecht.de/2450.html,b4277b5cc3239b20648dbdf96d3aba0ac585,109,Relevanz,Relevanz,_,,
-anz,http://www.tvg-buschhuetten.de/Pages/Aktuell/PrellballBerl.html,6ee28bf057929a56a6859578c8d679a0551f,8,Siegesbilanz,Siegesbilanz,Sieg_(e)_+s_Bilanz,Sieg,Bilanz
-anz,http://www.travemuende-ortsrat.de/protokolle/prot020424.htm,321d21ea025426554fa4d790f53ca52cbf46,13,Allianz,Allianz,_,,
