morph,doc.url,doc.id,s.idx,word,lemma,compana,cpd.N1,cpd.N2
-ateur,http://www.lintorf-die-quecke.de/main_die_quecke_textbeispiel_18.htm,e9e0a3491012f531ecda8819ddbbda1c9d99,47,Kollaborateure,Kollaborateur,_,,
-ateur,http://asue.de/aktuelles---presse/grafik_125.html,409ca9c7542880067837e2c7553335481d9a,6,Installateur,Installateur,_,,
-ateur,http://www.frauenklinik-luebeck.uk-sh.de/Frauenklinik_Luebeck_Tumorzentrum/Leistungsspektrum.html,01228f19000c76409a9582ec95ec76f5a46b,7,Operateure,Operateur,_,,
-ateur,http://www.hexenbuche.de/Arny.htm,d608dfcc28b02cd480117e915381a2d9a5b1,31,Dekorateur,Dekorateur,_,,
-ateur,http://jwi.charite.de/forschung/muskuloskeletale_biomechanik/wirbelsaeule/cages,d94f24e20ecefaf4598f16a6f20f21edab3c,22,Fixateur,Fixateur,_,,
-ateur,http://www.maroczone.de/forum/archive/index.php/t-25977.html,4b15c5c2836fe9c2f8d119e1571f9453e9e8,8,Nazikollaborateur,Nazikollaborateur,Nazi_Kollaborateur,Nazi,Kollaborateur
-ateur,http://www.filmrausch.de/content/view/117/19,3e187b78186d537ecab718eaf14a51198915,33,Kollaborateure,Kollaborateur,_,,
-ateur,http://www.dl0bn.de/archiv/2005/a3905.htm,74a602d48cd2c481d0d45a9618799b2c0494,79,Funkamateur,Funkamateur,Funk_Amateur,Funk,Amateur
-ateur,http://www.gva-kiel.de/veranst_stammtisch.htm,bb9706a680c7285f4cc739d6f566099927e8,3,Astroamateuren,Astroamateur,Astro_Amateur,Astro,Amateur
-ateur,http://www2.fh-augsburg.de/%7EHarsch/germanica/Chronologie/20Jh/Lautensack/lau_req3.html,1a26a83d8b21131f8e0db885ff02f3f08561,29,Operateur,Operateur,_,,
-ateur,http://www.xn--kohof-schleyer-upb.de/ich.htm,de15f5c3e9e00a1137b3e61c14c871e6b364,44,Gas-Wasser-Installateur,Gas-Wasser-Installateur,Gas_--_Wasser_--_Installateur,Gas,Installateur
-ateur,http://www.glubberer.de/t/tschauner__philipp/tschauner__philipp.html,c3d6cc619866c150ca2f14be194d82b9f22f,3,Club-Amateuren,Club-Amateur,Club_--_Amateur,Club,Amateur
-ateur,http://www.eurailpress.de/news/alle-nachrichten/single-view/news/jeroen-le-jeune.html,4cefa09b2353cfa8b9337dbb7f8075211e19,5,Operateur,Operateur,_,,
-ateur,http://www.energieverbraucher.de/de/Balkonkraftwerk__1813,508fcf6a62cb49ce1d9c24bdde7393308cfe,45,Elektroinstallateur,Elektroinstallateur,Elektro_Installateur,Elektro,Installateur
-ateur,http://forum.heimwerker.de/archive/index.php/t-1412.html,34b7a6bb97fef564a00d547c3082b610fe6d,30,Reparateur,Reparateur,_,,
-ateur,http://www.mce-community.de/forum/lofiversion/index.php/t45240.html,cd3daf427786b5f447ea45ccb4d4387f317e,10,Elektroinstallateurs,Elektroinstallateur,Elektro_Installateur,Elektro,Installateur
-ateur,http://www.scifi-forum.de/off-topic/off-topic-allgemein/technik-wissenschaft/28216-sts-121-space-shuttle-discovery-6-print.html,091a6d6d6472be523b514d7228f18891230e,43,Funkamateure,Funkamateur,Funk_Amateur,Funk,Amateur
-ateur,http://www.pv-magazine.de/nachrichten/details/?tx_veguestbook_pi1%5Bpointer%5D=10%26cHash=a7ac3fb6994146b266fcb381ca8dea11,455ccf62917d2a49477a3a11e35388a4e132,513,Installateuren,Installateur,_,,
-ateur,http://jobs.yakaz.de/tatigkeiten-bewerbung,56d0647eda3d507725d4528c61da311c0f35,20,Elektroinstallateure,Elektroinstallateur,Elektro_Installateur,Elektro,Installateur
-ateur,http://www.jobs-in-rodgau.de,2b167801c4abad5564a6754d44b4288e2f34,10,Schaufensterdekorateur,Schaufensterdekorateur,Schau_Fenster_Dekorateur,Schau,Dekorateur
-ateur,http://www.dc9zp.homepage.t-online.de/page9.htm,7110e8baebcb44de81ea3faac939ff0b5ed2,4,Funkamateur,Funkamateur,Funk_Amateur,Funk,Amateur
-ateur,http://www.dl7og.de,c942054c457950916986cebf2e18df68f481,70,Funkamateuren,Funkamateur,Funk_Amateur,Funk,Amateur
-ateur,http://www.impotenz-selbsthilfe.de/prostatakrebs-sex,9cd57eb195f3ac152795b215f9e452203681,10,Operateur,Operateur,_,,
